Input Voltage,Input Torque,Motor Speed,Motor Torque,dw/dt,dTm/dt,Temperature,Armature Current,Friction Coefficient
3,0.2,-0.0196471,0.033619813,-0.000112508,60122.7955,-0.058841652,0.02486788,0.022615761
3,0.2,7.611953283,0.175016465,0.319081947,4.482262342,29.12368366,2.175585856,-0.001773013
3,0.2,6.383431984,0.243363762,-8.176438798,-2.541433809,29.32272305,2.511880332,0.013438424
3,0.2,6.981818531,0.262984464,10.24640656,-1.040172637,29.6312221,2.551443787,0.056689465
3,0.2,9.486160907,0.188090115,1.973942325,-2.658555412,28.94690389,2.163774027,0.021938147
3,0.2,8.647071622,0.145866839,-5.373496729,-8.142257304,28.93283304,1.999153533,-0.020616528
3,0.2,8.021217279,-0.02487577,-2.37647888,11.43355777,26.99605473,1.74960709,-0.020140453
3,0.2,7.760760939,0.149475627,1.306067637,-2.500931354,27.28644039,1.634879856,0.053336507
3,0.2,8.10436531,0.251436214,-3.546743856,0.32873566,29.62220826,2.595203521,0.013434332
3,0.2,7.763436951,0.153808199,0.687347927,1.917828535,28.38585283,1.840257497,0.005496102
3,0.2,7.943072631,0.227741828,-11.4556398,8.325896763,27.86930478,1.914907873,0.04181421
3,0.2,7.55848374,0.102754719,-1.073607315,7.399634412,28.11759939,2.056556168,0.002590574
3,0.2,8.141126187,0.076137891,-5.244838531,5.441789613,27.1935116,1.49765192,0.031367203
3,0.2,7.726167781,0.044126106,-3.803637304,3.11236364,27.07832941,1.616313535,0.016833331
3,0.2,7.490643836,0.157167587,-11.42979462,-13.64588584,27.08095172,1.778629942,0.017025587
3,0.2,8.29382364,0.261281306,5.05740491,5.808794409,30.29209078,2.727007206,-0.015055087
3,0.2,8.864797992,0.273330971,5.270226482,-1.412782282,30.45674313,2.489217439,0.045038557
3,0.2,8.856465748,0.139044664,7.604156938,-0.86732346,29.61333532,2.120885951,0.034428692
3,0.2,8.084605765,0.126635306,5.421928756,-3.49492634,28.06416154,1.951860493,0.02945363
3,0.2,7.736452523,0.1990783,8.581258928,3.834020397,28.16574506,2.063361546,0.029050293
25.5,2.6,0.004806057,0.001319877,-0.000339649,79114.83584,0.170631726,0.024158227,-0.017124459
25.5,2.6,-7.04523099,4.445164462,825.5224189,-17.899399,62.42637973,35.87242553,0.002764635
25.5,2.6,11.85961806,2.001903351,-10.82842951,1.710830141,409.147604,14.19523012,0.007090364
25.5,2.6,15.91532969,1.659416589,170.237976,-19.69773546,402.2190385,14.3181173,-0.003360037
25.5,2.6,34.46311678,1.737448759,4.468456489,-12.47415501,215.2054829,11.65592304,0.026847275
25.5,2.6,57.14885663,1.936870429,-65.89188628,21.72983996,400.0320053,13.88811486,0.037200404
25.5,2.6,65.63503926,1.574267609,74.19889524,-47.35197003,214.019211,10.73945174,0.028727836
25.5,2.6,62.90838145,1.673634553,23.44996947,-11.86574354,289.1460861,13.8354107,0.039872638
25.5,2.6,59.49040647,1.024600974,-29.75973156,0.29189322,107.1081201,7.849297671,0.03849773
25.5,2.6,66.44713583,0.907671708,-26.12934872,8.542818259,85.04391886,7.092005665,0.043758003
25.5,2.6,74.73442929,1.536400252,57.52012441,-20.39403782,136.4600381,9.495986561,0.013834569
25.5,2.6,62.669417,0.904040223,31.41685297,13.31754003,166.620937,10.21818957,0.04260255
25.5,2.6,59.81330763,1.614442369,58.33677408,-26.62175224,201.4298369,11.15648866,0.034876067
25.5,2.6,49.62683255,1.379801526,-83.5332762,-18.72482686,102.6204484,8.436837257,0.018819626
25.5,2.6,55.01565902,1.23684597,37.05182334,-2.911043971,117.3385865,9.07083381,0.060818789
25.5,2.6,61.14738961,1.539713811,309.7507477,-36.24959716,204.6891425,13.05880325,-0.003197596
25.5,2.6,61.01472454,1.711472165,20.76825056,161.7403345,145.8734624,10.65015891,0.020882218
25.5,2.6,75.19933159,0.970277313,19.91672698,50.46170679,251.5839746,9.671015266,0.021366908
25.5,2.6,68.93704874,1.450053935,-2.360696504,5.345645016,192.8124358,11.71912457,0.009828622
25.5,2.6,67.51669307,1.494406139,18.90801402,10.03120733,185.3719538,11.68680686,0.013257601
14.25,3.8,-0.005388537,-0.028494877,-0.00045322,89111.87411,0.009201259,0.008612502,0.008301032
14.25,3.8,0.137266683,1.705961074,9.842486752,4.441224734,237.1472612,12.35504473,0.022815929
14.25,3.8,10.4541415,1.582881366,5.742157006,-0.242224083,189.6165032,11.2220976,0.003135185
14.25,3.8,12.46241535,1.5127269,-9.223779036,1.578026733,149.5587865,10.34496485,0.028587849
14.25,3.8,19.47588449,1.172243993,-15.83837765,4.439439116,105.8388755,8.489210536,0.026451697
14.25,3.8,40.56825817,1.57975154,199.5985814,-43.66911387,166.2231472,11.13697717,0.023987333
14.25,3.8,47.59740087,0.690602312,216.330673,-23.83278922,109.6574753,7.926591867,-0.008650967
14.25,3.8,55.04604224,0.590793052,151.98852,-20.27981189,43.76134641,5.206907512,0.006830894
14.25,3.8,50.62439246,0.540866326,-41.67763576,7.284484619,43.03997921,4.48459395,-0.006303748
14.25,3.8,37.83643732,0.861455016,2.883566528,15.55473772,58.95064719,6.740650988,0.076028023
14.25,3.8,37.62195503,1.242933053,-39.06056192,16.67468949,125.8231617,9.605050611,0.018099594
14.25,3.8,38.76637464,0.978659556,25.7398354,14.45376656,93.23019597,6.898491281,0.014654305
14.25,3.8,38.92303439,1.192345299,-237.5716847,-9.895790288,77.29017514,6.967422134,-4.73E-05
14.25,3.8,37.04108827,1.217624117,-161.313842,63.09867299,86.94882568,8.040834436,0.013783489
14.25,3.8,38.03663198,0.678411982,71.97811412,-27.75480168,50.29589109,5.003439963,0.004937519
14.25,3.8,39.94261895,0.770593908,48.33652639,-14.88279703,88.69884909,5.494828751,0.006713674
14.25,3.8,41.47925943,1.086463258,49.71056022,-13.10308142,66.36123355,6.098111741,0.059682786
14.25,3.8,41.97135285,0.961877351,21.40571564,-18.99113342,65.78741324,5.81485694,-0.004814654
14.25,3.8,49.21599202,0.94894308,-50.37763868,-1.455001664,66.7128217,6.385596925,0.067345917
14.25,3.8,42.79921741,1.070830025,12.77260269,44.02529585,77.35175227,7.726732081,0.021446525
8.625,3.2,0.014209351,0.032805899,-0.000396435,74500.69015,-0.010862164,-0.007995861,0.023082726
8.625,3.2,-2.251499598,0.050459558,-32.67141253,3.993094916,4.996011231,-0.801099054,0.042769782
8.625,3.2,16.68998257,0.731228268,-6.175522694,2.427861319,47.50117594,5.069523981,0.003955114
8.625,3.2,18.54600719,1.105625481,95.78591148,-3.188417066,89.20762328,8.8191062,-0.00376669
8.625,3.2,20.57709837,1.248635348,-197.1783444,27.47174559,95.68810686,8.381967382,0.022141671
8.625,3.2,21.7202473,1.161684064,-42.1312658,9.273736649,90.88629287,8.178772018,0.01549218
8.625,3.2,19.9520323,1.170239785,42.35377655,-6.862769778,90.81282799,8.37417521,0.007757731
8.625,3.2,29.76936278,0.600366909,42.71258261,-8.331043764,75.16410843,4.919368145,0.020228304
8.625,3.2,30.77705796,0.898794345,-27.80305841,-4.833240784,55.29352383,6.07827341,0.049884456
8.625,3.2,39.19521839,0.306942807,-104.8130456,-26.57457103,32.71626551,2.718657281,0.034883194
8.625,3.2,38.76647312,0.800571777,18.98116835,-31.88245021,56.94132175,5.138924785,0.021232875
8.625,3.2,26.92887132,0.787112709,-40.57753346,10.02352281,55.77411573,6.17517778,0.023982652
8.625,3.2,25.21456369,0.613529916,16.41406985,-9.152961111,41.91789645,4.598258158,-0.022138257
8.625,3.2,26.23335426,0.168516837,85.99265893,39.98294473,33.41190787,2.784399341,0.023749875
