m_chi_1p,m_chi_10
137.62,135.61
138.6,136.57
140.35,138.28
142.1,139.99
143.86,141.7
145.61,143.4
147.37,145.09
149.12,146.78
150.88,148.47
152.63,150.16
154.39,151.83
156.14,153.5
157.9,155.17
159.65,156.83
161.4,158.49
163.16,160.15
164.91,161.82
166.67,163.48
168.42,165.14
170.18,166.81
171.93,168.47
173.68,170.15
175.44,171.83
177.19,173.52
178.95,175.22
179.39,175.65
180.24,176.47
181.08,177.28
181.93,178.1
182.77,178.91
183.62,179.72
184.46,180.54
185.31,181.35
186.15,182.17
187.0,182.98
187.84,183.8
188.69,184.61
189.53,185.43
190.38,186.24
191.22,187.06
192.07,187.87
192.91,188.69
193.76,189.5
194.6,190.32
195.45,191.13
196.29,191.95
197.14,192.76
197.98,193.58
198.83,194.39
199.67,195.21
201.36,196.81
203.04,198.41
204.72,200.0
206.4,201.6
208.03,203.15
209.64,204.66
211.25,206.17
212.89,207.71
214.57,209.27
216.25,210.83
217.94,212.38
219.62,213.93
221.3,215.47
222.97,216.99
224.58,218.45
226.19,219.9
227.8,221.33
229.41,222.74
231.0,224.13
232.53,225.45
234.07,226.72
235.58,227.96
237.04,229.12
238.48,230.21
239.87,231.17
241.18,231.97
242.42,232.62
243.59,233.19
244.77,233.7
245.94,234.18
247.11,234.65
248.28,235.11
249.45,235.56
250.55,235.95
251.64,236.34
252.74,236.72
253.84,237.1
254.94,237.49
256.11,237.92
257.26,238.35
258.36,238.73
259.46,239.09
260.56,239.44
261.66,239.79
262.76,240.14
263.86,240.49
264.95,240.84
266.06,241.19
267.15,241.61
268.31,242.09
269.48,242.64
270.67,243.17
271.85,243.68
273.0,244.1
274.07,244.39
275.08,244.54
276.02,244.56
276.97,244.57
277.88,244.49
278.75,244.34
279.6,244.13
280.4,243.89
281.2,243.62
282.01,243.34
282.81,243.06
283.62,242.8
284.43,242.55
285.3,242.34
286.11,242.11
286.93,241.91
287.81,241.75
288.7,241.63
289.58,241.53
290.48,241.48
291.43,241.5
292.43,241.58
293.41,241.72
294.45,241.95
295.53,242.28
296.64,242.67
297.76,243.12
298.86,243.51
299.91,243.9
300.86,244.18
301.74,244.39
302.55,244.49
303.25,244.5
303.88,244.38
304.54,244.25
305.17,244.07
305.75,243.86
306.34,243.64
306.98,243.45
307.57,243.21
308.15,242.97
308.73,242.7
309.3,242.41
309.83,242.05
310.27,241.54
310.64,240.99
310.94,240.3
311.14,239.56
311.26,238.72
311.26,237.78
311.22,236.83
311.14,235.87
311.01,234.85
310.87,233.85
310.72,232.87
310.58,231.92
310.38,230.94
310.13,229.97
309.77,228.91
309.28,227.76
308.74,226.57
308.08,225.29
307.29,223.91
306.42,222.44
305.39,220.85
304.23,219.16
302.99,217.41
301.66,215.62
300.27,213.84
298.81,212.0
297.35,210.22
295.82,208.38
294.29,206.56
292.75,204.77
291.16,202.93
289.6,201.14
288.06,199.39
286.53,197.66
284.95,195.87
283.34,194.05
281.74,192.23
280.28,190.53
278.95,188.93
277.71,187.43
276.57,186.01
275.55,184.67
274.63,183.43
273.82,182.29
273.17,181.25
272.61,180.31
272.17,179.47
271.88,178.77
271.73,178.19
271.72,177.74
271.8,177.37
272.02,177.12
272.38,177.0
272.89,177.0
273.48,177.08
274.17,177.24
274.97,177.5
275.92,177.89
276.95,178.38
278.12,179.0
279.43,179.74
280.7,180.46
281.96,181.2
283.27,181.98
284.59,182.77
285.9,183.58
287.24,184.42
288.56,185.26
289.88,186.12
291.24,187.02
292.63,187.95
294.02,188.89
295.37,189.8
296.69,190.69
298.08,191.64
299.47,192.6
300.86,193.58
302.25,194.56
303.71,195.61
305.11,196.62
306.5,197.63
307.88,198.66
309.34,199.74
