min_m_mu,m_chi_10

74.897,74.29400000000001
78.42,77.788
81.942,81.27199999999999
85.464,84.745
88.986,88.21600000000001
92.509,91.705
96.032,95.208
99.556,98.713
103.08,102.217
106.604,105.72
110.128,109.225
113.652,112.731
117.176,116.23700000000001
120.701,119.744
124.225,123.249
127.746,126.72699999999999
130.032,128.923
132.739,131.516
134.592,133.26600000000002
137.086,135.63400000000001
140.608,139.074
144.131,142.525
147.654,145.97299999999998
151.177,149.429
154.701,152.896
158.225,156.382
161.749,159.865
165.273,163.349
168.797,166.829
172.321,170.302
175.992,173.91
179.481,177.31799999999998
182.878,180.624
186.465,184.127
189.937,187.48100000000002
193.538,190.965
197.12,194.317
199.951,196.964
203.62,200.6
207.145,204.125
210.67,207.648
214.314,211.206
217.717,214.479
221.326,217.87199999999999
224.55,220.888
226.302,222.188
228.803,224.381
231.503,226.642
234.656,229.33700000000002
237.191,231.4
240.271,233.897
243.2,236.26
245.399,237.776
248.43,240.186
254.54,244.09799999999998
243.962,232.892
240.436,229.138
236.91,225.377
233.384,221.628
229.858,217.875
226.365,214.019
222.805,209.87900000000002
219.275,205.608
216.02,201.434
212.475,196.941
209.234,192.948
206.332,189.033
202.783,184.481
199.467,179.977
195.94,175.958
192.415,172.113
188.889,168.255
185.363,164.426
181.838,160.671
178.313,157.072
174.787,153.347
171.262,149.512
167.736,145.613
164.21,141.68900000000002
160.684,137.745
157.158,133.87699999999998
153.633,130.02800000000002
150.107,126.065
146.581,121.93099999999998
143.055,117.81500000000001
139.529,113.771
136.003,109.70299999999999
132.477,105.658
128.951,101.64599999999999
125.425,97.618
121.9,93.88000000000001
118.375,90.32900000000001
114.85,86.737

117.8618181818182,86.42871349613355
121.89236363636365,86.19922636304229
125.9229090909091,86.15789626806763
129.95345454545458,87.04454749360553
133.98400000000004,88.10596642692269
137.96033839201195,89.67288888888888
138.0145454545455,89.69865584157841
142.04509090909093,92.20417811229777
143.86897756818126,93.70347474747474
146.07563636363636,95.70200632282823
148.2019688123029,97.73406060606061
150.10618181818185,99.37855993795745
153.87972872213427,101.76464646464646
154.1367272727273,101.90303209774596
158.16727272727275,104.28639654226293
160.3917559377031,105.79523232323233
162.1978181818182,106.99336490228117
166.21277442684706,109.82581818181818
166.22836363636367,109.83697625377408
170.25890909090913,112.7186084546829
171.93445894880477,113.85640404040404
174.2894545454546,115.578906490955
177.65394450035805,117.8869898989899
178.32000000000002,118.37998983410466
182.35054545454548,121.15328783490494
183.4874844976378,121.91757575757575
186.38109090909094,123.91551507738208
189.21599600852258,125.94816161616161
190.4116363636364,126.81055917283949
194.44218181818187,129.88649361692333
194.5697125362897,129.97874747474748
198.4727272727273,132.94449764396643
200.23213345313184,134.00933333333333
202.50327272727276,135.46328302657662
206.53381818181822,136.97864751056747
209.54848766768322,138.0399191919192
210.56436363636368,138.3775232966126
214.59490909090914,139.92903725379864
218.62545454545457,141.77785496103584


220.7810,147.7669
228.7336,164.0743
229.2400,165.0266
245.5474,178.1161
249.4608,180.3817
261.8549,188.9762
267.8144,196.6891
274.2712,212.9966
278.1623,218.9346
294.4697,227.9308
297.8128,229.3040
310.7771,235.0334
322.5599,245.6114
327.0846,252.9588
335.4548,261.9189
343.3920,266.9703
359.6994,273.3081
368.7823,278.2263
376.0069,283.4889
389.0042,294.5337
392.3143,297.9234
408.6217,309.0365
411.4606,310.8411
424.9291,319.2275
436.2383,327.1486
441.2366,331.4712
457.5440,342.5142
459.3323,343.4560
473.8514,351.2985
487.3601,359.7634
490.1589,361.5370
506.4663,370.3578
517.7331,376.0709
522.7737,379.3304
538.9527,392.3783
539.0811,392.4858
555.3886,402.5409
571.6960,405.0977
588.0034,406.2565
604.3109,405.7300
620.6183,401.5776
636.2079,392.3783
636.9257,391.8334
653.2331,376.3496
653.4914,376.0709
665.3365,359.7634
669.5406,352.1347
673.9732,343.4560
680.4785,327.1486
685.3150,310.8411
685.8480,308.2930
688.6568,294.5337
690.6810,278.2263
691.8539,261.9189
692.3919,245.6114
692.4083,229.3040
692.0564,212.9966
692.2009,196.6891
694.1213,180.3817
695.8682,164.0743
697.1114,147.7669
697.8302,131.4594
698.0837,115.1520
698.0931,98.8446
698.6427,82.5371
698.9995,66.2297
699.1549,49.9223
699.2060,33.6149
699.3022,17.3074
699.8814,1.0000
