#time_days luminosity_erg/s luminosity_errminus_erg/s luminosity_errplus_erg/s log_lbol log_lbol_err
0.638 1.1246049739669314e+42 8.472274141406049e+41 1.4927944095789943e+42 42.051 0.123
0.696 9.120108393559116e+41 6.998419960022716e+41 1.1885022274370262e+42 41.960 0.115
1.033 7.961593504173249e+41 6.011737374832829e+41 1.0543868963912667e+42 41.901 0.122
1.427 4.931738039549334e+41 4.064433291652078e+41 5.9841159506032105e+41 41.693 0.084
2.417 2.2284351492702983e+41 1.798870915128769e+41 2.760577856220362e+41 41.348 0.093
3.413 1.6255487557504783e+41 1.3489628825916394e+41 1.958844673505997e+41 41.211 0.081
4.403 1.2793813041575227e+41 1.0139113857366799e+41 1.6143585568264804e+41 41.107 0.101
7.383 6.426877173170194e+40 3.9810717055349856e+40 1.0375284158180085e+41 40.808 0.208
8.358 4.456562483975042e+40 2.716439268839067e+40 7.311390834834247e+40 40.649 0.215
9.350 1.5031419660900208e+40 9.571940712948481e+39 2.3604782331805637e+40 40.177 0.196
10.386 8.689604292863019e+39 4.197589839910052e+39 1.7988709151287985e+40 39.939 0.316
11.335 8.336811846196331e+39 3.548133892335731e+39 1.958844673505997e+40 39.921 0.371
12.307 7.585775750291882e+39 4.120975190973321e+39 1.3963683610559475e+40 39.880 0.265
13.303 5.834451042737423e+39 2.2855988033754394e+39 1.4893610777108972e+40 39.766 0.407
