Configuration	Term	J	Prefix	Level (Hartree)	Suffix	Uncertainty (Hartree)	Reference
"1s2.2s"	"2S"	"1/2"	""	"0.0000000"	""	"0.0000005"	"L3462"
"1s2.2p"	"2P*"	"1/2"	""	"0.0679061"	""	"0.0000005"	""
"1s2.2p"	"2P*"	"3/2"	""	"0.0679076"	""	"0.0000005"	""
"1s2.3s"	"2S"	"1/2"	""	"0.1239602"	""	"0.0000005"	""
"1s2.3p"	"2P*"	"1/2"	""	"0.1409064"	""	"0.0000005"	""
"1s2.3p"	"2P*"	"3/2"	""	"0.1409064"	""	"0.0000005"	""
"1s2.3d"	"2D"	"3/2"	""	"0.1425362"	""	"0.0000005"	""
"1s2.3d"	"2D"	"5/2"	""	"0.1425364"	""	"0.0000005"	""
"1s2.4s"	"2S"	"1/2"	""	"0.1595267"	""	"0.0000005"	""
"1s2.4p"	"2P*"	"1/2"	""	"0.1661675"	""	"0.0000005"	""
"1s2.4p"	"2P*"	"3/2"	""	"0.1661675"	""	"0.0000005"	""
"1s2.4d"	"2D"	"3/2"	""	"0.1668684"	""	"0.0000005"	""
"1s2.4d"	"2D"	"5/2"	""	"0.1668685"	""	"0.0000005"	""
"1s2.4f"	"2F*"	"5/2"	""	"0.166899"	""	"0.000005"	""
"1s2.4f"	"2F*"	"7/2"	""	"0.166899"	""	"0.000005"	""
"1s2.5s"	"2S"	"1/2"	""	"0.1745054"	""	"0.0000005"	""
"1s2.5p"	"2P*"	"1/2"	""	"0.1777680"	""	"0.0000005"	""
"1s2.5p"	"2P*"	"3/2"	""	"0.1777680"	""	"0.0000005"	""
"1s2.5d"	"2D"	"3/2"	""	"0.1781296"	""	"0.0000005"	""
"1s2.5d"	"2D"	"5/2"	""	"0.1781297"	""	"0.0000005"	""
"1s2.5f"	"2F*"	"5/2"	""	"0.178173"	""	"0.000005"	""
"1s2.5f"	"2F*"	"7/2"	""	"0.178173"	""	"0.000005"	""
"1s2.6s"	"2S"	"1/2"	""	"0.1821971"	""	"0.0000005"	""
"1s2.6p"	"2P*"	"1/2"	""	"0.1840342"	""	"0.0000005"	""
"1s2.6p"	"2P*"	"3/2"	""	"0.1840342"	""	"0.0000005"	""
"1s2.6d"	"2D"	"3/2"	""	"0.1842459"	""	"0.0000005"	""
"1s2.6d"	"2D"	"5/2"	""	"0.1842460"	""	"0.0000005"	""
"1s2.7s"	"2S"	"1/2"	""	"0.186663"	""	"0.000005"	""
"1s2.7p"	"2P*"	"1/2"	""	"0.1878001"	""	"0.0000005"	""
"1s2.7p"	"2P*"	"3/2"	""	"0.1878001"	""	"0.0000005"	""
"1s2.7d"	"2D"	"3/2"	""	"0.187933"	""	"0.000005"	""
"1s2.7d"	"2D"	"5/2"	""	"0.187933"	""	"0.000005"	""
"1s2.8s"	"2S"	"1/2"	""	"0.189485"	""	"0.000005"	""
"1s2.8p"	"2P*"	"1/2"	""	"0.1902344"	""	"0.0000005"	""
"1s2.8p"	"2P*"	"3/2"	""	"0.1902344"	""	"0.0000005"	""
"1s2.8d"	"2D"	"3/2"	""	"0.190324"	""	"0.000005"	""
"1s2.8d"	"2D"	"5/2"	""	"0.190324"	""	"0.000005"	""
"1s2.9s"	"2S"	"1/2"	""	"0.191381"	""	"0.000005"	""
"1s2.9p"	"2P*"	"1/2"	""	"0.1919050"	""	"0.0000005"	""
"1s2.9p"	"2P*"	"3/2"	""	"0.1919050"	""	"0.0000005"	""
"1s2.9d"	"2D"	"3/2"	""	"0.191964"	""	"0.000005"	""
"1s2.9d"	"2D"	"5/2"	""	"0.191964"	""	"0.000005"	""
"1s2.10s"	"2S"	"1/2"	""	"0.19272"	""	"0.00005"	""
"1s2.10p"	"2P*"	"1/2"	""	"0.1930937"	""	"0.0000005"	""
"1s2.10p"	"2P*"	"3/2"	""	"0.1930937"	""	"0.0000005"	""
"1s2.10d"	"2D"	"3/2"	""	"0.19314"	""	"0.00005"	""
"1s2.10d"	"2D"	"5/2"	""	"0.19314"	""	"0.00005"	""
"1s2.11s"	"2S"	"1/2"	""	"0.19369"	""	"0.00005"	""
"1s2.11p"	"2P*"	"1/2"	""	"0.193959"	""	"0.000005"	""
"1s2.11p"	"2P*"	"3/2"	""	"0.193959"	""	"0.000005"	""
"1s2.11d"	"2D"	"3/2"	""	"0.19400"	""	"0.00005"	""
"1s2.11d"	"2D"	"5/2"	""	"0.19400"	""	"0.00005"	""
"1s2.12p"	"2P*"	"1/2"	""	"0.1946427"	""	"0.0000005"	""
"1s2.12p"	"2P*"	"3/2"	""	"0.1946427"	""	"0.0000005"	""
"1s2.12d"	"2D"	"3/2"	""	"0.19467"	""	"0.00005"	""
"1s2.12d"	"2D"	"5/2"	""	"0.19467"	""	"0.00005"	""
"1s2.13p"	"2P*"	"1/2"	""	"0.1951611"	""	"0.0000005"	""
"1s2.13p"	"2P*"	"3/2"	""	"0.1951611"	""	"0.0000005"	""
"1s2.14p"	"2P*"	"1/2"	""	"0.1955734"	""	"0.0000005"	""
"1s2.14p"	"2P*"	"3/2"	""	"0.1955734"	""	"0.0000005"	""
"1s2.15p"	"2P*"	"1/2"	""	"0.1959020"	""	"0.0000005"	""
"1s2.15p"	"2P*"	"3/2"	""	"0.1959020"	""	"0.0000005"	""
"1s2.16p"	"2P*"	"1/2"	""	"0.1961746"	""	"0.0000005"	""
"1s2.16p"	"2P*"	"3/2"	""	"0.1961746"	""	"0.0000005"	""
"1s2.17p"	"2P*"	"1/2"	""	"0.1964027"	""	"0.0000005"	""
"1s2.17p"	"2P*"	"3/2"	""	"0.1964027"	""	"0.0000005"	""
"1s2.18p"	"2P*"	"1/2"	""	"0.1965920"	""	"0.0000005"	""
"1s2.18p"	"2P*"	"3/2"	""	"0.1965920"	""	"0.0000005"	""
"1s2.19p"	"2P*"	"1/2"	""	"0.1967509"	""	"0.0000005"	""
"1s2.19p"	"2P*"	"3/2"	""	"0.1967509"	""	"0.0000005"	""
"1s2.20p"	"2P*"	"1/2"	""	"0.1968856"	""	"0.0000005"	""
"1s2.20p"	"2P*"	"3/2"	""	"0.1968856"	""	"0.0000005"	""
"1s2.21p"	"2P*"	"1/2"	""	"0.1970030"	""	"0.0000005"	""
"1s2.21p"	"2P*"	"3/2"	""	"0.1970030"	""	"0.0000005"	""
"1s2.22p"	"2P*"	"1/2"	""	"0.1971031"	""	"0.0000005"	""
"1s2.22p"	"2P*"	"3/2"	""	"0.1971031"	""	"0.0000005"	""
"1s2.23p"	"2P*"	"1/2"	""	"0.1971935"	""	"0.0000005"	""
"1s2.23p"	"2P*"	"3/2"	""	"0.1971935"	""	"0.0000005"	""
"1s2.24p"	"2P*"	"1/2"	""	"0.1972712"	""	"0.0000005"	""
"1s2.24p"	"2P*"	"3/2"	""	"0.1972712"	""	"0.0000005"	""
"1s2.25p"	"2P*"	"1/2"	""	"0.1973415"	""	"0.0000005"	""
"1s2.25p"	"2P*"	"3/2"	""	"0.1973415"	""	"0.0000005"	""
"1s2.26p"	"2P*"	"1/2"	""	"0.1974024"	""	"0.0000005"	""
"1s2.26p"	"2P*"	"3/2"	""	"0.1974024"	""	"0.0000005"	""
"1s2.27p"	"2P*"	"1/2"	""	"0.1974552"	""	"0.0000005"	""
"1s2.27p"	"2P*"	"3/2"	""	"0.1974552"	""	"0.0000005"	""
"1s2.28p"	"2P*"	"1/2"	""	"0.1975007"	""	"0.0000005"	""
"1s2.28p"	"2P*"	"3/2"	""	"0.1975007"	""	"0.0000005"	""
"1s2.29p"	"2P*"	"1/2"	""	"0.1975395"	""	"0.0000005"	""
"1s2.29p"	"2P*"	"3/2"	""	"0.1975395"	""	"0.0000005"	""
"1s2.30p"	"2P*"	"1/2"	""	"0.1975796"	""	"0.0000005"	""
"1s2.30p"	"2P*"	"3/2"	""	"0.1975796"	""	"0.0000005"	""
"1s2.31p"	"2P*"	"1/2"	""	"0.1976176"	""	"0.0000005"	""
"1s2.31p"	"2P*"	"3/2"	""	"0.1976176"	""	"0.0000005"	""
"1s2.32p"	"2P*"	"1/2"	""	"0.1976461"	""	"0.0000005"	""
"1s2.32p"	"2P*"	"3/2"	""	"0.1976461"	""	"0.0000005"	""
"1s2.33p"	"2P*"	"1/2"	""	"0.197676"	""	"0.000005"	""
"1s2.33p"	"2P*"	"3/2"	""	"0.197676"	""	"0.000005"	""
"1s2.34p"	"2P*"	"1/2"	""	"0.197701"	""	"0.000005"	""
"1s2.34p"	"2P*"	"3/2"	""	"0.197701"	""	"0.000005"	""
"1s2.35p"	"2P*"	"1/2"	""	"0.197724"	""	"0.000005"	""
"1s2.35p"	"2P*"	"3/2"	""	"0.197724"	""	"0.000005"	""
"1s2.36p"	"2P*"	"1/2"	""	"0.197747"	""	"0.000005"	""
"1s2.36p"	"2P*"	"3/2"	""	"0.197747"	""	"0.000005"	""
"1s2.37p"	"2P*"	"1/2"	""	"0.197766"	""	"0.000005"	""
"1s2.37p"	"2P*"	"3/2"	""	"0.197766"	""	"0.000005"	""
"1s2.38p"	"2P*"	"1/2"	""	"0.197784"	""	"0.000005"	""
"1s2.38p"	"2P*"	"3/2"	""	"0.197784"	""	"0.000005"	""
"1s2.39p"	"2P*"	"1/2"	""	"0.197801"	""	"0.000005"	""
"1s2.39p"	"2P*"	"3/2"	""	"0.197801"	""	"0.000005"	""
"1s2.40p"	"2P*"	"1/2"	""	"0.197822"	""	"0.000005"	""
"1s2.40p"	"2P*"	"3/2"	""	"0.197822"	""	"0.000005"	""
"1s2.41p"	"2P*"	"1/2"	""	"0.197840"	""	"0.000005"	""
"1s2.41p"	"2P*"	"3/2"	""	"0.197840"	""	"0.000005"	""
"1s2.42p"	"2P*"	"1/2"	""	"0.197856"	""	"0.000005"	""
"1s2.42p"	"2P*"	"3/2"	""	"0.197856"	""	"0.000005"	""
"Li II (1s2 1S<0>)"	"Limit"	"---"	""	"0.1981418715"	""	"0.0000000008"	"L12261"
"1s.2s.2p"	"4P*"	"1/2"	""	"2.1120"	""	"0.0005"	""
"1s.2s.2p"	"4P*"	"3/2"	""	"2.1120"	""	"0.0005"	""
"1s.2s.2p"	"4P*"	"5/2"	""	"2.1120"	""	"0.0005"	""
"1s.2p.(1P*).2s"	"2P*"	"1/2"	""	"2.1649"	""	"0.0005"	""
"1s.2p.(1P*).2s"	"2P*"	"3/2"	""	"2.1649"	""	"0.0005"	""
"1s.2p2"	"4P"	"1/2"	""	"2.2346"	""	"0.0005"	""
