Configuration	Term	J	Prefix	Level (Hartree)	Suffix	Uncertainty (Hartree)	Reference
"1s.2p2"	"4P"	"3/2"	""	"2.2346"	""	"0.0005"	""
"1s.2p2"	"4P"	"5/2"	""	"2.2346"	""	"0.0005"	""
"1s.2s.3p"	"4P*"	"1/2"	""	"2.2534"	""	"0.0005"	""
"1s.2s.3p"	"4P*"	"3/2"	""	"2.2534"	""	"0.0005"	""
"1s.2s.3p"	"4P*"	"5/2"	""	"2.2534"	""	"0.0005"	""
"1s.2p2"	"2P"	"1/2"	""	"2.2637"	""	"0.0005"	""
"1s.2p2"	"2P"	"3/2"	""	"2.2637"	""	"0.0005"	""
"1s.2s.3s"	"4S"	"3/2"	""	"2.267"	""	"0.005"	""
"1s.2p.3s"	"4P*"	"1/2"	""	"2.3067"	""	"0.0005"	""
"1s.2p.3s"	"4P*"	"3/2"	""	"2.3067"	""	"0.0005"	""
"1s.2p.3s"	"4P*"	"5/2"	""	"2.3067"	""	"0.0005"	""
"1s.2s.3d"	"4D"	"1/2"	""	"2.3069"	""	"0.0005"	""
"1s.2s.3d"	"4D"	"3/2"	""	"2.3069"	""	"0.0005"	""
"1s.2s.3d"	"4D"	"5/2"	""	"2.3069"	""	"0.0005"	""
"1s.2s.3d"	"4D"	"7/2"	""	"2.3069"	""	"0.0005"	""
"1s.2s.4s"	"4S"	"3/2"	""	"2.3218"	""	"0.0005"	""
"1s.2s.5s"	"4S"	"3/2"	""	"2.3420"	""	"0.0005"	""
"1s.2s.4p"	"4P*"	"1/2"	""	"2.3493"	""	"0.0005"	""
"1s.2s.4p"	"4P*"	"3/2"	""	"2.3493"	""	"0.0005"	""
"1s.2s.4p"	"4P*"	"5/2"	""	"2.3493"	""	"0.0005"	""
"1s.2s.6s"	"4S"	"3/2"	""	"2.3516"	""	"0.0005"	""
"1s.2p.4s"	"4P*"	"1/2"	""	"2.3605"	""	"0.0005"	""
"1s.2p.4s"	"4P*"	"3/2"	""	"2.3605"	""	"0.0005"	""
"1s.2p.4s"	"4P*"	"5/2"	""	"2.3605"	""	"0.0005"	""
"1s.2s.7s"	"4S"	"3/2"	""	"2.3641"	""	"0.0005"	""
"1s.2p.3p"	"4P"	"1/2"	""	"2.3840"	""	"0.0005"	""
"1s.2p.3p"	"4P"	"3/2"	""	"2.3840"	""	"0.0005"	""
"1s.2p.3p"	"4P"	"5/2"	""	"2.3840"	""	"0.0005"	""
"1s.2p.3d"	"4D*"	"1/2"	""	"2.3934"	""	"0.0005"	""
"1s.2p.3d"	"4D*"	"3/2"	""	"2.3934"	""	"0.0005"	""
"1s.2p.3d"	"4D*"	"5/2"	""	"2.3934"	""	"0.0005"	""
"1s.2p.3d"	"4D*"	"7/2"	""	"2.3934"	""	"0.0005"	""
"1s.2p.(1P*).3s"	"2P*"	"1/2"	""	"2.3985"	""	"0.0005"	""
"1s.2p.(1P*).3s"	"2P*"	"3/2"	""	"2.3985"	""	"0.0005"	""
"1s.2p.4p"	"4P"	"1/2"	""	"2.4174"	""	"0.0005"	""
"1s.2p.4p"	"4P"	"3/2"	""	"2.4174"	""	"0.0005"	""
"1s.2p.4p"	"4P"	"5/2"	""	"2.4174"	""	"0.0005"	""
"1s.2p.5p"	"4P"	"1/2"	""	"2.4317"	""	"0.0005"	""
"1s.2p.5p"	"4P"	"3/2"	""	"2.4317"	""	"0.0005"	""
"1s.2p.5p"	"4P"	"5/2"	""	"2.4317"	""	"0.0005"	""
"1s.2p.6p"	"4P"	"1/2"	""	"2.4394"	""	"0.0005"	""
"1s.2p.6p"	"4P"	"3/2"	""	"2.4394"	""	"0.0005"	""
"1s.2p.6p"	"4P"	"5/2"	""	"2.4394"	""	"0.0005"	""
"1s.2p.(1P*).4s"	"2P*"	"1/2"	""	"2.4422"	""	"0.0005"	""
"1s.2p.(1P*).4s"	"2P*"	"3/2"	""	"2.4422"	""	"0.0005"	""
"1s.2p.(1P*).5s"	"2P*"	"1/2"	""	"2.460"	""	"0.005"	""
"1s.2p.(1P*).5s"	"2P*"	"3/2"	""	"2.460"	""	"0.005"	""
"1s.2p.(1P*).6s"	"2P*"	"1/2"	""	"2.4683"	""	"0.0005"	""
"1s.2p.(1P*).6s"	"2P*"	"3/2"	""	"2.4683"	""	"0.0005"	""
"1s.2p.(1P*).7s"	"2P*"	"1/2"	""	"2.4730"	""	"0.0005"	""
"1s.2p.(1P*).7s"	"2P*"	"3/2"	""	"2.4730"	""	"0.0005"	""
"1s.2p.(1P*).8s"	"2P*"	"1/2"	""	"2.4761"	""	"0.0005"	""
"1s.2p.(1P*).8s"	"2P*"	"3/2"	""	"2.4761"	""	"0.0005"	""
"1s.2p.(1P*).9s"	"2P*"	"1/2"	""	"2.4781"	""	"0.0005"	""
"1s.2p.(1P*).9s"	"2P*"	"3/2"	""	"2.4781"	""	"0.0005"	""
"1s.2p.(1P*).10s"	"2P*"	"1/2"	""	"2.4797"	""	"0.0005"	""
"1s.2p.(1P*).10s"	"2P*"	"3/2"	""	"2.4797"	""	"0.0005"	""
"1s.2p.(1P*).11s"	"2P*"	"1/2"	""	"2.4806"	""	"0.0005"	""
"1s.2p.(1P*).11s"	"2P*"	"3/2"	""	"2.4806"	""	"0.0005"	""
