Configuration	Term	J	Prefix	Level (Hartree)	Suffix	Uncertainty (Hartree)	Leading percentages	Reference
"2p6.10d"	"2D"	"3/2"	""	"0.183843198"	""	"0.000000009"	"                                                                                              "	""
"2p6.10f"	"2F*"	"7/2"	"["	"0.183856151"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.10f"	"2F*"	"5/2"	"["	"0.183856151"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.10g"	"2G"	"7/2,9/2"	"["	"0.183857308"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.10h"	"2H*"	"9/2,11/2"	"["	"0.183857573"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.11p"	"2P*"	"1/2"	""	"0.183998145"	""	"0.000000009"	"                                                                                              "	""
"2p6.11p"	"2P*"	"3/2"	""	"0.183998928"	""	"0.000000009"	"                                                                                              "	""
"2p6.12s"	"2S"	"1/2"	""	"0.184450639"	""	"0.000000009"	"                                                                                              "	""
"2p6.11d"	"2D"	"5/2"	"["	"0.184714255"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.11d"	"2D"	"3/2"	"["	"0.184714264"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.11f"	"2F*"	"5/2"	"["	"0.184724279"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.11f"	"2F*"	"7/2"	"["	"0.184724279"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.11g"	"2G"	"7/2,9/2"	"["	"0.184725149"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.12p"	"2P*"	"1/2"	"["	"0.184831307"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.12p"	"2P*"	"3/2"	"["	"0.184831899"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.13s"	"2S"	"1/2"	"["	"0.185174695"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.12d"	"2D"	"3/2"	"["	"0.185376819"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.12d"	"2D"	"5/2"	"["	"0.185376819"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.12f"	"2F*"	"5/2,7/2"	"["	"0.185384537"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.12g"	"2G"	"7/2,9/2"	"["	"0.185385216"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.13p"	"2P*"	"1/2"	"["	"0.185467194"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.13p"	"2P*"	"3/2"	"["	"0.185467649"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.14s"	"2S"	"1/2"	"["	"0.185733922"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.13d"	"2D"	"5/2"	"["	"0.185892291"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.13d"	"2D"	"3/2"	"["	"0.185892300"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.13f"	"2F*"	"5/2,7/2"	"["	"0.185898360"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.13g"	"2G"	"7/2,9/2"	"["	"0.185898893"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.14p"	"2P*"	"1/2"	"["	"0.185963511"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.14p"	"2P*"	"3/2"	"["	"0.185963871"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.15s"	"2S"	"1/2"	"["	"0.186174811"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.14d"	"2D"	"5/2"	"["	"0.186301195"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.14d"	"2D"	"3/2"	"["	"0.186301199"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.14f"	"2F*"	"5/2,7/2"	"["	"0.186306052"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.14g"	"2G"	"7/2,9/2"	"["	"0.186306480"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.15p"	"2P*"	"1/2"	"["	"0.186358313"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.15p"	"2P*"	"3/2"	"["	"0.186358600"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.16s"	"2S"	"1/2"	"["	"0.186528533"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.15d"	"2D"	"3/2"	"["	"0.186631005"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.15d"	"2D"	"5/2"	"["	"0.186631005"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.15f"	"2F*"	"5/2,7/2"	"["	"0.186634951"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.15g"	"2G"	"7/2,9/2"	"["	"0.186635302"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.16p"	"2P*"	"1/2"	"["	"0.186677502"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.16p"	"2P*"	"3/2"	"["	"0.186677739"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.17s"	"2S"	"1/2"	"["	"0.186816648"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.16d"	"2D"	"5/2"	"["	"0.186900872"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.16d"	"2D"	"3/2"	"["	"0.186900877"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.16f"	"2F*"	"5/2,7/2"	"["	"0.186904125"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.16g"	"2G"	"7/2,9/2"	"["	"0.186904412"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.17p"	"2P*"	"1/2"	"["	"0.186939232"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.17p"	"2P*"	"3/2"	"["	"0.186939428"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.18s"	"2S"	"1/2"	"["	"0.187054425"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.17d"	"2D"	"5/2"	"["	"0.187124492"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.17d"	"2D"	"3/2"	"["	"0.187124497"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.17f"	"2F*"	"5/2,7/2"	"["	"0.187127203"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.17g"	"2G"	"7/2,9/2"	"["	"0.187127445"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.18p"	"2P*"	"1/2"	"["	"0.187156510"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.18p"	"2P*"	"3/2"	"["	"0.187156669"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.19s"	"2S"	"1/2"	"["	"0.187252945"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.18d"	"2D"	"3/2"	"["	"0.187311863"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.18d"	"2D"	"5/2"	"["	"0.187311863"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.18f"	"2F*"	"5/2,7/2"	"["	"0.187314145"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.18g"	"2G"	"7/2"	"["	"0.187314346"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.18g"	"2G"	"9/2"	"["	"0.187314350"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.19p"	"2P*"	"1/2"	"["	"0.187338854"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.19p"	"2P*"	"3/2"	"["	"0.187338991"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.20s"	"2S"	"1/2"	"["	"0.187420399"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.19d"	"2D"	"5/2"	"["	"0.187470409"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.19d"	"2D"	"3/2"	"["	"0.187470414"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.19f"	"2F*"	"5/2,7/2"	"["	"0.187472350"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.19g"	"2G"	"7/2,9/2"	"["	"0.187472524"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.20p"	"2P*"	"1/2"	"["	"0.187493378"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.20p"	"2P*"	"3/2"	"["	"0.187493496"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.20d"	"2D"	"3/2"	"["	"0.187605760"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.20d"	"2D"	"5/2"	"["	"0.187605760"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.20f"	"2F*"	"5/2,7/2"	"["	"0.187607423"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.20g"	"2G"	"7/2,9/2"	"["	"0.187607569"	"]"	"0.000000009"	"                                                                                              "	""
"Na II (2p6 1S<0>)"	"Limit"	"---"	""	"0.188857595"	""	"0.000000009"	"                                                                                              "	"L10921,L9648"
"2p5.3s2"	"2P*"	"3/2"	""	"1.130746"	""	"0.000023"	"  93                                               :     6  2p5.(2P*).3p2.(1S)    2P*         "	""
"2p5.3s2"	"2P*"	"1/2"	""	"1.13676"	""	"0.00005"	"  93                                               :     6  2p5.(2P*).3p2.(1S)    2P*         "	""
"2p5.(2P*).3s.3p.(3P*)"	"4S"	"3/2"	""	"1.201712"	""	"0.000018"	"  97                                                                                          "	""
"2p5.(2P*).3s.3p.(3P*)"	"4D"	"7/2"	""	"1.214658"	""	"0.000018"	"  98                                                                                          "	""
"2p5.(2P*).3s.3p.(3P*)"	"4D"	"5/2"	""	"1.216240"	""	"0.000017"	"  93                                                                                          "	""
"2p5.(2P*).3s.3p.(3P*)"	"4D"	"3/2"	""	"1.217828"	""	"0.000017"	"  90                                               :     5                        2D          "	""
"2p5.(2P*).3s.3p.(3P*)"	"4D"	"1/2"	""	"1.219166"	""	"0.000017"	"  94                                                                                          "	""
"2p5.(2P*).3s.3p.(3P*)"	"4P"	"5/2"	""	"1.223439"	""	"0.000017"	"  82                                               :    17                        2D          "	""
"2p5.(2P*).3s.3p.(3P*)"	"4P"	"3/2"	""	"1.225187"	""	"0.000017"	"  49                                               :    45                        2D          "	""
"2p5.(2P*).3s.3p.(3P*)"	"4P"	"1/2"	""	"1.226048"	""	"0.000018"	"  94                                                                                          "	""
"2p5.(2P*).3s.3p.(3P*)"	"2D"	"3/2"	""	"1.22896"	""	"0.00006"	"  48                                               :    43                        4P          "	""
"2p5.(2P*).3s.3p.(3P*)"	"2D"	"5/2"	""	"1.23110"	""	"0.00006"	"  78                                               :    15                        4P          "	""
"2p5.(2P*).3s.3p.(3P*)"	"2P"	"1/2"	""	"1.23286"	""	"0.00006"	"  94                                                                                          "	""
"2p5.(2P*).3s.3p.(3P*)"	"2P"	"3/2"	""	"1.23421"	""	"0.00006"	"  92                                                                                          "	""
"2p5.(2P*).3s.3p.(3P*)"	"2S"	"1/2"	""	"1.24495"	""	"0.00006"	"  82                                               :    12  2p5.(2P*).3s.3p.(1P*) 2S          "	""
"2p5.(2P*).3s.3p.(1P*)"	"2D"	"5/2"	""	"1.27849"	""	"0.00006"	"  86                                               :     5  2p5.3s.(3P*).4p       2D          "	""
"2p5.(2P*).3s.3p.(1P*)"	"2D"	"3/2"	""	"1.28523"	""	"0.00006"	"  39                                               :    45                        2P          "	""
"2p5.(2P*).3s.3p.(1P*)"	"2S"	"1/2"	""	"1.27932"	""	"0.00006"	"  62                                               :    10  2p5.3s.(3P*).4p       2S          "	""
"2p5.(2P*).3s.3p.(1P*)"	"2P"	"3/2"	""	"1.28042"	""	"0.00006"	"  38                                               :    47                        2D          "	""
"2p5.(2P*).3s.3p.(1P*)"	"2P"	"1/2"	""	"1.28640"	""	"0.00006"	"  73                                               :     9                        2S          "	""
"2p5.3s.(3P*).4s"	"4P*"	"5/2"	""	"1.304481"	""	"0.000017"	"  99                                                                                          "	""
"2p5.3s.(3P*).4s"	"4P*"	"3/2"	""	"1.306982"	""	"0.000017"	"  87                                           or  :    55  2p5.3s.(3P*<1>).4s    2[1]*       "	""
"2p5.3s.(3P*).4s"	"4P*"	"1/2"	""	"1.309376"	""	"0.000017"	"  87                                           or  :    56  2p5.3s.(3P*<1>).4s    2[1]*       "	""
"2p5.3s.(3P*).4s"	"2P*"	"3/2"	""	"1.31428"	""	"0.00003"	"  86                                           or  :    52  2p5.3s.(3P*<2>).4s    2[2]*       "	""
"2p5.3s.(3P*).4s"	"2P*"	"1/2"	""	"1.31515"	""	"0.00008"	"  62                                           or  :    53  2p5.3s.(3P*<0>).4s    2[0]*       "	""
"2p5.3s.(3P*).3d"	"2P*"	"1/2"	""	"1.32240"	""	"0.00003"	"  67                                           or  :    35  2p5.3s.(3P*<2>).3d    2[1]*       "	""
"2p5.3s.(3P*).3d"	"2P*"	"3/2"	""	"1.32357"	""	"0.00003"	"  44                                           or  :    40  2p5.3s.(3P*<2>).3d    2[2]*       "	""
"2p5.3s.(1P*).4s"	"2P*"	"3/2"	""	"1.32492"	""	"0.00003"	"  89                                           or  :    89  2p5.3s.(1P*<1>).4s    2[1]*       "	""
"2p5.3s.(1P*).4s"	"2P*"	"1/2"	""	"1.32762"	""	"0.00003"	"  68                                           or  :    68  2p5.3s.(1P*<1>).4s    2[1]*       "	""
"2p5.3s.(3P*).3d"	"2D*"	"3/2"	""	"1.33086"	""	"0.00008"	"  51                                           or  :    29  2p5.3s.(3P*<1>).3d    2[1]*       "	""
"2p5.3s.(3P*).3d"	"4P*"	"1/2"	""	"1.331450"	""	"0.000018"	"  94                                           or  :    62  2p5.3s.(3P*<2>).3d    2[0]*       "	""
"2p5.3s.(3P*).3d"	"4P*"	"3/2"	""	"1.331768"	""	"0.000018"	"  77                                           or  :    73  2p5.3s.(3P*<2>).3d    2[1]*       "	""
"2p5.3s.(3P*).3d"	"4F*"	"9/2"	""	"1.332002"	""	"0.000019"	"  99                                           or  :    99  2p5.3s.(3P*<2>).3d    2[4]*       "	""
"2p5.3s.(3P*).3d"	"4F*"	"7/2"	""	"1.332499"	""	"0.000018"	"  53                                           or  :    84  2p5.3s.(3P*<2>).3d    2[3]*       "	""
"2p5.3s.(3P*).3d"	"4F*"	"5/2"	""	"1.334614"	""	"0.000018"	"  56                                           or  :    57  2p5.3s.(3P*<1>).3d    2[2]*       "	""
"2p5.3s.(3P*).3d"	"4F*"	"3/2"	""	"1.337412"	""	"0.000020"	"  58                                           or  :    61  2p5.3s.(3P*<0>).3d    2[2]*       "	""
"2p5.3s.(3P*).3d"	"4D*"	"5/2"	""	"1.332270"	""	"0.000018"	"  48                                           or  :    81  2p5.3s.(3P*<2>).3d    2[2]*       "	""
"2p5.3s.(3P*).3d"	"4D*"	"3/2"	""	"1.335053"	""	"0.000018"	"  43                                           or  :    37  2p5.3s.(3P*<1>).3d    2[2]*       "	""
"2p5.3s.(3P*).3d"	"4D*"	"1/2"	""	"1.335613"	""	"0.000018"	"  87                                           or  :    71  2p5.3s.(3P*<1>).3d    2[1]*       "	""
"2p5.3s.(3P*).4p"	"2D"	"3/2"	""	"1.34436"	""	"0.00007"	"                                                                                              "	""
"2p5.3s.(1P*).3d"	"2P*"	"3/2"	""	"1.34546"	""	"0.00003"	"  54                                           or  :    54  2p5.3s.(1P*<1>).3d    2[1]*       "	""
"2p5.3s.(1P*).3d"	"2P*"	"1/2"	""	"1.34652"	""	"0.00003"	"  70                                           or  :    70  2p5.3s.(1P*<1>).3d    2[1]*       "	""
"2p5.3s.(1P*).3d"	"2D*"	"5/2"	""	"1.3475"	""	"0.0004"	"  67                                           or  :    67  2p5.3s.(1P*<1>).3d    2[2]*       "	""
"2p5.3s.(1P*).3d"	"2D*"	"3/2"	""	"1.34753"	""	"0.00006"	"  54                                           or  :    54  2p5.3s.(1P*<1>).3d    2[2]*       "	""
"2p5.3s.(1P*).4p"	"2D"	"5/2"	""	"1.35130"	""	"0.00007"	"                                                                                              "	""
"2p5.3s.(1P*).4p"	"2D"	"3/2"	""	"1.35345"	""	"0.00007"	"                                                                                              "	""
"2p5.3s.(1P*).4p"	"2S"	"1/2"	""	"1.35149"	""	"0.00007"	"                                                                                              "	""
"2p5.3s.(1P*).4p"	"2P"	"3/2"	""	"1.35236"	""	"0.00007"	"                                                                                              "	""
"2p5.3s.(1P*).4p"	"2P"	"1/2"	""	"1.35378"	""	"0.00007"	"                                                                                              "	""
"2p5.3s.(3P*).5s"	"4P*"	"3/2"	""	"1.35357"	""	"0.00003"	"  60                                           or  :    76  2p5.3s.(3P*<2>).5s    2[2]*       "	""
"2p5.3s.(3P*).5s"	"2P*"	"3/2"	""	"1.35617"	""	"0.00003"	"  55                                           or  :    74  2p5.3s.(3P*<1>).5s    2[1]*       "	""
"2p5.3s.(3P*).5s"	"2P*"	"1/2"	""	"1.35938"	""	"0.00003"	"  63                                           or  :    83  2p5.3s.(3P*<0>).5s    2[0]*       "	""
"2p5.3s.(3P*).4d"	"2P*"	"1/2"	""	"1.35653"	""	"0.00003"	"  71                                           or  :    39  2p5.3s.(3P*<2>).4d    2[1]*       "	""
"2p5.3s.(3P*).4d"	"2P*"	"3/2"	""	"1.35710"	""	"0.00003"	"  40                                           or  :    45  2p5.3s.(3P*<2>).4d    2[2]*       "	""
"2p5.3s.(3P*).4d"	"2D*"	"3/2"	""	"1.36228"	""	"0.00006"	"  43                                           or  :    41  2p5.3s.(3P*<1>).4d    2[2]*       "	""
"2p5.3s.(3P*).4d"	"4F*"	"3/2"	""	"1.36708"	""	"0.00003"	"  61                                           or  :    80  2p5.3s.(3P*<0>).4d    2[2]*       "	""
"2p5.3s.(1P*).5s"	"2P*?"	"3/2"	""	"1.36973"	""	"0.00003"	"  79                                           or  :    79  2p5.3s.(1P*<1>).5s    2[1]*       "	""
"2p5.3s.(3P*).6s"	"2P*"	"3/2"	""	"1.37044"	""	"0.00003"	"  47                                           or  :    76  2p5.3s.(3P*<2>).6s    2[2]*       "	""
"2p5.3s.(3P*).6s"	"4P*?"	"3/2"	""	"1.37338"	""	"0.00003"	"  41                                           or  :    61  2p5.3s.(3P*<1>).6s    2[1]*       "	""
"2p5.3s.(3P*).6s"	"4P*?"	"1/2"	""	"1.37367"	""	"0.00006"	"  54                                           or  :    81  2p5.3s.(3P*<1>).6s    2[1]*       "	""
"2p5.3s.(1P*).4d"	"2P*?"	"3/2"	""	"1.37414"	""	"0.00003"	"  23                                           or  :    23  2p5.3s.(1P*<1>).4d    2[1]*       "	""
"2p5.3s.(1P*).4d"	"2P*?"	"1/2"	""	"1.37590"	""	"0.00003"	"  40  2p5.3s.(3P*).5d 4D*                      or  :    28  2p5.3s.(1P*<1>).4d    2[1]*       "	""
"2p5.3s.(3P*).6s"	"2P*?"	"1/2"	""	"1.37666"	""	"0.00008"	"  51                                           or  :    90  2p5.3s.(3P*<0>).6s    2[0]*       "	""
"2p5.3s.(3P*).5d"	"4F*?"	"3/2"	""	"1.37792"	""	"0.00003"	"  30                                           or  :    60  2p5.3s.(3P*<1>).5d    2[2]*       "	""
"2p5.3s.(3P*).5d"	"4D*?"	"1/2"	""	"1.37810"	""	"0.00003"	"  41                                           or  :    56  2p5.3s.(3P*<1>).5d    2[1]*       "	""
"2p5.3s.(3P*).7s"	"2P*"	"3/2"	""	"1.37914"	""	"0.00003"	"  71                                           or  :    96  2p5.3s.(3P*<2>).7s    2[2]*       "	""
"2p5.3s.(3P*).6d"	"2P*?"	"1/2"	""	"1.37980"	""	"0.00003"	"  63                                           or  :    37  2p5.3s.(3P*<2>).6d    2[1]*       "	""
"2p5.3s.(3P*).6d"	"4P*?"	"1/2,3/2"	""	"1.38163"	""	"0.00003"	"  63                                           or  :        2p5.3s.(3P*<2>).6d    2[0]*,2[1]* "	""
"2p5.3s.(3P*).7s"	"2P*,4P*"	"1/2,3/2"	""	"1.38240"	""	"0.00003"	"                                               or  :    89  2p5.3s.(3P*<1>).7s    2[1]*       "	""
"2p5.3s.(3P*).6d"	"4D*?"	"1/2"	""	"1.38368"	""	"0.00003"	"                                               or  :        2p5.3s.(3P*<1>).6d    2[1]*       "	""
"2p5.3s.(3P*).8s"	"2P*?"	"3/2"	""	"1.38394"	""	"0.00008"	"  73                                           or  :    92  2p5.3s.(3P*<2>).8s    2[2]*       "	""
"2p5.3s.(3P*).7s"	"4P*"	"1/2"	""	"1.38501"	""	"0.00003"	"  56                                           or  :    94  2p5.3s.(3P*<0>).7s    2[0]*       "	""
"2p5.3s.(3P*).7d"	"4P*?"	"3/2"	""	"1.38537"	""	"0.00003"	"  61                                           or  :    65  2p5.3s.(3P*<2>).7d    2[1]*       "	""
"2p5.3s.(3P*).7d"	"2P*?"	"1/2"	""	"1.38554"	""	"0.00008"	"  20  2p5.(2P*).3p2.(3P) 2P*                   or  :    17  2p5.3s.(3P*<2>).7d    2[0]*       "	""
"2p5.3s.(3P*).9s"	"2P*"	"3/2"	""	"1.38682"	""	"0.00003"	"  66                                           or  :    81  2p5.3s.(3P*<2>).9s    2[2]*       "	""
"2p5.3s.(1P*).6s"	"2P*"	"1/2,3/2"	""	"1.38718"	""	"0.00003"	"  47                                           or  :    47  2p5.3s.(1P*<1>).6s    2[1]*       "	""
"2p5.3s.(3P*).6d"	"4F*?"	"3/2"	""	"1.38762"	""	"0.00003"	"  31                                           or  :    18  2p5.3s.(3P*<0>).6d    2[2]*       "	""
