Configuration	Term	J	Prefix	Level (Hartree)	Suffix	Uncertainty (Hartree)	Leading percentages	Reference
"2p6.3s"	"2S"	"1/2"	""	"0.0000000000"	""	"0"	"                                                                                              "	"L13237"
"2p6.3p"	"2P*"	"1/2"	""	"0.07725799626"	""	"0.00000000018"	"                                                                                              "	""
"2p6.3p"	"2P*"	"3/2"	""	"0.07733634673"	""	"0.00000000023"	"                                                                                              "	""
"2p6.4s"	"2S"	"1/2"	""	"0.117280065"	""	"0.000000014"	"                                                                                              "	""
"2p6.3d"	"2D"	"5/2"	""	"0.132921226"	""	"0.000000009"	"                                                                                              "	""
"2p6.3d"	"2D"	"3/2"	""	"0.132921453"	""	"0.000000009"	"                                                                                              "	""
"2p6.4p"	"2P*"	"1/2"	""	"0.13790655"	""	"0.00000009"	"                                                                                              "	""
"2p6.4p"	"2P*"	"3/2"	""	"0.13793202"	""	"0.00000009"	"                                                                                              "	""
"2p6.5s"	"2S"	"1/2"	""	"0.151273397"	""	"0.000000009"	"                                                                                              "	""
"2p6.4d"	"2D"	"5/2"	""	"0.157415592"	""	"0.000000009"	"                                                                                              "	""
"2p6.4d"	"2D"	"3/2"	""	"0.157415751"	""	"0.000000009"	"                                                                                              "	""
"2p6.4f"	"2F*"	"7/2"	""	"0.15758960"	""	"0.00000009"	"                                                                                              "	""
"2p6.4f"	"2F*"	"5/2"	""	"0.15758960"	""	"0.00000009"	"                                                                                              "	""
"2p6.5p"	"2P*"	"1/2"	""	"0.15965572"	""	"0.00000009"	"                                                                                              "	""
"2p6.5p"	"2P*"	"3/2"	""	"0.15966697"	""	"0.00000009"	"                                                                                              "	""
"2p6.6s"	"2S"	"1/2"	""	"0.165725842"	""	"0.000000009"	"                                                                                              "	""
"2p6.5d"	"2D"	"5/2"	""	"0.168751859"	""	"0.000000009"	"                                                                                              "	""
"2p6.5d"	"2D"	"3/2"	""	"0.168751950"	""	"0.000000009"	"                                                                                              "	""
"2p6.5f"	"2F*"	"7/2"	""	"0.16884708"	""	"0.00000009"	"                                                                                              "	""
"2p6.5f"	"2F*"	"5/2"	""	"0.16884708"	""	"0.00000009"	"                                                                                              "	""
"2p6.5g"	"2G"	"7/2,9/2"	""	"0.1688557"	""	"0.0000003"	"                                                                                              "	""
"2p6.6p"	"2P*"	"1/2"	""	"0.16993454"	""	"0.00000009"	"                                                                                              "	""
"2p6.6p"	"2P*"	"3/2"	""	"0.16994042"	""	"0.00000009"	"                                                                                              "	""
"2p6.7s"	"2S"	"1/2"	""	"0.173195607"	""	"0.000000009"	"                                                                                              "	""
"2p6.6d"	"2D"	"5/2"	""	"0.174905203"	""	"0.000000009"	"                                                                                              "	""
"2p6.6d"	"2D"	"3/2"	""	"0.174905262"	""	"0.000000009"	"                                                                                              "	""
"2p6.6f"	"2F*"	"7/2"	""	"0.17496232"	""	"0.00000009"	"                                                                                              "	""
"2p6.6f"	"2F*"	"5/2"	""	"0.17496232"	""	"0.00000009"	"                                                                                              "	""
"2p6.6g"	"2G"	"7/2"	"["	"0.174967374"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.6g"	"2G"	"9/2"	"["	"0.174967393"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.6h"	"2H*"	"11/2"	"["	"0.174968500"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.6h"	"2H*"	"9/2"	"["	"0.174968527"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.7p"	"2P*"	"1/2"	""	"0.17560198"	""	"0.00000009"	"                                                                                              "	""
"2p6.7p"	"2P*"	"3/2"	""	"0.17560540"	""	"0.00000009"	"                                                                                              "	""
"2p6.8s"	"2S"	"1/2"	""	"0.17755360"	""	"0.00000009"	"                                                                                              "	""
"2p6.7d"	"2D"	"5/2"	""	"0.17861258"	""	"0.00000009"	"                                                                                              "	""
"2p6.7d"	"2D"	"3/2"	""	"0.17861258"	""	"0.00000009"	"                                                                                              "	""
"2p6.7f"	"2F*"	"7/2"	""	"0.17864926"	""	"0.00000009"	"                                                                                              "	""
"2p6.7f"	"2F*"	"5/2"	""	"0.17864926"	""	"0.00000009"	"                                                                                              "	""
"2p6.7g"	"2G"	"7/2,9/2"	"["	"0.178652652"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.7h"	"2H*"	"9/2,11/2"	"["	"0.178653390"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.8p"	"2P*"	"1/2"	""	"0.17905646"	""	"0.00000009"	"                                                                                              "	""
"2p6.8p"	"2P*"	"3/2"	""	"0.17905869"	""	"0.00000009"	"                                                                                              "	""
"2p6.9s"	"2S"	"1/2"	""	"0.18031628"	""	"0.00000009"	"                                                                                              "	""
"2p6.8d"	"2D"	"5/2"	""	"0.18101728"	""	"0.00000009"	"                                                                                              "	""
"2p6.8d"	"2D"	"3/2"	""	"0.18101728"	""	"0.00000009"	"                                                                                              "	""
"2p6.8f"	"2F*"	"7/2"	""	"0.18104215"	""	"0.00000009"	"                                                                                              "	""
"2p6.8f"	"2F*"	"5/2"	""	"0.18104215"	""	"0.00000009"	"                                                                                              "	""
"2p6.8g"	"2G"	"7/2,9/2"	"["	"0.181044514"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.8h"	"2H*"	"9/2,11/2"	"["	"0.181045024"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.9p"	"2P*"	"1/2"	"["	"0.181316988"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.9p"	"2P*"	"3/2"	"["	"0.181318496"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.10s"	"2S"	"1/2"	""	"0.18217718"	""	"0.00000009"	"                                                                                              "	""
"2p6.9d"	"2D"	"5/2"	""	"0.18266489"	""	"0.00000009"	"                                                                                              "	""
"2p6.9d"	"2D"	"3/2"	""	"0.18266489"	""	"0.00000009"	"                                                                                              "	""
"2p6.9f"	"2F*"	"7/2"	""	"0.18268257"	""	"0.00000009"	"                                                                                              "	""
"2p6.9f"	"2F*"	"5/2"	""	"0.18268257"	""	"0.00000009"	"                                                                                              "	""
"2p6.9g"	"2G"	"7/2,9/2"	"["	"0.182684353"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.9h"	"2H*"	"9/2,11/2"	"["	"0.182684713"	"]"	"0.000000009"	"                                                                                              "	""
"2p6.10p"	"2P*"	"1/2"	""	"0.182876762"	""	"0.000000009"	"                                                                                              "	""
"2p6.10p"	"2P*"	"3/2"	""	"0.182877824"	""	"0.000000009"	"                                                                                              "	""
"2p6.11s"	"2S"	"1/2"	""	"0.183489981"	""	"0.000000009"	"                                                                                              "	""
"2p6.10d"	"2D"	"5/2"	""	"0.183843184"	""	"0.000000009"	"                                                                                              "	""
