Configuration	Term	J	Prefix	Level (Hartree)	Suffix	Uncertainty (Hartree)	Reference
"5s.10s"	"1S"	"0"	""	"0.198256015"	""	"0.000000005"	"L5644"
"5s.7f"	"3F*"	"2"	""	"0.19876510"	""	"0.00000012"	"L15350"
"5s.7f"	"3F*"	"3"	""	"0.19876650"	""	"0.00000013"	"L15350"
"5s.7f"	"3F*"	"4"	""	"0.19876775"	""	"0.00000004"	"L15350"
"5s.7f"	"1F*"	"3"	""	"0.19891237"	""	"0.00000013"	"L15350"
"5s.9d"	"1D"	"2"	""	"0.19936589"	""	"0.00000011"	"L15350"
"5s.10p"	"3P*"	"0"	""	"0.1993791"	""	"0.0000003"	"L4542"
"5s.10p"	"3P*"	"1"	""	"0.1993919"	""	"0.0000003"	"L4542"
"5s.10p"	"3P*"	"2"	""	"0.1994198"	""	"0.0000003"	"L4542"
"5s.9d"	"3D"	"1"	""	"0.19958976"	""	"0.00000011"	"VALUE MISSING IN NIST, USING 5s.9d 3D 2"
"5s.9d"	"3D"	"2"	""	"0.19958976"	""	"0.00000011"	"L15350"
"5s.9d"	"3D"	"3"	""	"0.19958976"	""	"0.00000011"	"VALUE MISSING IN NIST, USING 5s.9d 3D 2"
"5s.10p"	"1P*"	"1"	""	"0.20019717"	""	"0.00000011"	"L15350"
"5s.11s"	"3S"	"1"	""	"0.2006763"	""	"0.0000009"	"L15350"
"5s.11s"	"1S"	"0"	""	"0.200921273"	""	"0.000000005"	"L5644"
"5s.8f"	"3F*"	"2"	""	"0.20125697"	""	"0.00000014"	"L15350"
"5s.8f"	"3F*"	"3"	""	"0.20125784"	""	"0.00000014"	"L15350"
"5s.8f"	"3F*"	"4"	""	"0.20125934"	""	"0.00000014"	"L15350"
"5s.8f"	"1F*"	"3"	""	"0.20134395"	""	"0.00000013"	"L15350"
"5s.10d"	"1D"	"2"	""	"0.201569788"	""	"0.000000005"	"L5644"
"5s.11p"	"3P*"	"0"	""	"0.2016757"	""	"0.0000003"	"L4542"
"5s.11p"	"3P*"	"1"	""	"0.2016840"	""	"0.0000003"	"L4542"
"5s.11p"	"3P*"	"2"	""	"0.2017031"	""	"0.0000003"	"L4542"
"5s.10d"	"3D"	"1"	""	"0.2017860"	""	"0.0000009"	"VALUE MISSING IN NIST, USING 5s.10d 3D 2"
"5s.10d"	"3D"	"2"	""	"0.2017860"	""	"0.0000009"	"L9511"
"5s.10d"	"3D"	"3"	""	"0.2017860"	""	"0.0000009"	"VALUE MISSING IN NIST, USING 5s.10d 3D 2"
"5s.11p"	"1P*"	"1"	""	"0.20214828"	""	"0.00000014"	"L15350"
"5s.12s"	"3S"	"1"	""	"0.2025576"	""	"0.0000010"	"L15350"
"5s.12s"	"1S"	"0"	""	"0.202724272"	""	"0.000000005"	"L5644"
"4d2"	"3P"	"0"	""	"0.20287465"	""	"0.00000005"	"L15350"
"4d2"	"3P"	"1"	""	"0.20319396"	""	"0.00000004"	"L15350"
"4d2"	"3P"	"2"	""	"0.20380318"	""	"0.00000005"	"L15350"
"5s.9f"	"3F*"	"2"	""	"0.20295863"	""	"0.00000014"	"L15350"
"5s.9f"	"3F*"	"3"	""	"0.20295940"	""	"0.00000014"	"L15350"
"5s.9f"	"3F*"	"4"	""	"0.20296027"	""	"0.00000014"	"L15350"
"5s.9f"	"1F*"	"3"	""	"0.20301426"	""	"0.00000014"	"L15350"
"5s.11d"	"1D"	"2"	""	"0.203115452"	""	"0.000000005"	"L5644"
"5s.12p"	"3P*"	"0"	""	"0.20325588"	""	"0.00000018"	"L4542"
"5s.12p"	"3P*"	"1"	""	"0.20326199"	""	"0.00000018"	"L4542"
"5s.12p"	"3P*"	"2"	""	"0.20327534"	""	"0.00000018"	"L4542"
"5s.11d"	"3D"	"1"	""	"0.2033029"	""	"0.0000009"	"VALUE MISSING IN NIST, USING 5s.11d 3D 2"
"5s.11d"	"3D"	"2"	""	"0.2033029"	""	"0.0000009"	"L9511"
"5s.11d"	"3D"	"3"	""	"0.2033029"	""	"0.0000009"	"VALUE MISSING IN NIST, USING 5s.11d 3D 2"
"5s.12p"	"1P*"	"1"	""	"0.20355764"	""	"0.00000013"	"L15350"
"5s.13s"	"3S"	"1"	""	"0.2038853"	""	"0.0000007"	"L5578"
"5s.13s"	"1S"	"0"	""	"0.204003854"	""	"0.000000005"	"L5644"
"5s.10f"	"3F*"	"2"	""	"0.20417180"	""	"0.00000018"	"L15350"
"5s.10f"	"3F*"	"3"	""	"0.20417193"	""	"0.00000018"	"L15350"
"5s.10f"	"3F*"	"4"	""	"0.20417266"	""	"0.00000018"	"L15350"
"5s.10f"	"1F*"	"3"	""	"0.20420934"	""	"0.00000014"	"L15350"
"5s.12d"	"1D"	"2"	""	"0.204258982"	""	"0.000000005"	"L5644"
"5s.12d"	"3D"	"1"	""	"0.2043700"	""	"0.0000007"	"L5578"
"5s.12d"	"3D"	"2"	""	"0.2043975"	""	"0.0000007"	"L5578"
"5s.12d"	"3D"	"3"	""	"0.2044210"	""	"0.0000007"	"L5578"
"5s.13p"	"3P*"	"0"	""	"0.20438959"	""	"0.00000014"	"L4542"
"5s.13p"	"3P*"	"1"	""	"0.20439410"	""	"0.00000014"	"L4542"
"5s.13p"	"3P*"	"2"	""	"0.20440385"	""	"0.00000014"	"L4542"
"5s.13p"	"1P*"	"1"	""	"0.20459540"	""	"0.00000014"	"L15350"
"5s.14s"	"3S"	"1"	""	"0.2048538"	""	"0.0000007"	"L5578"
"5s.14s"	"1S"	"0"	""	"0.204941472"	""	"0.000000005"	"L5644"
"5s.11f"	"3F*"	"2"	""	"0.20506666"	""	"0.00000018"	"L15350"
"5s.11f"	"3F*"	"3"	""	"0.20506689"	""	"0.00000018"	"L15350"
"5s.11f"	"3F*"	"4"	""	"0.20506748"	""	"0.00000018"	"L15350"
"5s.13d"	"1D"	"2"	""	"0.205089876"	""	"0.000000005"	"L5644"
"5s.11f"	"1F*"	"3"	""	"0.20509350"	""	"0.00000014"	"L15350"
"5s.13d"	"3D"	"1"	""	"0.2051652"	""	"0.0000007"	"L5578"
"5s.13d"	"3D"	"2"	""	"0.2052034"	""	"0.0000007"	"L5578"
"5s.13d"	"3D"	"3"	""	"0.2052346"	""	"0.0000007"	"L5578"
"5s.14p"	"3P*"	"0"	""	"0.20523183"	""	"0.00000009"	"L4542"
"5s.14p"	"3P*"	"1"	""	"0.20523506"	""	"0.00000009"	"L4542"
"5s.14p"	"3P*"	"2"	""	"0.20524258"	""	"0.00000009"	"L4542"
"5s.14p"	"1P*"	"1"	""	"0.20537813"	""	"0.00000014"	"L15350"
"5s.15s"	"3S"	"1"	""	"0.2055837"	""	"0.0000007"	"L5578"
"5s.15s"	"1S"	"0"	""	"0.205649846"	""	"0.000000005"	"L5644"
"5s.14d"	"1D"	"2"	""	"0.205733475"	""	"0.000000005"	"L5644"
"5s.12f"	"3F*"	"2"	""	"0.20574551"	""	"0.00000018"	"L15350"
"5s.12f"	"3F*"	"3"	""	"0.20574592"	""	"0.00000018"	"L15350"
"5s.12f"	"3F*"	"4"	""	"0.20574624"	""	"0.00000018"	"L15350"
"5s.14d"	"3D"	"1"	""	"0.2057623"	""	"0.0000007"	"L5578"
"5s.14d"	"3D"	"2"	""	"0.2058165"	""	"0.0000007"	"L5578"
"5s.14d"	"3D"	"3"	""	"0.2058572"	""	"0.0000007"	"L5578"
"5s.12f"	"1F*"	"3"	""	"0.20576542"	""	"0.00000014"	"L15350"
"5s.15p"	"3P*"	"0"	""	"0.20587313"	""	"0.00000009"	"L4542"
"5s.15p"	"3P*"	"1"	""	"0.20587591"	""	"0.00000009"	"L4542"
"5s.15p"	"3P*"	"2"	""	"0.20588161"	""	"0.00000009"	"L4542"
"5s.15p"	"1P*"	"1"	""	"0.20598203"	""	"0.00000018"	"L15350"
"5s.16s"	"3S"	"1"	""	"0.2061463"	""	"0.0000007"	"L5578"
"5s.16s"	"1S"	"0"	""	"0.206197998"	""	"0.000000005"	"L5644"
"5s.15d"	"3D"	"1"	""	"0.2062236"	""	"0.0000007"	"L5578"
"5s.15d"	"3D"	"2"	""	"0.2062956"	""	"0.0000007"	"L5578"
"5s.15d"	"3D"	"3"	""	"0.2063406"	""	"0.0000007"	"L5578"
"5s.15d"	"1D"	"2"	""	"0.206236226"	""	"0.000000005"	"L5644"
"5s.13f"	"3F*"	"3"	""	"0.20627300"	""	"0.00000018"	"L15350"
"5s.13f"	"3F*"	"2"	""	"0.20627313"	""	"0.00000018"	"L15350"
"5s.13f"	"3F*"	"4"	""	"0.20627341"	""	"0.00000018"	"L15350"
"5s.13f"	"1F*"	"3"	""	"0.20628794"	""	"0.00000014"	"L15350"
"5s.16p"	"3P*"	"1"	""	"0.20637565"	""	"0.00000009"	"L4542"
"5s.16p"	"3P*"	"2"	""	"0.20638016"	""	"0.00000009"	"L4542"
"5s.16p"	"1P*"	"1"	""	"0.20645662"	""	"0.00000018"	"L15350"
"5s.17s"	"3S"	"1"	""	"0.2065901"	""	"0.0000007"	"L5578"
"5s.16d"	"3D"	"1"	""	"0.2065904"	""	"0.0000007"	"L5578"
"5s.16d"	"3D"	"2"	""	"0.2066314"	""	"0.0000007"	"L5578"
"5s.16d"	"3D"	"3"	""	"0.2067244"	""	"0.0000007"	"L5578"
"5s.17s"	"1S"	"0"	""	"0.206630850"	""	"0.000000005"	"L5644"
"5s.16d"	"1D"	"2"	""	"0.206685059"	""	"0.000000005"	"L5644"
"5s.14f"	"3F*"	"2"	""	"0.20669004"	""	"0.00000018"	"L15350"
"5s.14f"	"3F*"	"4"	""	"0.20669063"	""	"0.00000018"	"L15350"
"5s.14f"	"3F*"	"3"	""	"0.20669100"	""	"0.00000018"	"L15350"
"5s.14f"	"1F*"	"3"	""	"0.20670225"	""	"0.00000014"	"L15350"
"5s.17p"	"3P*"	"1"	""	"0.20677315"	""	"0.00000014"	"L4542"
"5s.17p"	"3P*"	"2"	""	"0.20677679"	""	"0.00000014"	"L4542"
"5s.17p"	"1P*"	"1"	""	"0.20683639"	""	"0.00000018"	"L15350"
"5s.17d"	"3D"	"1"	""	"0.2069234"	""	"0.0000007"	"L5578"
"5s.17d"	"3D"	"2"	""	"0.2069526"	""	"0.0000007"	"L5578"
"5s.17d"	"3D"	"3"	""	"0.2070357"	""	"0.0000007"	"L5578"
"5s.18s"	"3S"	"1"	""	"0.2069455"	""	"0.0000007"	"L5578"
"5s.18s"	"1S"	"0"	""	"0.206978593"	""	"0.000000005"	"L5644"
"5s.17d"	"1D"	"2"	""	"0.207009218"	""	"0.000000005"	"L5644"
"5s.15f"	"3F*"	"2"	""	"0.20702661"	""	"0.00000018"	"L15350"
"5s.15f"	"3F*"	"3"	""	"0.20702666"	""	"0.00000018"	"L15350"
"5s.15f"	"3F*"	"4"	""	"0.20702671"	""	"0.00000018"	"L15350"
"5s.15f"	"1F*"	"3"	""	"0.20703605"	""	"0.00000014"	"L15350"
"5s.18p"	"3P*"	"1"	""	"0.20709396"	""	"0.00000005"	"L4542"
"5s.18p"	"3P*"	"2"	""	"0.20709696"	""	"0.00000005"	"L4542"
"5s.18p"	"1P*"	"1"	""	"0.20714476"	""	"0.00000023"	"L15350"
"5s.18d"	"3D"	"1"	""	"0.2072009"	""	"0.0000007"	"L5578"
"5s.18d"	"3D"	"2"	""	"0.2072216"	""	"0.0000007"	"L5578"
"5s.18d"	"3D"	"3"	""	"0.2072906"	""	"0.0000007"	"L5578"
"5s.19s"	"3S"	"1"	""	"0.20723530"	""	"0.00000005"	"L11277"
"5s.19s"	"1S"	"0"	""	"0.207262159"	""	"0.000000005"	"L5644"
"5s.18d"	"1D"	"2"	""	"0.207279583"	""	"0.000000005"	"L5644"
"5s.16f"	"3F*"	"2"	""	"0.20730150"	""	"0.00000018"	"L15350"
"5s.16f"	"3F*"	"3"	""	"0.20730154"	""	"0.00000018"	"L15350"
"5s.16f"	"3F*"	"4"	""	"0.20730182"	""	"0.00000018"	"L15350"
"5s.16f"	"1F*"	"3"	""	"0.20730920"	""	"0.00000014"	"L15350"
"5s.19p"	"3P*"	"1"	""	"0.20735722"	""	"0.00000009"	"L4542"
"5s.19p"	"3P*"	"2"	""	"0.20735973"	""	"0.00000009"	"L4542"
"5s.19p"	"1P*"	"1"	""	"0.20739818"	""	"0.00000014"	"L15350"
"5s.19d"	"3D"	"1"	""	"0.2074367"	""	"0.0000007"	"L5578"
"5s.19d"	"3D"	"2"	""	"0.2074508"	""	"0.0000007"	"L5578"
"5s.19d"	"3D"	"3"	""	"0.20750599"	""	"0.00000018"	"L11277"
"5s.20s"	"3S"	"1"	""	"0.20747418"	""	"0.00000005"	"L11277"
"5s.20s"	"1S"	"0"	""	"0.207496430"	""	"0.000000005"	"L5644"
"5s.19d"	"1D"	"2"	""	"0.207505966"	""	"0.000000005"	"L5644"
"5s.17f"	"3F*"	"2"	""	"0.20752877"	""	"0.00000018"	"L15350"
"5s.17f"	"3F*"	"4"	""	"0.20752918"	""	"0.00000018"	"L15350"
"5s.17f"	"3F*"	"3"	""	"0.20752927"	""	"0.00000018"	"L15350"
"5s.17f"	"1F*"	"3"	""	"0.20753542"	""	"0.00000014"	"L15350"
"5s.20p"	"3P*"	"1"	""	"0.20757579"	""	"0.00000009"	"L4542"
"5s.20p"	"3P*"	"2"	""	"0.20757752"	""	"0.00000009"	"L4542"
"5s.20p"	"1P*"	"1"	""	"0.20760942"	""	"0.00000014"	"L15350"
"5s.20d"	"3D"	"1"	""	"0.20763662"	""	"0.00000018"	"L5578"
"5s.20d"	"3D"	"2"	""	"0.20764714"	""	"0.00000018"	"L5578"
"5s.20d"	"3D"	"3"	""	"0.20768851"	""	"0.00000018"	"L11277"
"5s.20d"	"1D"	"2"	""	"0.207696820"	""	"0.000000005"	"L5644"
"5s.18f"	"3F*"	"2"	""	"0.20771927"	""	"0.00000018"	"L15350"
"5s.18f"	"3F*"	"4"	""	"0.20771982"	""	"0.00000018"	"L15350"
"5s.18f"	"3F*"	"3"	""	"0.20771991"	""	"0.00000018"	"L15350"
"5s.18f"	"1F*"	"3"	""	"0.20772478"	""	"0.00000014"	"L15350"
"5s.19f"	"3F*"	"4"	""	"0.20788020"	""	"0.00000018"	"L15350"
"5s.19f"	"3F*"	"2"	""	"0.20788043"	""	"0.00000018"	"L15350"
"5s.19f"	"3F*"	"3"	""	"0.20788065"	""	"0.00000018"	"L15350"
"5s.19f"	"1F*"	"3"	""	"0.20788498"	""	"0.00000014"	"L15350"
"5s.20f"	"3F*"	"3"	""	"0.20801748"	""	"0.00000018"	"L15350"
"5s.20f"	"3F*"	"4"	""	"0.20801812"	""	"0.00000018"	"L15350"
"5s.20f"	"1F*"	"3"	""	"0.20802172"	""	"0.00000014"	"L15350"
"Sr II (5s 2S<1/2>)"	"Limit"	"---"	""	"0.209282519"	""	"0.000000005"	"L15350,L5644"
"5p2"	"1D"	"2"	""	"0.211323"	""	"0.000009"	"L9352"
"4d.6p"	"3D*"	"1"	""	"0.2251279"	""	"0.0000006"	"L15350"
"4d.6p"	"3D*"	"2"	""	"0.2258042"	""	"0.0000005"	"L15350"
"4d.6p"	"3D*"	"3"	""	"0.2262939"	""	"0.0000006"	"L15350"
"4d.6p"	"3P*"	"1"	""	"0.225753"	""	"0.000023"	"L7603"
"4d.6p"	"3P*"	"2"	""	"0.2265957"	""	"0.0000023"	"L15350"
"4d.5d"	"3F"	"2"	""	"0.23253936"	""	"0.00000023"	"L2631"
"4d.5d"	"3F"	"3"	""	"0.23305792"	""	"0.00000023"	"L2631"
"4d.5d"	"3F"	"4"	""	"0.23353068"	""	"0.00000023"	"L2631"
"4d.6p"	"1P*"	"1"	""	"0.232824"	""	"0.000023"	"L7603"
"4d.5d"	"1D"	"2"	""	"0.2339952"	""	"0.0000011"	"L2631"
"4d.5d"	"3P"	"1"	""	"0.2343763"	""	"0.0000008"	"L2631"
"4d.5d"	"3P"	"2"	""	"0.2349021"	""	"0.0000005"	"L2631"
"4d.(2D<3/2>).4f"	"2[3/2]*"	"1"	""	"0.242639"	""	"0.000003"	"L7603"
"4d.(2D<3/2>).4f"	"2[7/2]*"	"3"	""	"0.2428272"	""	"0.0000009"	"L13135"
"4d.(2D<3/2>).4f"	"2[5/2]*"	"3"	""	"0.2432746"	""	"0.0000009"	"L13135"
"4d.(2D<5/2>).4f"	"2[3/2]*"	"1"	""	"0.243974"	""	"0.000003"	"L7603"
"4d.(2D<5/2>).4f"	"2[7/2]*"	"3"	""	"0.2440934"	""	"0.0000009"	"L13135"
"4d.(2D<5/2>).4f"	"2[5/2]*"	"3"	""	"0.2443690"	""	"0.0000009"	"L13135"
"4d.6d"	"(3/2,3/2)"	"1"	""	"0.2466763"	""	"0.0000009"	"L16320"
"4d.6d"	"(3/2,3/2)"	"2"	""	"0.2501032"	""	"0.0000009"	"L2631"
"4d.6d"	"(3/2,3/2)"	"0"	""	"0.2505980"	""	"0.0000009"	"L10938"
"4d.6d"	"(3/2,5/2)"	"2"	""	"0.2466823"	""	"0.0000009"	"L16320"
"4d.6d"	"(3/2,5/2)"	"1"	""	"0.2474477"	""	"0.0000009"	"L16320"
"4d.6d"	"(5/2,5/2)"	"1"	""	"0.2481813"	""	"0.0000009"	"L16320"
"4d.6d"	"(5/2,5/2)"	"4"	""	"0.2511425"	""	"0.0000007"	"L2631"
"4d.6d"	"(5/2,5/2)"	"2"	""	"0.2516655"	""	"0.0000009"	"L16320"
"4d.6d"	"(5/2,5/2)"	"0"	""	"0.2525499"	""	"0.0000009"	"L10938"
"4d.(2D<3/2>).7p"	"2[3/2]*"	"1"	""	"0.249362"	""	"0.000003"	"L7603"
"4d.6d"	"(5/2,3/2)"	"3"	""	"0.25075030"	""	"0.00000023"	"L2631"
"4d.6d"	"(5/2,3/2)"	"2"	""	"0.2510003"	""	"0.0000009"	"L16320"
"4d.6d"	"(5/2,3/2)"	"1"	""	"0.2511165"	""	"0.0000009"	"L16320"
"4d.(2D<5/2>).7p"	"2[3/2]*"	"1"	""	"0.251490"	""	"0.000005"	"L413"
"4d.8s"	"(3/2,1/2)"	"1"	""	"0.253139"	""	"0.000003"	"L16321"
"4d.8s"	"(3/2,1/2)"	"2"	""	"0.253150"	""	"0.000023"	"L16320"
"4d.8s"	"(5/2,1/2)"	"2"	""	"0.25425"	""	"0.00014"	"L16320"
"4d.8s"	"(5/2,1/2)"	"3"	""	"0.254355"	""	"0.000003"	"L14119"
"4d.5f"	"(3/2,5/2)*"	"1"	""	"0.254459"	""	"0.000003"	"L7603"
"4d.5f"	"(3/2,5/2)*"	"3"	""	"0.2545789"	""	"0.0000009"	"L13135"
"4d.5f"	"(3/2,7/2)*"	"3"	""	"0.2550295"	""	"0.0000009"	"L13135"
"4d.(2D<3/2>).5g"	"2[5/2]"	"2"	""	"0.2554418"	""	"0.0000009"	"L16320"
"4d.5f"	"(5/2,5/2)*"	"1"	""	"0.255645"	""	"0.000003"	"L7603"
"4d.5f"	"(5/2,5/2)*"	"3"	""	"0.2558173"	""	"0.0000009"	"L13135"
"4d.5f"	"(5/2,7/2)*"	"1"	""	"0.255928"	""	"0.000003"	"L7603"
"4d.5f"	"(5/2,7/2)*"	"3"	""	"0.2561203"	""	"0.0000009"	"L13135"
"4d.(2D<5/2>).5g"	"2[5/2]"	"2"	""	"0.2567126"	""	"0.0000009"	"L16320"
"4d.(2D<5/2>).5g"	"2[3/2]"	"2"	""	"0.2567604"	""	"0.0000009"	"L16320"
"4d.7d"	"(3/2,3/2)"	"1"	""	"0.2568265"	""	"0.0000009"	"L16320"
"4d.7d"	"(3/2,3/2)"	"2"	""	"0.2586586"	""	"0.0000009"	"L16320"
"4d.7d"	"(3/2,3/2)"	"0"	""	"0.2587789"	""	"0.0000009"	"L10938"
"4d.(2D<3/2>).8p"	"2[3/2]*"	"1"	""	"0.257015"	""	"0.000003"	"L7603"
"4d.7d"	"(3/2,5/2)"	"2"	""	"0.2573664"	""	"0.0000009"	"L16320"
"4d.(2D<3/2>).8p"	"2[1/2]*"	"1"	""	"0.257935"	""	"0.000003"	"L7603"
"4d.7d"	"(5/2,5/2)"	"1"	""	"0.2582349"	""	"0.0000009"	"L16320"
"4d.7d"	"(5/2,5/2)"	"2"	""	"0.2600282"	""	"0.0000009"	"L16320"
"4d.7d"	"(5/2,5/2)"	"0"	""	"0.2603622"	""	"0.0000009"	"L10938"
"4d.(2D<5/2>).8p"	"2[5/2]*"	"3"	""	"0.2584399"	""	"0.0000009"	"L13135"
"4d.(2D<5/2>).8p"	"2[3/2]*"	"1"	""	"0.259440"	""	"0.000008"	"L413"
"4d.7d"	"(5/2,3/2)"	"2"	""	"0.2594856"	""	"0.0000009"	"L16320"
"4d.6f"	"(3/2,5/2)*"	"1"	""	"0.260784"	""	"0.000003"	"L7603"
