Configuration	Term	J	Prefix	Level (Hartree)	Suffix	Uncertainty (Hartree)	Reference
"5s2"	"1S"	"0"	""	"0.00000000"	""	"0"	"L15350"
"5s.5p"	"3P*"	"0"	""	"0.065235362"	""	"0.000000005"	"L15350"
"5s.5p"	"3P*"	"1"	""	"0.066086608"	""	"0.000000014"	"L15350"
"5s.5p"	"3P*"	"2"	""	"0.067882766"	""	"0.000000018"	"L15350"
"5s.4d"	"3D"	"1"	""	"0.082738674"	""	"0.000000014"	"L15350"
"5s.4d"	"3D"	"2"	""	"0.083010888"	""	"0.000000014"	"L15350"
"5s.4d"	"3D"	"3"	""	"0.083468695"	""	"0.000000018"	"L15350"
"5s.4d"	"1D"	"2"	""	"0.091808720"	""	"0.000000014"	"L15350"
"5s.5p"	"1P*"	"1"	""	"0.098865422"	""	"0.000000018"	"L15350"
"5s.6s"	"3S"	"1"	""	"0.132310385"	""	"0.000000018"	"L15350"
"5s.6s"	"1S"	"0"	""	"0.13938661"	""	"0.00000007"	"L15350"
"4d.5p"	"3F*"	"2"	""	"0.151574926"	""	"0.000000014"	"L15350"
"4d.5p"	"3F*"	"3"	""	"0.15304598"	""	"0.00000003"	"L15350"
"4d.5p"	"3F*"	"4"	""	"0.15454777"	""	"0.00000003"	"L15350"
"4d.5p"	"1D*"	"2"	""	"0.154126692"	""	"0.000000014"	"L15350"
"5s.6p"	"3P*"	"0"	""	"0.15424785"	""	"0.00000003"	"L15350"
"5s.6p"	"3P*"	"1"	""	"0.15431541"	""	"0.00000003"	"L15350"
"5s.6p"	"3P*"	"2"	""	"0.154792674"	""	"0.000000018"	"L15350"
"5s.6p"	"1P*"	"1"	""	"0.15536376"	""	"0.00000003"	"L15350"
"5s.5d"	"1D"	"2"	""	"0.158229891"	""	"0.000000023"	"L15350"
"5s.5d"	"3D"	"1"	""	"0.15950321"	""	"0.00000003"	"L15350"
"5s.5d"	"3D"	"2"	""	"0.15957192"	""	"0.00000005"	"L15350"
"5s.5d"	"3D"	"3"	""	"0.15967686"	""	"0.00000004"	"L15350"
"5p2"	"3P"	"0"	""	"0.16035312"	""	"0.00000009"	"L15350"
"5p2"	"3P"	"1"	""	"0.161294746"	""	"0.000000023"	"L15350"
"5p2"	"3P"	"2"	""	"0.16254561"	""	"0.00000004"	"L15350"
"4d.5p"	"3D*"	"1"	""	"0.16523163"	""	"0.00000004"	"L15350"
"4d.5p"	"3D*"	"2"	""	"0.16576743"	""	"0.00000004"	"L15350"
"4d.5p"	"3D*"	"3"	""	"0.16657730"	""	"0.00000003"	"L15350"
"4d2"	"1D"	"2"	""	"0.168405987"	""	"0.000000023"	"L15350,L9352"
"5p2"	"1S"	"0"	""	"0.169314484"	""	"0.000000023"	"L15350"
"4d.5p"	"3P*"	"0"	""	"0.16991519"	""	"0.00000003"	"L15350"
"4d.5p"	"3P*"	"1"	""	"0.16996375"	""	"0.00000003"	"L15350"
"4d.5p"	"3P*"	"2"	""	"0.170118026"	""	"0.000000018"	"L15350"
"5s.7s"	"3S"	"1"	""	"0.170519366"	""	"0.000000023"	"L15350"
"4d.5p"	"1F*"	"3"	""	"0.17317601"	""	"0.00000007"	"L15350"
"5s.7s"	"1S"	"0"	""	"0.17516381"	""	"0.00000003"	"L15350"
"5s.4f"	"3F*"	"2"	""	"0.17655990"	""	"0.00000003"	"L15350"
"5s.4f"	"3F*"	"3"	""	"0.17656897"	""	"0.00000003"	"L15350"
"5s.4f"	"3F*"	"4"	""	"0.17658157"	""	"0.00000004"	"L15350"
"5s.7p"	"1P*"	"1"	""	"0.17727269"	""	"0.00000005"	"L15350"
"5s.7p"	"3P*"	"0"	""	"0.17957278"	""	"0.00000004"	"L15350"
"5s.7p"	"3P*"	"1"	""	"0.17964009"	""	"0.00000004"	"L15350"
"5s.7p"	"3P*"	"2"	""	"0.17978107"	""	"0.00000004"	"L15350"
"5s.4f"	"1F*"	"3"	""	"0.18015300"	""	"0.00000003"	"L15350"
"5s.6d"	"3D"	"1"	""	"0.18082195"	""	"0.00000008"	"L15350"
"5s.6d"	"3D"	"2"	""	"0.18084460"	""	"0.00000004"	"L15350"
"5s.6d"	"3D"	"3"	""	"0.18090068"	""	"0.00000004"	"L15350"
"5s.6d"	"1D"	"2"	""	"0.18103717"	""	"0.00000004"	"L15350"
"5s.8s"	"3S"	"1"	""	"0.18572248"	""	"0.00000009"	"L15350"
"5s.8s"	"1S"	"0"	""	"0.18704815"	""	"0.00000009"	"L15350"
"4d.5p"	"1P*"	"1"	""	"0.18759368"	""	"0.00000006"	"L15350"
"5s.5f"	"3F*"	"2"	""	"0.18847099"	""	"0.00000008"	"L15350"
"5s.5f"	"3F*"	"3"	""	"0.18847500"	""	"0.00000010"	"L15350"
"5s.5f"	"3F*"	"4"	""	"0.1884804"	""	"0.0000010"	"L15350"
"5s.5f"	"1F*"	"3"	""	"0.1891747"	""	"0.0000009"	"L15350"
"5s.8p"	"3P*"	"0"	""	"0.19005408"	""	"0.00000023"	"L4542"
"5s.8p"	"3P*"	"1"	""	"0.19008899"	""	"0.00000023"	"L4542"
"5s.8p"	"3P*"	"2"	""	"0.19016312"	""	"0.00000023"	"L4542"
"5s.7d"	"1D"	"2"	""	"0.19059810"	""	"0.00000010"	"L15350"
"5s.7d"	"3D"	"1"	""	"0.19074803"	""	"0.00000004"	"L15350"
"5s.7d"	"3D"	"2"	""	"0.19077043"	""	"0.00000005"	"L15350"
"5s.7d"	"3D"	"3"	""	"0.19079590"	""	"0.00000005"	"L15350"
"5s.9s"	"3S"	"1"	""	"0.1934217"	""	"0.0000016"	"L15350"
"5s.8p"	"1P*"	"1"	""	"0.19347173"	""	"0.00000006"	"L15350"
"5s.9s"	"1S"	"0"	""	"0.19408426"	""	"0.00000010"	"L15350"
"5s.6f"	"3F*"	"2"	""	"0.19490646"	""	"0.00000010"	"L15350"
"5s.6f"	"3F*"	"3"	""	"0.19490885"	""	"0.00000008"	"L15350"
"5s.6f"	"3F*"	"4"	""	"0.19491146"	""	"0.00000004"	"L15350"
"5s.6f"	"1F*"	"3"	""	"0.19519153"	""	"0.00000012"	"L15350"
"5s.9p"	"3P*"	"0"	""	"0.1958580"	""	"0.0000003"	"L4542"
"5s.9p"	"3P*"	"1"	""	"0.1958780"	""	"0.0000003"	"L4542"
"5s.9p"	"3P*"	"2"	""	"0.1959215"	""	"0.0000003"	"L4542"
"5s.8d"	"1D"	"2"	""	"0.19601836"	""	"0.00000010"	"L15350"
"5s.8d"	"3D"	"1"	""	"0.19624258"	""	"0.00000004"	"VALUE MISSING IN NIST, USING 5s.8d 3D 2"
"5s.8d"	"3D"	"2"	""	"0.19624258"	""	"0.00000004"	"L15350"
"5s.8d"	"3D"	"3"	""	"0.19626290"	""	"0.00000005"	"L15350"
"5s.9p"	"1P*"	"1"	""	"0.1974171"	""	"0.0000003"	"L15350"
"5s.10s"	"3S"	"1"	""	"0.1978700"	""	"0.0000009"	"L15350"
