Configuration	Term	J	Prefix	Level (Hartree)	Suffix	Uncertainty (Hartree)	Reference
"5p6.6s"	"2S"	"1/2"	""	"0.000000000"	""	"0"	"L15024"
"5p6.6p"	"2P*"	"1/2"	""	"0.0509319372780"	""	"0.0000000000004"	"L12151"
"5p6.6p"	"2P*"	"3/2"	""	"0.0534563244564"	""	"0.0000000000009"	"L15527"
"5p6.5d"	"2D"	"3/2"	""	"0.066063475"	""	"0.000000005"	"L793"
"5p6.5d"	"2D"	"5/2"	""	"0.0665081072"	""	"0.0000000009"	"L7057"
"5p6.7s"	"2S"	"1/2"	""	"0.084454082"	""	"0.000000014"	"L7057"
"5p6.7p"	"2P*"	"1/2"	""	"0.09917022"	""	"0.00000009"	"L3506"
"5p6.7p"	"2P*"	"3/2"	""	"0.09999514"	""	"0.00000012"	"L3506,L6284"
"5p6.6d"	"2D"	"3/2"	""	"0.102922241"	""	"0.000000005"	"L4744"
"5p6.6d"	"2D"	"5/2"	""	"0.103117550"	""	"0.000000005"	"L4744"
"5p6.8s"	"2S"	"1/2"	""	"0.110797085062"	""	"0.000000000005"	"L12362"
"5p6.4f"	"2F*"	"7/2"	""	"0.111502844"	""	"0.000000009"	"L793,L6284"
"5p6.4f"	"2F*"	"5/2"	""	"0.111503670"	""	"0.000000009"	"L793"
"5p6.8p"	"2P*"	"1/2"	""	"0.11713807341"	""	"0.00000000014"	"L9729"
"5p6.8p"	"2P*"	"3/2"	""	"0.11751476"	""	"0.00000014"	"L7057,L6284"
"5p6.7d"	"2D"	"3/2"	""	"0.1186826652"	""	"0.0000000023"	"L6147"
"5p6.7d"	"2D"	"5/2"	""	"0.1187780694"	""	"0.0000000023"	"L7057"
"5p6.9s"	"2S"	"1/2"	""	"0.1226140011"	""	"0.0000000023"	"L7057"
"5p6.5f"	"2F*"	"7/2"	""	"0.122889618"	""	"0.000000014"	"L793,L6284"
"5p6.5f"	"2F*"	"5/2"	""	"0.122890299"	""	"0.000000014"	"L793"
"5p6.5g"	"2G"	"7/2"	""	"0.123057749"	""	"0.000000009"	"L7057"
"5p6.5g"	"2G"	"9/2"	""	"0.123057762"	""	"0.000000009"	"L7057,L5289"
"5p6.9p"	"2P*"	"1/2"	""	"0.1259234219"	""	"0.0000000023"	"L7057"
"5p6.9p"	"2P*"	"3/2"	""	"0.126127006"	""	"0.000000005"	"L7057,L6284"
"5p6.8d"	"2D"	"3/2"	""	"0.1267173332"	""	"0.0000000023"	"L6147"
"5p6.8d"	"2D"	"5/2"	""	"0.1267703699"	""	"0.0000000023"	"L7057"
"5p6.10s"	"2S"	"1/2"	""	"0.1289453297"	""	"0.0000000023"	"L7057"
"5p6.6f"	"2F*"	"7/2"	""	"0.1290782781"	""	"0.0000000023"	"L7057,L6284"
"5p6.6f"	"2F*"	"5/2"	""	"0.1290787601"	""	"0.0000000023"	"L7057"
"5p6.6g"	"2G"	"7/2"	""	"0.1291832419"	""	"0.0000000023"	"L7057"
"5p6.6g"	"2G"	"9/2"	""	"0.129183249"	""	"0.000000003"	"L7057,L5289"
"5p6.10p"	"2P*"	"1/2"	""	"0.1308889876"	""	"0.0000000023"	"L7057"
"5p6.10p"	"2P*"	"3/2"	""	"0.131011392"	""	"0.000000005"	"L7057,L6284"
"5p6.9d"	"2D"	"3/2"	""	"0.1313531401"	""	"0.0000000023"	"L6147"
"5p6.9d"	"2D"	"5/2"	""	"0.1313855353"	""	"0.0000000009"	"L7057"
"5p6.11s"	"2S"	"1/2"	""	"0.1327339286"	""	"0.0000000009"	"L7057"
"5p6.7f"	"2F*"	"7/2"	""	"0.1328076416"	""	"0.0000000014"	"L7057,L6284"
"5p6.7f"	"2F*"	"5/2"	""	"0.1328079774"	""	"0.0000000007"	"L7057"
"5p6.7g"	"2G"	"7/2"	""	"0.1328767333"	""	"0.0000000007"	"L7057"
"5p6.7g"	"2G"	"9/2"	""	"0.1328767380"	""	"0.0000000023"	"L7057,L5289"
"5p6.11p"	"2P*"	"1/2"	""	"0.1339718532"	""	"0.0000000007"	"L7057"
"5p6.11p"	"2P*"	"3/2"	""	"0.134051138"	""	"0.000000014"	"L7057,L6284"
"5p6.10d"	"2D"	"3/2"	""	"0.1342673985"	""	"0.0000000023"	"L6147"
"5p6.10d"	"2D"	"5/2"	""	"0.1342885953"	""	"0.0000000009"	"L7057"
"5p6.12s"	"2S"	"1/2"	""	"0.1351810147"	""	"0.0000000009"	"L7057"
"5p6.8f"	"2F*"	"7/2"	""	"0.1352260601"	""	"0.000000003"	"L7057,L6284"
"5p6.8f"	"2F*"	"5/2"	""	"0.1352263021"	""	"0.0000000007"	"L7057"
"5p6.8g"	"2G"	"7/2"	""	"0.1352736659"	""	"0.0000000007"	"L7057"
"5p6.8g"	"2G"	"9/2"	""	"0.135273670"	""	"0.000000003"	"L7057,L5289"
"5p6.12p"	"2P*"	"1/2"	""	"0.1360176862"	""	"0.0000000007"	"L7057"
"5p6.12p"	"2P*"	"3/2"	""	"0.136071968"	""	"0.000000014"	"L7057,L6284"
"5p6.11d"	"2D"	"3/2"	""	"0.1362177474"	""	"0.0000000023"	"L6147"
"5p6.11d"	"2D"	"5/2"	""	"0.1362323576"	""	"0.0000000009"	"L7057"
"5p6.13s"	"2S"	"1/2"	""	"0.1368531214"	""	"0.0000000009"	"L7057"
"5p6.9f"	"2F*"	"7/2"	""	"0.1368826773"	""	"0.000000003"	"L7057,L6284"
"5p6.9f"	"2F*"	"5/2"	""	"0.1368828546"	""	"0.0000000007"	"L7057"
"5p6.9g"	"2G"	"7/2"	""	"0.1369167497"	""	"0.0000000007"	"L7057"
"5p6.9g"	"2G"	"9/2"	""	"0.136916756"	""	"0.000000005"	"L7057,L5289"
"5p6.13p"	"2P*"	"1/2"	""	"0.1374448977"	""	"0.0000000007"	"L7057"
"5p6.13p"	"2P*"	"3/2"	""	"0.137483671"	""	"0.000000014"	"L7057,L6284"
"5p6.12d"	"2D"	"3/2"	""	"0.1375867275"	""	"0.0000000023"	"L6147"
"5p6.12d"	"2D"	"5/2"	""	"0.1375972158"	""	"0.0000000009"	"L7057"
"5p6.14s"	"2S"	"1/2"	""	"0.1380462284"	""	"0.0000000009"	"L7057"
"5p6.10f"	"2F*"	"7/2"	""	"0.1380666916"	""	"0.0000000008"	"L7057,L4940"
"5p6.10f"	"2F*"	"5/2"	""	"0.1380668243"	""	"0.0000000007"	"L7057"
"5p6.10g"	"2G"	"7/2"	""	"0.1380918632"	""	"0.0000000007"	"L7057"
"5p6.10g"	"2G"	"9/2"	""	"0.138091867"	""	"0.000000009"	"L7057,L5289"
"5p6.14p"	"2P*"	"1/2"	""	"0.1384801134"	""	"0.0000000007"	"L7057"
"5p6.14p"	"2P*"	"3/2"	""	"0.138508778"	""	"0.000000014"	"L7057,L6284"
"5p6.13d"	"2D"	"3/2"	""	"0.1385843690"	""	"0.0000000023"	"L6147"
"5p6.13d"	"2D"	"5/2"	""	"0.1385921487"	""	"0.0000000009"	"L7057"
"5p6.15s"	"2S"	"1/2"	""	"0.1389273251"	""	"0.0000000009"	"L7057"
"5p6.11f"	"2F*"	"7/2"	""	"0.1389420984"	""	"0.0000000008"	"L7057,L4940"
"5p6.11f"	"2F*"	"5/2"	""	"0.1389421998"	""	"0.0000000007"	"L7057"
"5p6.11g"	"2G"	"9/2"	""	"0.138961188"	""	"0.000000009"	"L7057,L5289"
"5p6.11g"	"2G"	"7/2"	""	"0.1389611946"	""	"0.0000000007"	"L7057"
"5p6.15p"	"2P*"	"1/2"	""	"0.1392548594"	""	"0.0000000007"	"L7057"
"5p6.15p"	"2P*"	"3/2"	""	"0.139276634"	""	"0.000000014"	"L7057,L6284"
"5p6.14d"	"2D"	"3/2"	""	"0.1393337650"	""	"0.0000000023"	"L6147"
"5p6.14d"	"2D"	"5/2"	""	"0.1393396922"	""	"0.0000000009"	"L7057"
"5p6.16s"	"2S"	"1/2"	""	"0.1395964653"	""	"0.0000000009"	"L7057"
"5p6.12f"	"2F*"	"7/2"	""	"0.1396074921"	""	"0.0000000008"	"L7057,L4940"
"5p6.12f"	"2F*"	"5/2"	""	"0.1396075715"	""	"0.0000000007"	"L7057"
"5p6.12g"	"2G"	"7/2"	""	"0.1396223092"	""	"0.0000000007"	"L7057"
"5p6.16p"	"2P*"	"1/2"	""	"0.1398497583"	""	"0.0000000007"	"L7057"
"5p6.16p"	"2P*"	"3/2"	""	"0.139866694"	""	"0.000000014"	"L7057,L6284"
"5p6.15d"	"2D"	"3/2"	""	"0.1399109323"	""	"0.0000000023"	"L6147"
"5p6.15d"	"2D"	"5/2"	""	"0.1399155501"	""	"0.0000000009"	"L7057"
"5p6.17s"	"2S"	"1/2"	""	"0.1401165772"	""	"0.0000000009"	"L7057"
"5p6.13f"	"2F*"	"7/2"	""	"0.1401250340"	""	"0.0000000008"	"L7057,L4940"
"5p6.13f"	"2F*"	"5/2"	""	"0.1401250972"	""	"0.0000000007"	"L7057"
"5p6.13g"	"2G"	"7/2"	""	"0.1401367539"	""	"0.0000000007"	"L7057"
"5p6.17p"	"2P*"	"1/2"	""	"0.1403164768"	""	"0.0000000007"	"L7057"
"5p6.17p"	"2P*"	"3/2"	""	"0.140329895"	""	"0.000000014"	"L7057,L6284"
"5p6.16d"	"2D"	"3/2"	""	"0.1403648709"	""	"0.0000000023"	"L6147"
"5p6.16d"	"2D"	"5/2"	""	"0.1403685373"	""	"0.0000000009"	"L7057"
"5p6.18s"	"2S"	"1/2"	""	"0.1405288509"	""	"0.0000000009"	"L7057"
"5p6.14f"	"2F*"	"7/2"	""	"0.1405354845"	""	"0.0000000007"	"L7057,L4940"
"5p6.14f"	"2F*"	"5/2"	""	"0.1405355356"	""	"0.0000000007"	"L7057"
"5p6.14g"	"2G"	"7/2"	""	"0.1405449096"	""	"0.0000000007"	"L7057"
"5p6.18p"	"2P*"	"1/2"	""	"0.1406893700"	""	"0.0000000007"	"L7057"
"5p6.18p"	"2P*"	"3/2"	""	"0.1407001921"	""	"0.0000000009"	"L7057,L6284"
"5p6.17d"	"2D"	"3/2"	""	"0.1407283188"	""	"0.0000000023"	"L6147"
"5p6.17d"	"2D"	"5/2"	""	"0.1407312770"	""	"0.0000000009"	"L7057"
"5p6.19s"	"2S"	"1/2"	""	"0.1408611666"	""	"0.0000000009"	"L7057"
"5p6.15f"	"2F*"	"7/2"	""	"0.1408664702"	""	"0.0000000007"	"L7057,L4940"
"5p6.15f"	"2F*"	"5/2"	""	"0.1408665122"	""	"0.0000000007"	"L7057"
"5p6.15g"	"2G"	"7/2"	""	"0.1408741607"	""	"0.0000000007"	"L7057"
"5p6.19p"	"2P*"	"1/2"	""	"0.1409920062"	""	"0.0000000007"	"L7057"
"5p6.19p"	"2P*"	"3/2"	""	"0.141000866"	""	"0.000000014"	"L7057,L6284"
"5p6.18d"	"2D"	"3/2"	""	"0.1410238209"	""	"0.0000000023"	"L6147"
"5p6.18d"	"2D"	"5/2"	""	"0.1410262425"	""	"0.0000000009"	"L7057"
"5p6.20s"	"2S"	"1/2"	""	"0.1411329416"	""	"0.0000000009"	"L7057"
"5p6.16f"	"2F*"	"7/2"	""	"0.1411372513"	""	"0.0000000007"	"L7057,L4940"
"5p6.16f"	"2F*"	"5/2"	""	"0.1411372862"	""	"0.0000000007"	"L7057"
"5p6.16g"	"2G"	"7/2"	""	"0.1411436060"	""	"0.0000000007"	"L7057"
"5p6.20p"	"2P*"	"1/2"	""	"0.14124088"	""	"0.00000014"	"L4891,L6284"
"5p6.20p"	"2P*"	"3/2"	""	"0.14124822"	""	"0.00000014"	"L4891"
"5p6.19d"	"2D"	"3/2"	""	"0.1412673064"	""	"0.0000000023"	"L7057,L5177"
"5p6.19d"	"2D"	"5/2"	""	"0.1412693217"	""	"0.0000000009"	"L7057"
"5p6.21s"	"2S"	"1/2"	""	"0.1413580392"	""	"0.0000000009"	"L7057"
"5p6.17f"	"2F*"	"7/2"	""	"0.1413615894"	""	"0.0000000008"	"L7057,L4940"
"5p6.17f"	"2F*"	"5/2"	""	"0.1413616183"	""	"0.0000000007"	"L7057"
"5p6.17g"	"2G"	"7/2"	""	"0.1413669003"	""	"0.0000000007"	"L7057"
"5p6.21p"	"2P*"	"1/2"	""	"0.1414482984"	""	"0.0000000007"	"L7057"
"5p6.21p"	"2P*"	"3/2"	""	"0.141454453"	""	"0.000000014"	"L7057,L6284"
"5p6.20d"	"2D"	"3/2"	""	"0.1414703167"	""	"0.0000000023"	"L7057,L5177"
"5p6.20d"	"2D"	"5/2"	""	"0.1414720089"	""	"0.0000000009"	"L7057"
"5p6.22s"	"2S"	"1/2"	""	"0.1415465668"	""	"0.0000000009"	"L7057"
"5p6.18f"	"2F*"	"7/2"	""	"0.1415495277"	""	"0.0000000007"	"L7057,L4940"
"5p6.18f"	"2F*"	"5/2"	""	"0.1415495523"	""	"0.0000000007"	"L7057"
"5p6.18g"	"2G"	"7/2"	""	"0.1415540109"	""	"0.0000000007"	"L7057"
"5p6.22p"	"2P*"	"1/2"	"["	"0.1416227366"	"]"	"0.0000000009"	"L7057"
"5p6.22p"	"2P*"	"3/2"	""	"0.14162808"	""	"0.00000014"	"L4891"
"5p6.21d"	"2D"	"3/2"	""	"0.1416413469"	""	"0.0000000023"	"L7057,L5177"
"5p6.21d"	"2D"	"5/2"	""	"0.1416427811"	""	"0.0000000009"	"L7057"
"5p6.23s"	"2S"	"1/2"	""	"0.1417060383"	""	"0.0000000009"	"L7057"
"5p6.19f"	"2F*"	"7/2"	""	"0.1417085355"	""	"0.0000000008"	"L7057,L6284"
"5p6.19f"	"2F*"	"5/2"	""	"0.1417085566"	""	"0.0000000007"	"L7057"
"5p6.19g"	"2G"	"7/2"	"["	"0.1417123473"	"]"	"0.0000000007"	"L7057"
"5p6.23p"	"2P*"	"1/2"	""	"0.1417709060"	""	"0.0000000007"	"L7057"
"5p6.23p"	"2P*"	"3/2"	""	"0.1417753396"	""	"0.0000000009"	"L7057,L6284"
"5p6.22d"	"2D"	"3/2"	""	"0.1417867790"	""	"0.0000000023"	"L7057,L5177"
"5p6.22d"	"2D"	"5/2"	""	"0.1417880036"	""	"0.0000000009"	"L7057"
"5p6.24s"	"2S"	"1/2"	""	"0.1418421331"	""	"0.0000000009"	"L7057"
"5p6.20f"	"2F*"	"7/2"	""	"0.1418442576"	""	"0.0000000007"	"L7057,L6284"
"5p6.20f"	"2F*"	"5/2"	""	"0.1418442757"	""	"0.0000000007"	"L7057"
"5p6.20g"	"2G"	"7/2"	""	"0.1418475361"	""	"0.0000000007"	"L7057"
"5p6.24p"	"2P*"	"1/2"	"["	"0.1418978276"	"]"	"0.0000000009"	"L7057"
"5p6.24p"	"2P*"	"3/2"	""	"0.14190178"	""	"0.00000014"	"L4891"
"5p6.23d"	"2D"	"3/2"	""	"0.1419114765"	""	"0.0000000023"	"L7057,L5177"
"5p6.23d"	"2D"	"5/2"	""	"0.1419125294"	""	"0.0000000009"	"L7057"
"5p6.25s"	"2S"	"1/2"	""	"0.1419592059"	""	"0.0000000009"	"L7057"
"5p6.21f"	"2F*"	"7/2"	"["	"0.1419610299"	"]"	"0.0000000009"	"L7057,L6284"
"5p6.21f"	"2F*"	"5/2"	"["	"0.1419610458"	"]"	"0.0000000009"	"L7057"
"5p6.21g"	"2G"	"7/2"	"["	"0.1419638605"	"]"	"0.0000000007"	"L7057"
"5p6.25p"	"2P*"	"1/2"	""	"0.1420073795"	""	"0.0000000007"	"L7057"
"5p6.25p"	"2P*"	"3/2"	""	"0.1420106842"	""	"0.0000000007"	"L7057,L6284"
"5p6.24d"	"2D"	"3/2"	""	"0.1420192129"	""	"0.0000000023"	"L6147"
"5p6.24d"	"2D"	"5/2"	""	"0.1420201126"	""	"0.0000000009"	"L7057"
"5p6.22f"	"2F*"	"7/2"	""	"0.1420622225"	""	"0.0000000008"	"L7057,L6284"
"5p6.22f"	"2F*"	"5/2"	""	"0.1420622362"	""	"0.0000000007"	"L7057"
"5p6.22g"	"2G"	"7/2"	""	"0.1420646909"	""	"0.0000000007"	"L7057"
"5p6.25d"	"2D"	"3/2"	""	"0.1421128970"	""	"0.0000000023"	"L7057,L5177"
"5p6.25d"	"2D"	"5/2"	""	"0.1421136941"	""	"0.0000000009"	"L7057"
"5p6.23f"	"2F*"	"7/2"	"["	"0.1421504869"	"]"	"0.0000000009"	"L7057,L6284"
"5p6.23f"	"2F*"	"5/2"	"["	"0.1421504987"	"]"	"0.0000000009"	"L7057"
"5p6.23g"	"2G"	"7/2"	"["	"0.1421526450"	"]"	"0.0000000007"	"L7057"
"5p6.24f"	"2F*"	"7/2"	""	"0.1422279360"	""	"0.0000000008"	"L7057,L6284"
"5p6.24f"	"2F*"	"5/2"	""	"0.1422279468"	""	"0.0000000007"	"L7057"
"5p6.24g"	"2G"	"7/2"	""	"0.1422298403"	""	"0.0000000007"	"L7057"
"5p6.25f"	"2F*"	"7/2"	"["	"0.1422962673"	"]"	"0.0000000009"	"L7057,L6284"
"5p6.25f"	"2F*"	"5/2"	"["	"0.1422962768"	"]"	"0.0000000009"	"L7057"
"5p6.25g"	"2G"	"7/2"	"["	"0.1422979500"	"]"	"0.0000000007"	"L7057"
"Cs II (5s2.5p6 1S<0>)"	"Limit"	"---"	""	"0.143098396099"	""	"0.000000000006"	"L19479"
"5p5.6s2"	"2P*"	"3/2"	""	"0.45226"	""	"0.00014"	"L15673"
"5p5.6s2"	"2P*"	"1/2"	""	"0.49695"	""	"0.00008"	"L15673"
"5p5.6s.(3P*).5d"	"4P*"	"5/2"	""	"0.484088"	""	"0.000014"	""
"5p5.6s.(3P*).5d"	"4D*"	"1/2"	""	"0.536235"	""	"0.000023"	"L9536"
