,template_name,template_id,template_version,chart_type,url
20,"line, bar and pie charts",@flourish/line-bar-pie,38.6.2,column_stacked_prop_line,https://app.flourish.studio/@flourish/line-bar-pie/38.6.2#api
20,"line, bar and pie charts",@flourish/line-bar-pie,38.6.2,area_stacked_line,https://app.flourish.studio/@flourish/line-bar-pie/38.6.2#api
20,"line, bar and pie charts",@flourish/line-bar-pie,38.6.2,line_line,https://app.flourish.studio/@flourish/line-bar-pie/38.6.2#api
39,marimekko,@flourish/marimekko,6.4.1,marimekko,https://app.flourish.studio/@flourish/marimekko/6.4.1#api
40,network graph,@flourish/network-graph,16.4.1,network,https://app.flourish.studio/@flourish/network-graph/16.4.1#api
41,number ticker,@flourish/number-ticker,2.6.1,number_ticker,https://app.flourish.studio/@flourish/number-ticker/2.6.1#api
42,parliament chart,@flourish/parliament-chart,10.3.1,parliament,https://app.flourish.studio/@flourish/parliament-chart/10.3.1#api
43,photo slider,@flourish/photo-slider,5.8.1,photo_slider,https://app.flourish.studio/@flourish/photo-slider/5.8.1#api
44,pictogram,@flourish/pictogram,8.5.1,pictogram,https://app.flourish.studio/@flourish/pictogram/8.5.1#api
45,quiz,@flourish/quiz,8.10.1,quiz,https://app.flourish.studio/@flourish/quiz/8.10.1#api
46,radar chart,@flourish/radar,6.4.1,radar,https://app.flourish.studio/@flourish/radar/6.4.1#api
47,sankey diagram,@flourish/sankey,12.4.1,sankey,https://app.flourish.studio/@flourish/sankey/12.4.1#api
48,scatter,@flourish/scatter,33.6.1,scatter,https://app.flourish.studio/@flourish/scatter/33.6.1#api
49,slope chart,@flourish/slope-chart,16.5.1,slope,https://app.flourish.studio/@flourish/slope-chart/16.5.1#api
50,sports,@flourish/sports,11.5.1,sports,https://app.flourish.studio/@flourish/sports/11.5.1#api
51,sports race,@flourish/sports-race,4.4.1,sports_race,https://app.flourish.studio/@flourish/sports-race/4.4.1#api
52,survey,@flourish/survey,18.4.1,survey,https://app.flourish.studio/@flourish/survey/18.4.1#api
53,svg annotator,@flourish/svg-annotator,6.0.2,svg_annotator,https://app.flourish.studio/@flourish/svg-annotator/6.0.2#api
54,table,@flourish/table,21.6.1,table,https://app.flourish.studio/@flourish/table/21.6.1#api
55,text annotator,@flourish/text-annotator,4.6.1,text_annotator,https://app.flourish.studio/@flourish/text-annotator/4.6.1#api
56,timeline,@flourish/timeline,5.5.1,timeline,https://app.flourish.studio/@flourish/timeline/5.5.1#api
57,tournament,@flourish/tournament,2.10.1,tournament,https://app.flourish.studio/@flourish/tournament/2.10.1#api
58,word cloud,@flourish/word-cloud,5.3.1,word_cloud,https://app.flourish.studio/@flourish/word-cloud/5.3.1#api
