,template_name,template_id,template_version,chart_type,url
0,arc diagram,@flourish/arc-diagram,0.0.0,arc_diagram,https://app.flourish.studio/@flourish/arc-diagram/0.0.0#api
1,audio,@flourish/audio,2.6.1,audio,https://app.flourish.studio/@flourish/audio/2.6.1#api
2,bar chart race,@flourish/bar-chart-race,18.9.1,bar_race,https://app.flourish.studio/@flourish/bar-chart-race/18.9.1#api
3,bubble chart,@flourish/bubble-chart,5.4.1,bubble,https://app.flourish.studio/@flourish/bubble-chart/5.4.1#api
4,calculator,@flourish/calculator,2.8.1,calculator,https://app.flourish.studio/@flourish/calculator/2.8.1#api
5,calendar,@flourish/calendar,3.5.1,calendar,https://app.flourish.studio/@flourish/calendar/3.5.1#api
6,cards,@flourish/cards,15.1.1,cards,https://app.flourish.studio/@flourish/cards/15.1.1#api
7,chord diagram,@flourish/chord-diagram,10.3.1,chord_diagram,https://app.flourish.studio/@flourish/chord-diagram/10.3.1#api
8,countdown,@flourish/countdown,4.2.1,countdown,https://app.flourish.studio/@flourish/countdown/4.2.1#api
9,draw the line chart,@flourish/draw-the-line,9.5.1,draw_the_line,https://app.flourish.studio/@flourish/draw-the-line/9.5.1#api
10,election results chart,@flourish/election-results-chart,12.5.1,election_results,https://app.flourish.studio/@flourish/election-results-chart/12.5.1#api
11,gantt chart,@flourish/gantt,11.6.1,gantt,https://app.flourish.studio/@flourish/gantt/11.6.1#api
12,gauge,@flourish/gauge,3.3.1,gauge,https://app.flourish.studio/@flourish/gauge/3.3.1#api
13,hierarchy,@flourish/hierarchy,24.5.1,treemap,https://app.flourish.studio/@flourish/hierarchy/24.5.1#api
13,hierarchy,@flourish/hierarchy,24.5.1,circlepacking,https://app.flourish.studio/@flourish/hierarchy/24.5.1#api
13,hierarchy,@flourish/hierarchy,24.5.1,sunburst,https://app.flourish.studio/@flourish/hierarchy/24.5.1#api
13,hierarchy,@flourish/hierarchy,24.5.1,bar,https://app.flourish.studio/@flourish/hierarchy/24.5.1#api
13,hierarchy,@flourish/hierarchy,24.5.1,radialtree,https://app.flourish.studio/@flourish/hierarchy/24.5.1#api
18,line chart race,@flourish/horserace,19.1.1,horserace,https://app.flourish.studio/@flourish/horserace/19.1.1#api
19,interactive svg,@flourish/interactive-svg,9.10.1,interactive_svg,https://app.flourish.studio/@flourish/interactive-svg/9.10.1#api
20,"line, bar and pie charts",@flourish/line-bar-pie,38.6.2,line,https://app.flourish.studio/@flourish/line-bar-pie/38.6.2#api
20,"line, bar and pie charts",@flourish/line-bar-pie,38.6.2,area_stacked,https://app.flourish.studio/@flourish/line-bar-pie/38.6.2#api
20,"line, bar and pie charts",@flourish/line-bar-pie,38.6.2,area_prop,https://app.flourish.studio/@flourish/line-bar-pie/38.6.2#api
20,"line, bar and pie charts",@flourish/line-bar-pie,38.6.2,area,https://app.flourish.studio/@flourish/line-bar-pie/38.6.2#api
20,"line, bar and pie charts",@flourish/line-bar-pie,38.6.2,area_stacked_stream,https://app.flourish.studio/@flourish/line-bar-pie/38.6.2#api
20,"line, bar and pie charts",@flourish/line-bar-pie,38.6.2,column_grouped,https://app.flourish.studio/@flourish/line-bar-pie/38.6.2#api
20,"line, bar and pie charts",@flourish/line-bar-pie,38.6.2,column_stacked,https://app.flourish.studio/@flourish/line-bar-pie/38.6.2#api
20,"line, bar and pie charts",@flourish/line-bar-pie,38.6.2,column_stacked_prop,https://app.flourish.studio/@flourish/line-bar-pie/38.6.2#api
20,"line, bar and pie charts",@flourish/line-bar-pie,38.6.2,column_waterfall,https://app.flourish.studio/@flourish/line-bar-pie/38.6.2#api
20,"line, bar and pie charts",@flourish/line-bar-pie,38.6.2,bar_grouped,https://app.flourish.studio/@flourish/line-bar-pie/38.6.2#api
20,"line, bar and pie charts",@flourish/line-bar-pie,38.6.2,bar_stacked,https://app.flourish.studio/@flourish/line-bar-pie/38.6.2#api
20,"line, bar and pie charts",@flourish/line-bar-pie,38.6.2,bar_stacked_prop,https://app.flourish.studio/@flourish/line-bar-pie/38.6.2#api
20,"line, bar and pie charts",@flourish/line-bar-pie,38.6.2,bar_waterfall,https://app.flourish.studio/@flourish/line-bar-pie/38.6.2#api
20,"line, bar and pie charts",@flourish/line-bar-pie,38.6.2,donut,https://app.flourish.studio/@flourish/line-bar-pie/38.6.2#api
20,"line, bar and pie charts",@flourish/line-bar-pie,38.6.2,column_grouped_line,https://app.flourish.studio/@flourish/line-bar-pie/38.6.2#api
20,"line, bar and pie charts",@flourish/line-bar-pie,38.6.2,column_stacked_line,https://app.flourish.studio/@flourish/line-bar-pie/38.6.2#api
