age;FEV1_males_Lspline;FEV1_males_Mspline;FEV1_males_Sspline;FVC_males_Lspline;FVC_males_Mspline;FVC_males_Sspline;FEV1FVC_males_Lspline;FEV1FVC_males_Mspline;FEV1FVC_males_Sspline;FEF25_75_males_Mspline;FEF25_75_males_Sspline;FEF25_75_males_Lspline;FEF75_males_Lspline;FEF75_males_Mspline;FEF75_males_Sspline;FEV1_females_Lspline;FEV1_females_Mspline;FEV1_females_Sspline;FVC_females_Lspline;FVC_females_Mspline;FVC_females_Sspline;FEV1FVC_females_Lspline;FEV1FVC_females_Mspline;FEV1FVC_females_Sspline;FEF25_75_females_Mspline;FEF25_75_females_Sspline;FEF25_75_females_Lspline;FEF75_females_Lspline;FEF75_females_Mspline;FEF75_females_Sspline
3;0;-0.1133230622;0.2143372309;0;-0.0937836046;0.2986081896;1.3876224936;-0.0220745;-0.0831555327;-0.352046392;0.5568091;0;0;-0.257937769;0.2991087298;0;-0.2311081682;0.3351484375;0;-0.1940455645;0.3693521;0;-0.0442723353;0.0305305979;-0.677888173;0.5922750665;0;-0.5235152;-0.6278383197;-3.17006967
3.25;0;-0.1072635241;0.2043372493;0;-0.088807991;0.2784511981;1.2620857037;-0.01914029;-0.0616479796;-0.352939704;0.5318145;0;0;-0.270071641;0.2823150739;0;-0.2169950863;0.3097644155;0;-0.1824130162;0.3431042;0;-0.0397277866;0.0358840509;-0.661443267;0.566262416;0;-0.481125;-0.6144354753;-3.03212298
3.5;0;-0.1011251909;0.1954471115;0;-0.083625242;0.2598470731;1.1460066641;-0.01667884;-0.0419578386;-0.353622982;0.5083978;0;0;-0.278426818;0.26678284;0;-0.2040086215;0.2862059033;0;-0.1716795631;0.3186476;0;-0.0355696074;0.0406134589;-0.646641046;0.5420640833;0;-0.4419571;-0.6000498795;-2.90437431
3.75;0;-0.0950756973;0.1872188013;0;-0.0783481767;0.2425203189;1.0381924876;-0.01468331;-0.0241678712;-0.354244217;0.4862367;0;0;-0.28326709;0.2523325102;0;-0.1922241764;0.2642805597;0;-0.1618662088;0.2957823;0;-0.0318349948;0.0446778927;-0.633339215;0.5193809651;0;-0.4056005;-0.5853022178;-2.78541872
4;0;-0.0892601186;0.1793911904;0;-0.0731354197;0.2262502239;0.9376752038;-0.01315842;-0.0085106519;-0.355042996;0.4650487;0;0;-0.2852303;0.2388099844;0;-0.1817484965;0.2438674473;0;-0.1530027383;0.274378;0;-0.028625249;0.0480132128;-0.621291451;0.4979471292;0;-0.3717736;-0.5709076058;-2.67411339
4.25;0;-0.0840681959;0.1720871734;0;-0.068306671;0.2108847491;0.8436762863;-0.01217043;0.0047437655;-0.356204633;0.444616;0;0;-0.284727691;0.2261004974;0;-0.1726669602;0.2248463762;0;-0.1451030951;0.2542469;0;-0.0260838654;0.0505681388;-0.610279302;0.4775506137;0;-0.3402851;-0.5572846833;-2.56952225
4.5;0;-0.0798768491;0.165349592;0;-0.0642288474;0.1962994973;0.7555580274;-0.01173148;0.0153257156;-0.357780294;0.4247708;0;0;-0.282697261;0.2140922761;0;-0.1651292574;0.2070845791;0;-0.138223564;0.2351612;0;-0.0243534658;0.0523110823;-0.600059357;0.4580231976;0;-0.3109564;-0.5447725521;-2.47087331
4.75;0;-0.0768822957;0.1592091544;0;-0.0610636402;0.1823898266;0.6728804455;-0.01186174;0.0232354208;-0.359648959;0.4053756;0;0;-0.280003706;0.2026777851;0;-0.1591960782;0.1904638711;0;-0.1323778391;0.2169635;0;-0.023476054;0.0532400559;-0.590287976;0.4392252378;0;-0.2836168;-0.5336125215;-2.37753117
5;0;-0.0752420061;0.1534965724;0;-0.058879957;0.1690617481;0.5953346747;-0.01254906;0.0287440708;-0.361698346;0.3863248;0;0;-0.277549882;0.1917694387;0;-0.1548415627;0.1748737925;0;-0.1275923499;0.1995257;0;-0.0233276231;0.0533935684;-0.580691001;0.4210451662;0;-0.2581531;-0.5238188733;-2.28896788
5.25;0;-0.0750035138;0.1479286483;0;-0.0577618384;0.1562426174;0.5227296776;-0.01361278;0.0322611614;-0.36381531;0.3675418;0;0;-0.275966059;0.1812892281;0;-0.1517575573;0.1602053527;0;-0.1237582863;0.1827107;0;-0.0237173387;0.0527801587;-0.571051539;0.4033956779;0;-0.2344869;-0.515148954;-2.20473639
5.5;0;-0.0757845642;0.1420845806;0;-0.0575580037;0.1438516876;0.4549410147;-0.01478871;0.0342442604;-0.365685081;0.348995;0;0;-0.275688449;0.1711748621;0;-0.1494309012;0.146358823;0;-0.120593934;0.1664381;0;-0.0244348441;0.0514701689;-0.561084173;0.3862220939;0;-0.2125339;-0.5074116847;-2.12445792
5.75;0;-0.0771356784;0.1356011854;0;-0.0580622541;0.1318254308;0.3918046105;-0.01585905;0.0350597012;-0.366963066;0.3306727;0;0;-0.276942353;0.161389288;0;-0.1473904111;0.1332547286;0;-0.1178529954;0.1506849;0;-0.0252380474;0.0495788844;-0.550518643;0.3694861903;0;-0.1922105;-0.5005372974;-2.04780011
6;0;-0.0787419775;0.1284532609;0;-0.0591159738;0.12015353;0.3331355897;-0.01665586;0.0350464651;-0.367393576;0.3125646;0;0;-0.279671248;0.1519122836;0;-0.1451972063;0.1208491509;0;-0.1153052441;0.1354705;0;-0.0258922448;0.0472771931;-0.539157273;0.3531547912;0;-0.1734088;-0.494620714;-1.97446271
6.25;0;-0.0803267396;0.120466517;0;-0.0604698995;0.1088156596;0.2787532128;-0.01711992;0.0345489732;-0.366793793;0.2946643;0;0;-0.283771394;0.1427253276;0;-0.14255249;0.109116681;0;-0.1127864363;0.120856;0;-0.0261857571;0.0447807976;-0.526862476;0.3371993879;0;-0.1560117;-0.4895594927;-1.90417497
6.5;0;-0.0816363207;0.1114605994;0;-0.0618021335;0.0977854426;0.2284993977;-0.01729294;0.0338545731;-0.365087793;0.2769999;0;0;-0.288850189;0.1338139583;0;-0.1392969448;0.0980530135;0;-0.1101735998;0.1069272;0;-0.0259976874;0.0422829464;-0.513597273;0.3216020732;0;-0.1399119;-0.4848164537;-1.83669285
6.75;0;-0.0823084973;0.1016025665;0;-0.062744998;0.0870587621;0.1822353188;-0.01721339;0.0331961767;-0.362265208;0.259616;0;0;-0.294403826;0.1251668271;0;-0.1354079543;0.087677718;0;-0.107391761;0.09378818;0;-0.0253328685;0.0398900533;-0.499384012;0.306351143;0;-0.1250084;-0.4799046502;-1.77179914
7;0;-0.0822026483;0.0911586852;0;-0.0631941875;0.0766448204;0.1397451709;-0.01687449;0.0326781724;-0.358329097;0.2425465;0;0;-0.29990324;0.1167755063;0;-0.1310395126;0.0779905559;0;-0.104454551;0.08149043;0;-0.0242802202;0.0376338833;-0.4842508;0.2914349943;0;-0.1112129;-0.4744351319;-1.70929477
7.25;0;-0.0814844281;0.0800796076;0;-0.0632673034;0.0665304831;0.1007729665;-0.016299;0.0322544092;-0.353291668;0.2258168;0;0;-0.304916155;0.1086312031;0;-0.1264066579;0.0689511526;0;-0.1014143926;0.0699996;0;-0.0229563847;0.0354764191;-0.468228738;0.2768421411;0;-0.09844764;-0.4680258815;-1.64900113
7.5;0;-0.0804249365;0.0685028145;0;-0.0631259696;0.0567240824;0.0650667084;-0.01556061;0.0317618509;-0.347180295;0.2094477;0;0;-0.309113529;0.1007237442;0;-0.1217195415;0.0605031478;0;-0.098311544;0.05924666;0;-0.0214860349;0.0333564751;-0.451354462;0.2625620493;0;-0.0866447;-0.4603655967;-1.59076045
7.75;0;-0.0791765981;0.0564807728;0;-0.0627934223;0.0472408833;0.032419883;-0.01475901;0.0310028723;-0.340125405;0.1934811;0;0;-0.312278117;0.0930413685;0;-0.1171083604;0.052593927;0;-0.095151491;0.04914277;0;-0.0199784296;0.031206798;-0.433708878;0.2485929397;0;-0.07574615;-0.4511940206;-1.53443226
8;0;-0.0778301622;0.0439394795;0;-0.0622323105;0.0380763599;0.0026494466;-0.01401177;0.0297660809;-0.332304965;0.1779665;0;0;-0.314295835;0.0855705666;0;-0.1124754957;0.045192213;0;-0.0918028421;0.03962099;0;-0.0185358647;0.0289384691;-0.415392639;0.2349371766;0;-0.06569972;-0.4403097723;-1.47989061
8.25;0;-0.0763292686;0.0308284772;0;-0.0613089954;0.0292284363;-0.0244210933;-0.01343785;0.0278097713;-0.323872056;0.1629423;0;0;-0.31506921;0.0782971532;0;-0.107587169;0.0382843543;0;-0.0880685049;0.0306564;0;-0.0172242498;0.026473309;-0.396494177;0.221595152;0;-0.05645638;-0.4275285877;-1.42702228
8.5;0;-0.074486143;0.0173676772;0;-0.0598289297;0.0207221341;-0.0489673416;-0.01313989;0.0248771806;-0.31495761;0.1484379;0;0;-0.314524641;0.0712095895;0;-0.1022342041;0.0318732989;0;-0.0837562688;0.02227306;0;-0.0161014021;0.0237587302;-0.37709094;0.2085656088;0;-0.04796395;-0.4127549605;-1.37572466
8.75;0;-0.0720778244;0.0038669185;0;-0.0575848112;0.0125814361;-0.0711523683;-0.0131929;0.020836239;-0.305673826;0.1344751;0;0;-0.312562873;0.0642990014;0;-0.0962640718;0.0259625006;0;-0.0787290031;0.01450309;0;-0.0152155268;0.020747472;-0.35725095;0.1958459967;0;-0.04016428;-0.3960629181;-1.32590148
9;0;-0.0691240309;-0.0091507279;0;-0.0547039057;0.0048446595;-0.0911593995;-0.01350281;0.0158895708;-0.296108019;0.1210693;0;0;-0.30915469;0.0575582258;0;-0.0896807261;0.0205607576;0;-0.0730829618;0.007411485;0;-0.0144706835;0.0175051471;-0.337038562;0.1834337074;0;-0.03300169;-0.3775780339;-1.27746267
