;var;FEV1_males;FVC_males;FEV1FVC_males;FEV1_females;FVC_females;FEV1FVC_females
0;a0;-11.399108;-12.629131;1.022608;-10.901689;-12.055901;0.9189568
1;a1;2.462664;2.727421;-0.218592;2.385928;2.621579;-0.1840671
2;a2;-0.011394;0.009174;-0.027586;-0.076386;-0.035975;-0.0461306
3;p0;-2.256278;-2.195595;-2.882025;-2.364047;-2.310148;-3.171582
4;p1;0.080729;0.068466;0.068889;0.129402;0.120428;0.144358
5;q0;1.22703;0.9346;3.8243;1.21388;0.899;6.649
6;q1;;;-0.3328;;;0.992
