#time_days luminosity_erg/s luminosity_errminus_erg/s luminosity_errplus_erg/s
0.5 7.82e41 9.6e40 2.9e40
0.6 8.45e41 1.4e41 2.0e41
0.8 7.31e41 3.4e40 1.8e40
1.0 6.15e41 6.8e39 2.8e40
1.2 4.97e41 2.3e40 5.8e37
1.5 3.69e41 2.6e37 1.8e40
2.5 2.44e41 5.5e39 8.5e39
3.5 1.87e41 8.3e39 6.5e39
4.5 1.46e41 8.1e39 8.6e39
5.5 1.16e41 8.6e39 9.4e39
6.5 8.84e40 5.5e39 5.8e39
7.5 6.53e40 6.6e39 6.4e39
8.5 4.69e40 6.7e39 8.5e39
9.5 3.36e40 4.9e39 6.4e39
10.5 2.47e40 4.2e39 5.0e39
11.5 1.96e40 7.5e39 1.0e40
12.5 1.40e40 5.0e39 6.9e39
13.5 9.64e39 3.1e39 4.9e39
14.5 7.33e39 2.8e39 4.9e39
15.5 3.28e39 7.2e38 7.0e40
16.5 2.61e39 7.2e38 7.03e40
