[2024-02-26 04:20:33,893][root][INFO] - Logging setup complete.
[2024-02-26 04:20:39,464][root][INFO] - Starting fold 1
[2024-02-26 04:20:39,465][root][INFO] - Fold 1: Training set size: 1320, Validation set size: 330
[2024-02-26 04:21:00,825][root][INFO] - Fold 1, Epoch 1, Train Loss: 0.04752463811919803,                   Val Loss: 0.03268067538738251, Test Loss: 0.04537115494410197
[2024-02-26 04:21:09,114][root][INFO] - Fold 1, Epoch 2, Train Loss: 0.02843459589140756,                   Val Loss: 0.022227343482275803, Test Loss: 0.03168821272750696
[2024-02-26 04:21:17,425][root][INFO] - Fold 1, Epoch 3, Train Loss: 0.01994024288086664,                   Val Loss: 0.01661678000042836, Test Loss: 0.0235270739843448
[2024-02-26 04:21:25,754][root][INFO] - Fold 1, Epoch 4, Train Loss: 0.015776329363385837,                   Val Loss: 0.014056680103143057, Test Loss: 0.01882465649396181
[2024-02-26 04:21:34,080][root][INFO] - Fold 1, Epoch 5, Train Loss: 0.013777866028249264,                   Val Loss: 0.01257376108939449, Test Loss: 0.01658615966637929
[2024-02-26 04:21:42,415][root][INFO] - Fold 1, Epoch 6, Train Loss: 0.012437314415971438,                   Val Loss: 0.011540220895161232, Test Loss: 0.015237474193175634
[2024-02-26 04:21:50,769][root][INFO] - Fold 1, Epoch 7, Train Loss: 0.011562559576261611,                   Val Loss: 0.010772795105973879, Test Loss: 0.014155719429254532
[2024-02-26 04:21:59,076][root][INFO] - Fold 1, Epoch 8, Train Loss: 0.0107472732751852,                   Val Loss: 0.010089803176621595, Test Loss: 0.013299952571590742
[2024-02-26 04:22:07,394][root][INFO] - Fold 1, Epoch 9, Train Loss: 0.010078773456847384,                   Val Loss: 0.009510304080322385, Test Loss: 0.012677801152070364
[2024-02-26 04:22:15,715][root][INFO] - Fold 1, Epoch 10, Train Loss: 0.009428783763377439,                   Val Loss: 0.008921841314683357, Test Loss: 0.012063717159132162
[2024-02-26 04:22:24,051][root][INFO] - Fold 1, Epoch 11, Train Loss: 0.008953102576058535,                   Val Loss: 0.008374349058916172, Test Loss: 0.011528901134928068
[2024-02-26 04:22:32,383][root][INFO] - Fold 1, Epoch 12, Train Loss: 0.00844190710978139,                   Val Loss: 0.007896542005861798, Test Loss: 0.011052539572119713
[2024-02-26 04:22:40,705][root][INFO] - Fold 1, Epoch 13, Train Loss: 0.007930221257820017,                   Val Loss: 0.00737711430216829, Test Loss: 0.010490003352363905
[2024-02-26 04:22:49,033][root][INFO] - Fold 1, Epoch 14, Train Loss: 0.007514033067439284,                   Val Loss: 0.006894011826564868, Test Loss: 0.010003340585778156
[2024-02-26 04:22:57,373][root][INFO] - Fold 1, Epoch 15, Train Loss: 0.007014294731475058,                   Val Loss: 0.0063630647491663694, Test Loss: 0.009449488949030638
[2024-02-26 04:23:05,681][root][INFO] - Fold 1, Epoch 16, Train Loss: 0.006569805488522563,                   Val Loss: 0.005800613590205709, Test Loss: 0.00893799246599277
[2024-02-26 04:23:13,994][root][INFO] - Fold 1, Epoch 17, Train Loss: 0.006105347758247739,                   Val Loss: 0.005238390527665615, Test Loss: 0.008352830385168394
[2024-02-26 04:23:22,330][root][INFO] - Fold 1, Epoch 18, Train Loss: 0.005528629424848727,                   Val Loss: 0.004693883820436895, Test Loss: 0.007786670699715614
[2024-02-26 04:23:30,663][root][INFO] - Fold 1, Epoch 19, Train Loss: 0.005133095108682201,                   Val Loss: 0.00425864546559751, Test Loss: 0.007356655628730853
[2024-02-26 04:23:38,965][root][INFO] - Fold 1, Epoch 20, Train Loss: 0.004712239329126619,                   Val Loss: 0.003916983997138838, Test Loss: 0.006816623732447624
[2024-02-26 04:23:47,254][root][INFO] - Fold 1, Epoch 21, Train Loss: 0.00438977761327156,                   Val Loss: 0.003586666154054304, Test Loss: 0.006500874490787585
[2024-02-26 04:23:55,564][root][INFO] - Fold 1, Epoch 22, Train Loss: 0.004104213711495201,                   Val Loss: 0.0033078268946458897, Test Loss: 0.0062066827279826
[2024-02-26 04:24:03,884][root][INFO] - Fold 1, Epoch 23, Train Loss: 0.003912753292492458,                   Val Loss: 0.0030568979758148393, Test Loss: 0.0058817677199840546
[2024-02-26 04:24:12,208][root][INFO] - Fold 1, Epoch 24, Train Loss: 0.00357915353517802,                   Val Loss: 0.002812691149301827, Test Loss: 0.005587023915722966
[2024-02-26 04:24:20,536][root][INFO] - Fold 1, Epoch 25, Train Loss: 0.003352213667572609,                   Val Loss: 0.0026097754016518593, Test Loss: 0.005296318015704553
[2024-02-26 04:24:28,830][root][INFO] - Fold 1, Epoch 26, Train Loss: 0.00323113959304811,                   Val Loss: 0.0024305088833595314, Test Loss: 0.004941602625573675
[2024-02-26 04:24:37,141][root][INFO] - Fold 1, Epoch 27, Train Loss: 0.0030870408074752916,                   Val Loss: 0.0022785214823670685, Test Loss: 0.00482118665240705
[2024-02-26 04:24:45,447][root][INFO] - Fold 1, Epoch 28, Train Loss: 0.0029230021117698578,                   Val Loss: 0.0021655545958007374, Test Loss: 0.004610585824896892
[2024-02-26 04:24:53,756][root][INFO] - Fold 1, Epoch 29, Train Loss: 0.0028039556041005113,                   Val Loss: 0.00207090302137658, Test Loss: 0.004598501914491256
[2024-02-26 04:25:02,059][root][INFO] - Fold 1, Epoch 30, Train Loss: 0.0027452006969334824,                   Val Loss: 0.0019933264314507446, Test Loss: 0.0043408005343129235
[2024-02-26 04:25:10,385][root][INFO] - Fold 1, Epoch 31, Train Loss: 0.002668838681919234,                   Val Loss: 0.001921175338793546, Test Loss: 0.004342316494633754
[2024-02-26 04:25:18,709][root][INFO] - Fold 1, Epoch 32, Train Loss: 0.0025645787772234706,                   Val Loss: 0.0018575569653573136, Test Loss: 0.004228643141686916
[2024-02-26 04:25:27,053][root][INFO] - Fold 1, Epoch 33, Train Loss: 0.002959367674997165,                   Val Loss: 0.001801598526071757, Test Loss: 0.004121355712413788
[2024-02-26 04:25:35,393][root][INFO] - Fold 1, Epoch 34, Train Loss: 0.002438240052599992,                   Val Loss: 0.0017587045246424775, Test Loss: 0.004166024892280499
[2024-02-26 04:25:43,727][root][INFO] - Fold 1, Epoch 35, Train Loss: 0.0024066638877792727,                   Val Loss: 0.0017126059004416068, Test Loss: 0.00403926707804203
[2024-02-26 04:25:52,054][root][INFO] - Fold 1, Epoch 36, Train Loss: 0.0023863552459737376,                   Val Loss: 0.001670824596658349, Test Loss: 0.00397939692872266
[2024-02-26 04:26:00,394][root][INFO] - Fold 1, Epoch 37, Train Loss: 0.0023059351203430977,                   Val Loss: 0.0016357740969397128, Test Loss: 0.003991886895770828
[2024-02-26 04:26:08,710][root][INFO] - Fold 1, Epoch 38, Train Loss: 0.002290263212108541,                   Val Loss: 0.0015992952006248136, Test Loss: 0.003923854557797313
[2024-02-26 04:26:17,038][root][INFO] - Fold 1, Epoch 39, Train Loss: 0.0022077987835343394,                   Val Loss: 0.001565884236091127, Test Loss: 0.003868311100328962
[2024-02-26 04:26:25,367][root][INFO] - Fold 1, Epoch 40, Train Loss: 0.0022199156616503992,                   Val Loss: 0.0015391988757376869, Test Loss: 0.0038956213587274155
[2024-02-26 04:26:33,712][root][INFO] - Fold 1, Epoch 41, Train Loss: 0.0021054615610323494,                   Val Loss: 0.0015089332397716741, Test Loss: 0.0038729047713180384
[2024-02-26 04:26:42,043][root][INFO] - Fold 1, Epoch 42, Train Loss: 0.0020812335202381725,                   Val Loss: 0.0014916516762847702, Test Loss: 0.003815603985761603
[2024-02-26 04:26:50,396][root][INFO] - Fold 1, Epoch 43, Train Loss: 0.0020368131864372464,                   Val Loss: 0.0014564636706685026, Test Loss: 0.0037823538295924664
[2024-02-26 04:26:58,730][root][INFO] - Fold 1, Epoch 44, Train Loss: 0.002037368703722244,                   Val Loss: 0.001443452201783657, Test Loss: 0.0038371557214607797
[2024-02-26 04:27:07,060][root][INFO] - Fold 1, Epoch 45, Train Loss: 0.0019630537800756948,                   Val Loss: 0.0014194768543044727, Test Loss: 0.0038454219854126372
[2024-02-26 04:27:15,372][root][INFO] - Fold 1, Epoch 46, Train Loss: 0.0019050823064476606,                   Val Loss: 0.0014029225373330216, Test Loss: 0.003897509886883199
[2024-02-26 04:27:23,676][root][INFO] - Fold 1, Epoch 47, Train Loss: 0.0018992897738436504,                   Val Loss: 0.0013884841076408823, Test Loss: 0.00381456067164739
[2024-02-26 04:27:31,991][root][INFO] - Fold 1, Epoch 48, Train Loss: 0.0018534622670683479,                   Val Loss: 0.0013695285888388753, Test Loss: 0.0039502506066734595
[2024-02-26 04:27:40,314][root][INFO] - Fold 1, Epoch 49, Train Loss: 0.001842437206678802,                   Val Loss: 0.0013552795280702412, Test Loss: 0.0038523273154472313
