Configuration	Term	J	Prefix	Level (Hartree)	Suffix	Uncertainty (Hartree)	Lande	Leading percentages	Reference
"4f14.6s2"	"1S"	"0"	""	"0.00000000"	""	"0"	""	"  99                                                                  "	"L3974"
"4f14.6s.6p"	"3P*"	"0"	""	"0.07877192"	""	""	""	" 100                                                                  "	""
"4f14.6s.6p"	"3P*"	"1"	""	"0.08197762"	""	""	"1.49282"	"  98                                                                  "	""
"4f14.6s.6p"	"3P*"	"2"	""	"0.08980714"	""	""	"1.50"	" 100                                                                  "	""
"4f13.(2F*<7/2>).5d<3/2>.6s2"	"(7/2,3/2)*"	"2"	""	"0.10565466"	""	""	"1.45"	"  79                                                                  "	""
"4f13.(2F*<7/2>).5d<3/2>.6s2"	"(7/2,3/2)*"	"5"	""	"0.11782538"	""	""	"1.04"	"  96                                                                  "	""
"4f13.(2F*<7/2>).5d<3/2>.6s2"	"(7/2,3/2)*"	"3"	""	"0.12505153"	""	""	"1.22"	"  92                                                                  "	""
"4f13.(2F*<7/2>).5d<3/2>.6s2"	"(7/2,3/2)*"	"4"	""	"0.12841809"	""	""	"1.14"	"  90                                                                  "	""
"4f14.5d.6s"	"3D"	"1"	""	"0.11158056"	""	""	"0.50"	"  99                                                                  "	""
"4f14.5d.6s"	"3D"	"2"	""	"0.11277817"	""	""	"1.16"	"  97                                                                  "	""
"4f14.5d.6s"	"3D"	"3"	""	"0.11514270"	""	""	"1.34"	"  99                                                                  "	""
"4f14.6s.6p"	"1P*"	"1"	""	"0.11421922"	""	""	"1.035"	"  73                                                                  "	""
"4f13.(2F*<7/2>).5d<5/2>.6s2"	"(7/2,5/2)*"	"6"	""	"0.12445593"	""	""	"1.16"	" 100                                                                  "	""
"4f13.(2F*<7/2>).5d<5/2>.6s2"	"(7/2,5/2)*"	"2"	""	"0.12847025"	""	""	"1.02"	"  80                                                                  "	""
"4f13.(2F*<7/2>).5d<5/2>.6s2"	"(7/2,5/2)*"	"1"	""	"0.13148223"	""	""	"1.2635"	"  48                  :    22   (2F*<5/2>) (5/2,3/2)*                 "	""
"4f13.(2F*<7/2>).5d<5/2>.6s2"	"(7/2,5/2)*"	"4"	""	"0.13566469"	""	""	"1.09"	"  90                                                                  "	""
"4f13.(2F*<7/2>).5d<5/2>.6s2"	"(7/2,5/2)*"	"3"	""	"0.13763495"	""	""	"1.08"	"  91                                                                  "	""
"4f13.(2F*<7/2>).5d<5/2>.6s2"	"(7/2,5/2)*"	"5"	""	"0.13908083"	""	""	"1.18"	"  96                                                                  "	""
"4f14.5d.6s"	"1D"	"2"	""	"0.12610872"	""	""	"1.01"	"  95                                                                  "	""
"4f13.(2F*<7/2>).6s2.6p<1/2>"	"(7/2,1/2)"	"3"	""	"0.14610017"	""	""	"1.23"	"  89                                                                  "	""
"4f13.(2F*<7/2>).6s2.6p<1/2>"	"(7/2,1/2)"	"4"	""	"0.14704933"	""	""	""	"  92                                                                  "	""
"4f14.6s.7s"	"3S"	"1"	""	"0.14896798"	""	""	"2.01"	"                                                                      "	""
"4f14.6s.7s"	"1S"	"0"	""	"0.1565131"	""	""	""	"                                                                      "	""
"4f13.(2F*<7/2>).6s2.6p<3/2>"	"(7/2,3/2)"	"5"	""	"0.1602863"	""	""	""	"  93                                                                  "	""
"4f13.(2F*<7/2>).6s2.6p<3/2>"	"(7/2,3/2)"	"2"	""	"0.1603692"	""	""	"1.05"	"  92                                                                  "	""
"4f13.(2F*<7/2>).6s2.6p<3/2>"	"(7/2,3/2)"	"3"	""	"0.1631511"	""	""	"1.08"	"  88                  :     5   (2F*<7/2>) (7/2,1/2)                  "	""
"4f13.(2F*<7/2>).6s2.6p<3/2>"	"(7/2,3/2)"	"4"	""	"0.1643059"	""	""	""	"  92                                                                  "	""
