Configuration	Term	J	Prefix	Level (Hartree)	Suffix	Uncertainty (Hartree)	Reference
"4p6.5s"	"2S"	"1/2"	""	"0.00000000"	""	"0.00000005"	"L9039"
"4p6.5p"	"2P*"	"1/2"	""	"0.057313913"	""	"0.000000009"	"L9039"
"4p6.5p"	"2P*"	"3/2"	""	"0.058396476"	""	"0.000000009"	"L9039"
"4p6.4d"	"2D"	"5/2"	""	"0.08818879"	""	"0.00000005"	"L9039"
"4p6.4d"	"2D"	"3/2"	""	"0.08819083"	""	"0.00000005"	"L9039"
"4p6.6s"	"2S"	"1/2"	""	"0.09173047"	""	"0.00000005"	"L9039"
"4p6.6p"	"2P*"	"1/2"	""	"0.10805386"	""	"0.00000005"	"L9039"
"4p6.6p"	"2P*"	"3/2"	""	"0.10840702"	""	"0.00000005"	"L9039"
"4p6.5d"	"2D"	"3/2"	""	"0.11710026"	""	"0.00000005"	"L9039"
"4p6.5d"	"2D"	"5/2"	""	"0.11711375"	""	"0.00000005"	"L9039"
"4p6.7s"	"2S"	"1/2"	""	"0.11988373"	""	"0.00000005"	"L9039"
"4p6.4f"	"2F*"	"7/2"	""	"0.12207375"	""	"0.00000005"	"L9039"
"4p6.4f"	"2F*"	"5/2"	""	"0.12207387"	""	"0.00000005"	"L9039"
"4p6.7p"	"2P*"	"1/2"	""	"0.12682568"	""	"0.00000005"	"L9039"
"4p6.7p"	"2P*"	"3/2"	""	"0.12698556"	""	"0.00000005"	"L9039"
"4p6.6d"	"2D"	"3/2"	""	"0.13070817"	""	"0.00000005"	"L9039"
"4p6.6d"	"2D"	"5/2"	""	"0.13071848"	""	"0.00000005"	"L9039"
"4p6.8s"	"2S"	"1/2"	""	"0.13234703"	""	"0.00000005"	"L9039"
"4p6.5f"	"2F*"	"7/2"	""	"0.13339933"	""	"0.00000005"	"L9039"
"4p6.5f"	"2F*"	"5/2"	""	"0.13339941"	""	"0.00000005"	"L9039"
"4p6.5g"	"2G"	"7/2"	""	"0.13348329"	""	"0.00000005"	"L9039"
"4p6.5g"	"2G"	"9/2"	""	"0.13348329"	""	"0.00000005"	"L9039"
"4p6.8p"	"2P*"	"1/2"	""	"0.13593799"	""	"0.00000005"	"L9039"
"4p6.8p"	"2P*"	"3/2"	""	"0.13602388"	""	"0.00000005"	"L9039"
"4p6.7d"	"2D"	"3/2"	""	"0.13796635"	""	"0.00000005"	"L9039"
"4p6.7d"	"2D"	"5/2"	""	"0.13797321"	""	"0.00000005"	"L9039"
"4p6.9s"	"2S"	"1/2"	""	"0.13896381"	""	"0.00000005"	"L9039"
"4p6.6f"	"2F*"	"7/2"	""	"0.13955126"	""	"0.00000005"	"L9039"
"4p6.6f"	"2F*"	"5/2"	""	"0.13955134"	""	"0.00000005"	"L9039"
"4p6.9p"	"2P*"	"1/2"	""	"0.14105917"	""	"0.00000005"	"L9039"
"4p6.9p"	"2P*"	"3/2"	""	"0.14111057"	""	"0.00000005"	"L9039"
"4p6.8d"	"2D"	"3/2"	""	"0.14225535"	""	"0.00000005"	"L9039"
"4p6.8d"	"2D"	"5/2"	""	"0.14225996"	""	"0.00000005"	"L9039"
"4p6.10s"	"2S"	"1/2"	""	"0.14289729"	""	"0.00000005"	"L9039"
"4p6.7f"	"2F*"	"7/2"	""	"0.14325901"	""	"0.00000005"	"L9039"
"4p6.7f"	"2F*"	"5/2"	""	"0.14325906"	""	"0.00000005"	"L9039"
"4p6.10p"	"2P*"	"1/2"	""	"0.14422555"	""	"0.00000005"	"L9039"
"4p6.10p"	"2P*"	"3/2"	""	"0.14425886"	""	"0.00000005"	"L9039"
"4p6.9d"	"2D"	"3/2"	""	"0.14499104"	""	"0.00000005"	"L9039"
"4p6.9d"	"2D"	"5/2"	""	"0.14499421"	""	"0.00000005"	"L9039"
"4p6.11s"	"2S"	"1/2"	""	"0.14542556"	""	"0.00000005"	"L9039"
"4p6.8f"	"2F*"	"7/2"	""	"0.14566429"	""	"0.00000005"	"L9039"
"4p6.8f"	"2F*"	"5/2"	""	"0.14566431"	""	"0.00000005"	"L9039"
"4p6.11p"	"2P*"	"1/2"	""	"0.14632010"	""	"0.00000005"	"L9039"
"4p6.11p"	"2P*"	"3/2"	""	"0.14634274"	""	"0.00000005"	"L9039"
"4p6.10d"	"2D"	"3/2"	""	"0.146839796"	""	"0.000000018"	"L9039"
"4p6.10d"	"2D"	"5/2"	""	"0.146842065"	""	"0.000000018"	"L9039"
"4p6.12s"	"2S"	"1/2"	""	"0.147146441"	""	"0.000000018"	"L9039"
"4p6.12p"	"2P*"	"1/2"	""	"0.14777790"	""	"0.00000023"	"L9039"
"4p6.12p"	"2P*"	"3/2"	""	"0.14779403"	""	"0.00000023"	"L9039"
"4p6.13p"	"2P*"	"1/2"	""	"0.14883283"	""	"0.00000023"	"L9039"
"4p6.13p"	"2P*"	"3/2"	""	"0.14884467"	""	"0.00000023"	"L9039"
"4p6.14p"	"2P*"	"1/2"	""	"0.14962103"	""	"0.00000023"	"L9039"
"4p6.14p"	"2P*"	"3/2"	""	"0.14963014"	""	"0.00000023"	"L9039"
"4p6.15p"	"2P*"	"1/2"	""	"0.15022538"	""	"0.00000023"	"L9039"
"4p6.15p"	"2P*"	"3/2"	""	"0.15023235"	""	"0.00000023"	"L9039"
"4p6.16p"	"2P*"	"1/2"	""	"0.15069892"	""	"0.00000023"	"L9039"
"4p6.16p"	"2P*"	"3/2"	""	"0.15070457"	""	"0.00000023"	"L9039"
"4p6.17p"	"2P*"	"1/2"	""	"0.15107687"	""	"0.00000023"	"L9039"
"4p6.17p"	"2P*"	"3/2"	""	"0.15108142"	""	"0.00000023"	"L9039"
"4p6.18p"	"2P*"	"1/2"	""	"0.1513835"	""	"0.0000003"	"L9039"
"4p6.18p"	"2P*"	"3/2"	""	"0.1513873"	""	"0.0000003"	"L9039"
"4p6.19p"	"2P*"	"1/2"	""	"0.1516354"	""	"0.0000003"	"L9039"
"4p6.19p"	"2P*"	"3/2"	""	"0.1516385"	""	"0.0000003"	"L9039"
"4p6.20p"	"2P*"	"1/2"	""	"0.1518450"	""	"0.0000003"	"L9039"
"4p6.20p"	"2P*"	"3/2"	""	"0.1518476"	""	"0.0000003"	"L9039"
"4p6.21p"	"2P*"	"1/2"	""	"0.1520213"	""	"0.0000003"	"L9039"
"4p6.21p"	"2P*"	"3/2"	""	"0.1520234"	""	"0.0000003"	"L9039"
"4p6.22p"	"2P*"	"1/2"	""	"0.1521709"	""	"0.0000003"	"L9039"
"4p6.22p"	"2P*"	"3/2"	""	"0.1521729"	""	"0.0000003"	"L9039"
"4p6.23p"	"2P*"	"1/2"	""	"0.1522990"	""	"0.0000003"	"L9039"
"4p6.23p"	"2P*"	"3/2"	""	"0.1523007"	""	"0.0000003"	"L9039"
"4p6.24p"	"2P*"	"1/2"	""	"0.1524096"	""	"0.0000003"	"L9039"
"4p6.24p"	"2P*"	"3/2"	""	"0.1524111"	""	"0.0000003"	"L9039"
"4p6.25p"	"2P*"	"1/2"	""	"0.1525056"	""	"0.0000003"	"L9039"
"4p6.25p"	"2P*"	"3/2"	""	"0.1525071"	""	"0.0000003"	"L9039"
"4p6.26p"	"2P*"	"1/2"	""	"0.1525895"	""	"0.0000003"	"L9039"
"4p6.26p"	"2P*"	"3/2"	""	"0.1525907"	""	"0.0000003"	"L9039"
"4p6.27p"	"2P*"	"1/2"	""	"0.1526642"	""	"0.0000003"	"L9039"
"4p6.27p"	"2P*"	"3/2"	""	"0.1526642"	""	"0.0000003"	"L9039"
"4p6.28p"	"2P*"	"1/2"	""	"0.1527294"	""	"0.0000003"	"L9039"
"4p6.28p"	"2P*"	"3/2"	""	"0.1527294"	""	"0.0000003"	"L9039"
