Configuration	Term	J	Prefix	Level (Hartree)	Suffix	Uncertainty (Hartree)	Reference
"4p6.29p"	"2P*"	"3/2"	""	"0.1527872"	""	"0.0000003"	"L9039"
"4p6.29p"	"2P*"	"1/2"	""	"0.1527872"	""	"0.0000003"	"L9039"
"4p6.30p"	"2P*"	"3/2"	""	"0.1528389"	""	"0.0000003"	"L9039"
"4p6.30p"	"2P*"	"1/2"	""	"0.1528389"	""	"0.0000003"	"L9039"
"4p6.31p"	"2P*"	"1/2"	""	"0.1528854"	""	"0.0000003"	"L9039"
"4p6.31p"	"2P*"	"3/2"	""	"0.1528854"	""	"0.0000003"	"L9039"
"4p6.32p"	"2P*"	"1/2"	""	"0.1529269"	""	"0.0000003"	"L9039"
"4p6.32p"	"2P*"	"3/2"	""	"0.1529269"	""	"0.0000003"	"L9039"
"4p6.33p"	"2P*"	"3/2"	""	"0.1529646"	""	"0.0000003"	"L9039"
"4p6.33p"	"2P*"	"1/2"	""	"0.1529646"	""	"0.0000003"	"L9039"
"4p6.34p"	"2P*"	"3/2"	""	"0.1529987"	""	"0.0000003"	"L9039"
"4p6.34p"	"2P*"	"1/2"	""	"0.1529987"	""	"0.0000003"	"L9039"
"4p6.35p"	"2P*"	"1/2"	""	"0.1530296"	""	"0.0000003"	"L9039"
"4p6.35p"	"2P*"	"3/2"	""	"0.1530296"	""	"0.0000003"	"L9039"
"4p6.36p"	"2P*"	"1/2"	""	"0.1530578"	""	"0.0000003"	"L9039"
"4p6.36p"	"2P*"	"3/2"	""	"0.1530578"	""	"0.0000003"	"L9039"
"4p6.37p"	"2P*"	"1/2"	""	"0.1530836"	""	"0.0000003"	"L9039"
"4p6.37p"	"2P*"	"3/2"	""	"0.1530836"	""	"0.0000003"	"L9039"
"4p6.38p"	"2P*"	"1/2"	""	"0.1531072"	""	"0.0000003"	"L9039"
"4p6.38p"	"2P*"	"3/2"	""	"0.1531072"	""	"0.0000003"	"L9039"
"4p6.37d"	"2D"	"5/2"	""	"0.1531138"	""	"0.0000014"	"L9039"
"4p6.37d"	"2D"	"3/2"	""	"0.1531138"	""	"0.0000014"	"L9039"
"4p6.39s"	"2S"	"1/2"	""	"0.1531188"	""	"0.0000014"	"L9039"
"4p6.39p"	"2P*"	"1/2"	""	"0.1531291"	""	"0.0000003"	"L9039"
"4p6.39p"	"2P*"	"3/2"	""	"0.1531291"	""	"0.0000003"	"L9039"
"4p6.38d"	"2D"	"5/2"	""	"0.1531361"	""	"0.0000014"	"L9039"
"4p6.38d"	"2D"	"3/2"	""	"0.1531361"	""	"0.0000014"	"L9039"
"4p6.40s"	"2S"	"1/2"	""	"0.1531403"	""	"0.0000014"	"L9039"
"4p6.40p"	"2P*"	"3/2"	""	"0.1531491"	""	"0.0000003"	"L9039"
"4p6.40p"	"2P*"	"1/2"	""	"0.1531491"	""	"0.0000003"	"L9039"
"4p6.39d"	"2D"	"3/2"	""	"0.1531553"	""	"0.0000014"	"L9039"
"4p6.39d"	"2D"	"5/2"	""	"0.1531553"	""	"0.0000014"	"L9039"
"4p6.41s"	"2S"	"1/2"	""	"0.1531589"	""	"0.0000014"	"L9039"
"4p6.41p"	"2P*"	"1/2"	""	"0.1531675"	""	"0.0000003"	"L9039"
"4p6.41p"	"2P*"	"3/2"	""	"0.1531675"	""	"0.0000003"	"L9039"
"4p6.40d"	"2D"	"5/2"	""	"0.1531726"	""	"0.0000014"	"L9039"
"4p6.40d"	"2D"	"3/2"	""	"0.1531726"	""	"0.0000014"	"L9039"
"4p6.42s"	"2S"	"1/2"	""	"0.1531767"	""	"0.0000014"	"L9039"
"4p6.42p"	"2P*"	"1/2"	""	"0.1531847"	""	"0.0000003"	"L9039"
"4p6.42p"	"2P*"	"3/2"	""	"0.1531847"	""	"0.0000003"	"L9039"
"4p6.41d"	"2D"	"5/2"	""	"0.1531899"	""	"0.0000014"	"L9039"
"4p6.41d"	"2D"	"3/2"	""	"0.1531899"	""	"0.0000014"	"L9039"
"4p6.43s"	"2S"	"1/2"	""	"0.1531926"	""	"0.0000014"	"L9039"
"4p6.43p"	"2P*"	"1/2"	""	"0.1532004"	""	"0.0000003"	"L9039"
"4p6.43p"	"2P*"	"3/2"	""	"0.1532004"	""	"0.0000003"	"L9039"
"4p6.42d"	"2D"	"3/2"	""	"0.1532045"	""	"0.0000014"	"L9039"
"4p6.42d"	"2D"	"5/2"	""	"0.1532045"	""	"0.0000014"	"L9039"
"4p6.44s"	"2S"	"1/2"	""	"0.1532086"	""	"0.0000014"	"L9039"
"4p6.44p"	"2P*"	"1/2"	""	"0.1532151"	""	"0.0000003"	"L9039"
"4p6.44p"	"2P*"	"3/2"	""	"0.1532151"	""	"0.0000003"	"L9039"
"4p6.43d"	"2D"	"3/2"	""	"0.1532191"	""	"0.0000014"	"L9039"
"4p6.43d"	"2D"	"5/2"	""	"0.1532191"	""	"0.0000014"	"L9039"
"4p6.45s"	"2S"	"1/2"	""	"0.1532223"	""	"0.0000014"	"L9039"
"4p6.45p"	"2P*"	"1/2"	""	"0.1532286"	""	"0.0000003"	"L9039"
"4p6.45p"	"2P*"	"3/2"	""	"0.1532286"	""	"0.0000003"	"L9039"
"4p6.44d"	"2D"	"3/2"	""	"0.1532318"	""	"0.0000014"	"L9039"
"4p6.44d"	"2D"	"5/2"	""	"0.1532318"	""	"0.0000014"	"L9039"
"4p6.46s"	"2S"	"1/2"	""	"0.1532355"	""	"0.0000014"	"L9039"
"4p6.46p"	"2P*"	"1/2"	""	"0.1532387"	""	"0.0000003"	"L9039"
"4p6.46p"	"2P*"	"3/2"	""	"0.1532387"	""	"0.0000003"	"L9039"
"4p6.45d"	"2D"	"3/2"	""	"0.1532455"	""	"0.0000014"	"L9039"
"4p6.45d"	"2D"	"5/2"	""	"0.1532455"	""	"0.0000014"	"L9039"
"4p6.47s"	"2S"	"1/2"	""	"0.1532473"	""	"0.0000014"	"L9039"
"4p6.47p"	"2P*"	"1/2"	""	"0.1532533"	""	"0.0000003"	"L9039"
"4p6.47p"	"2P*"	"3/2"	""	"0.1532533"	""	"0.0000003"	"L9039"
"4p6.46d"	"2D"	"3/2"	""	"0.1532564"	""	"0.0000014"	"L9039"
"4p6.46d"	"2D"	"5/2"	""	"0.1532564"	""	"0.0000014"	"L9039"
"4p6.48s"	"2S"	"1/2"	""	"0.1532587"	""	"0.0000014"	"L9039"
"4p6.48p"	"2P*"	"1/2"	""	"0.1532643"	""	"0.0000003"	"L9039"
"4p6.48p"	"2P*"	"3/2"	""	"0.1532643"	""	"0.0000003"	"L9039"
"4p6.47d"	"2D"	"3/2"	""	"0.1532674"	""	"0.0000014"	"L9039"
"4p6.47d"	"2D"	"5/2"	""	"0.1532674"	""	"0.0000014"	"L9039"
"4p6.49s"	"2S"	"1/2"	""	"0.1532697"	""	"0.0000014"	"L9039"
"4p6.49p"	"2P*"	"1/2"	""	"0.1532746"	""	"0.0000003"	"L9039"
"4p6.49p"	"2P*"	"3/2"	""	"0.1532746"	""	"0.0000003"	"L9039"
"4p6.48d"	"2D"	"3/2"	""	"0.1532783"	""	"0.0000014"	"L9039"
"4p6.48d"	"2D"	"5/2"	""	"0.1532783"	""	"0.0000014"	"L9039"
"4p6.50s"	"2S"	"1/2"	"["	"0.1532797"	"]"	"0.0000014"	"L9039"
"4p6.50p"	"2P*"	"3/2"	""	"0.1532843"	""	"0.0000003"	"L9039"
"4p6.50p"	"2P*"	"1/2"	""	"0.1532843"	""	"0.0000003"	"L9039"
"4p6.49d"	"2D"	"3/2"	""	"0.1532865"	""	"0.0000014"	"L9039"
"4p6.49d"	"2D"	"5/2"	""	"0.1532865"	""	"0.0000014"	"L9039"
"4p6.51s"	"2S"	"1/2"	""	"0.1532892"	""	"0.0000014"	"L9039"
"4p6.51p"	"2P*"	"1/2"	""	"0.1532934"	""	"0.0000003"	"L9039"
"4p6.51p"	"2P*"	"3/2"	""	"0.1532934"	""	"0.0000003"	"L9039"
"4p6.50d"	"2D"	"3/2"	""	"0.1532965"	""	"0.0000014"	"L9039"
"4p6.50d"	"2D"	"5/2"	""	"0.1532965"	""	"0.0000014"	"L9039"
"4p6.52s"	"2S"	"1/2"	""	"0.1532979"	""	"0.0000014"	"L9039"
"4p6.52p"	"2P*"	"1/2"	""	"0.1533023"	""	"0.0000003"	"L9039"
"4p6.52p"	"2P*"	"3/2"	""	"0.1533023"	""	"0.0000003"	"L9039"
"4p6.51d"	"2D"	"3/2"	""	"0.1533047"	""	"0.0000014"	"L9039"
"4p6.51d"	"2D"	"5/2"	""	"0.1533047"	""	"0.0000014"	"L9039"
"4p6.53s"	"2S"	"1/2"	""	"0.1533061"	""	"0.0000014"	"L9039"
"4p6.53p"	"2P*"	"1/2"	""	"0.1533103"	""	"0.0000003"	"L9039"
"4p6.53p"	"2P*"	"3/2"	""	"0.1533103"	""	"0.0000003"	"L9039"
"4p6.52d"	"2D"	"3/2"	""	"0.1533129"	""	"0.0000014"	"L9039"
"4p6.52d"	"2D"	"5/2"	""	"0.1533129"	""	"0.0000014"	"L9039"
"4p6.54p"	"2P*"	"1/2"	""	"0.1533176"	""	"0.0000003"	"L9039"
"4p6.54p"	"2P*"	"3/2"	""	"0.1533176"	""	"0.0000003"	"L9039"
"4p6.53d"	"2D"	"3/2"	""	"0.1533193"	""	"0.0000014"	"L9039"
"4p6.53d"	"2D"	"5/2"	""	"0.1533193"	""	"0.0000014"	"L9039"
"4p6.55p"	"2P*"	"1/2"	""	"0.1533250"	""	"0.0000003"	"L9039"
"4p6.55p"	"2P*"	"3/2"	""	"0.1533250"	""	"0.0000003"	"L9039"
"4p6.54d"	"2D"	"3/2"	""	"0.1533275"	""	"0.0000014"	"L9039"
"4p6.54d"	"2D"	"5/2"	""	"0.1533275"	""	"0.0000014"	"L9039"
"4p6.56p"	"2P*"	"1/2"	""	"0.1533317"	""	"0.0000003"	"L9039"
"4p6.56p"	"2P*"	"3/2"	""	"0.1533317"	""	"0.0000003"	"L9039"
"4p6.57p"	"2P*"	"1/2"	""	"0.1533380"	""	"0.0000003"	"L9039"
"4p6.57p"	"2P*"	"3/2"	""	"0.1533380"	""	"0.0000003"	"L9039"
"4p6.58p"	"2P*"	"1/2"	""	"0.1533440"	""	"0.0000003"	"L9039"
"4p6.58p"	"2P*"	"3/2"	""	"0.1533440"	""	"0.0000003"	"L9039"
"4p6.59p"	"2P*"	"3/2"	""	"0.1533498"	""	"0.0000003"	"L9039"
"4p6.59p"	"2P*"	"1/2"	""	"0.1533498"	""	"0.0000003"	"L9039"
"4p6.60p"	"2P*"	"1/2"	""	"0.1533551"	""	"0.0000003"	"L9039"
"4p6.60p"	"2P*"	"3/2"	""	"0.1533551"	""	"0.0000003"	"L9039"
"4p6.61p"	"2P*"	"1/2"	""	"0.1533603"	""	"0.0000003"	"L9039"
"4p6.61p"	"2P*"	"3/2"	""	"0.1533603"	""	"0.0000003"	"L9039"
"4p6.62p"	"2P*"	"1/2"	""	"0.1533653"	""	"0.0000003"	"L9039"
"4p6.62p"	"2P*"	"3/2"	""	"0.1533653"	""	"0.0000003"	"L9039"
"4p6.63p"	"2P*"	"1/2"	""	"0.1533700"	""	"0.0000003"	"L9039"
"4p6.63p"	"2P*"	"3/2"	""	"0.1533700"	""	"0.0000003"	"L9039"
"4p6.64p"	"2P*"	"1/2"	""	"0.1533745"	""	"0.0000003"	"L9039"
"4p6.64p"	"2P*"	"3/2"	""	"0.1533745"	""	"0.0000003"	"L9039"
"4p6.65p"	"2P*"	"3/2"	""	"0.1533787"	""	"0.0000003"	"L9039"
"4p6.65p"	"2P*"	"1/2"	""	"0.1533787"	""	"0.0000003"	"L9039"
"4p6.66p"	"2P*"	"3/2"	""	"0.1533828"	""	"0.0000003"	"L9039"
"4p6.66p"	"2P*"	"1/2"	""	"0.1533828"	""	"0.0000003"	"L9039"
"4p6.67p"	"2P*"	"3/2"	""	"0.1533867"	""	"0.0000003"	"L9039"
"4p6.67p"	"2P*"	"1/2"	""	"0.1533867"	""	"0.0000003"	"L9039"
"4p6.68p"	"2P*"	"3/2"	""	"0.1533903"	""	"0.0000003"	"L9039"
"4p6.68p"	"2P*"	"1/2"	""	"0.1533903"	""	"0.0000003"	"L9039"
"4p6.69p"	"2P*"	"3/2"	""	"0.1533938"	""	"0.0000003"	"L9039"
"4p6.69p"	"2P*"	"1/2"	""	"0.1533938"	""	"0.0000003"	"L9039"
"4p6.70p"	"2P*"	"3/2"	""	"0.1533971"	""	"0.0000003"	"L9039"
"4p6.70p"	"2P*"	"1/2"	""	"0.1533971"	""	"0.0000003"	"L9039"
"4p6.71p"	"2P*"	"3/2"	""	"0.1534004"	""	"0.0000003"	"L9039"
"4p6.71p"	"2P*"	"1/2"	""	"0.1534004"	""	"0.0000003"	"L9039"
"4p6.72p"	"2P*"	"3/2"	""	"0.1534032"	""	"0.0000003"	"L9039"
"4p6.72p"	"2P*"	"1/2"	""	"0.1534032"	""	"0.0000003"	"L9039"
"4p6.73p"	"2P*"	"1/2"	""	"0.1534063"	""	"0.0000003"	"L9039"
"4p6.73p"	"2P*"	"3/2"	""	"0.1534063"	""	"0.0000003"	"L9039"
"4p6.74p"	"2P*"	"1/2"	""	"0.1534089"	""	"0.0000003"	"L9039"
"4p6.74p"	"2P*"	"3/2"	""	"0.1534089"	""	"0.0000003"	"L9039"
"4p6.75p"	"2P*"	"1/2"	""	"0.1534119"	""	"0.0000003"	"L9039"
"4p6.75p"	"2P*"	"3/2"	""	"0.1534119"	""	"0.0000003"	"L9039"
"4p6.76p"	"2P*"	"3/2"	""	"0.1534146"	""	"0.0000003"	"L9039"
"4p6.76p"	"2P*"	"1/2"	""	"0.1534146"	""	"0.0000003"	"L9039"
"4p6.77p"	"2P*"	"1/2"	""	"0.1534167"	""	"0.0000003"	"L9039"
"4p6.77p"	"2P*"	"3/2"	""	"0.1534167"	""	"0.0000003"	"L9039"
"Rb II (4p6 1S<0>)"	"Limit"	"---"	""	"0.15350663"	""	"0.00000005"	"L4740,L5783"
"4p5.5s.5p"	"4S"	"3/2"	""	"0.6116885"	""	"0.0000018"	"L9039"
"4p5.5s.4d"	"4P*"	"5/2"	""	"0.6233358"	""	"0.0000018"	"L9039"
"4p5.4d.(3D).5s"	"2D*"	"3/2"	""	"0.678457"	""	"0.000005"	"L9039"
"4p5.5s.6s"	"4P*"	"5/2"	""	"0.686134"	""	"0.000005"	"L9039"
"4p5.5s.6s"	"4P*"	"3/2"	""	"0.689419"	""	"0.000005"	"L9039"
"4p5.5s.(1P).6s"	"2P*"	"1/2"	""	"0.693994"	""	"0.000005"	"L9039"
"4p5.5p2"	"4D*"	"5/2"	""	"0.698992"	""	"0.000005"	"L9039"
"4p5.4d.(1P).5s"	"2P*"	"3/2"	""	"0.701876"	""	"0.000005"	"L9039"
