Configuration	Term	J	Prefix	Level (Hartree)	Suffix	Uncertainty (Hartree)	Lande	Reference
"3p6.42d"	"2D"	"5/2"	""	"0.159229212"	""	"0.000000003"	""	"L5451"
"3p6.42d"	"2D"	"3/2"	"["	"0.159229214"	"]"	"0.000000003"	""	"L5451"
"3p6.44s"	"2S"	"1/2"	""	"0.159230531"	""	"0.000000003"	""	"L5451"
"3p6.43d"	"2D"	"5/2"	"["	"0.159242498"	"]"	"0.000000003"	""	"L5451"
"3p6.43d"	"2D"	"3/2"	"["	"0.159242501"	"]"	"0.000000003"	""	"L5451"
"3p6.45s"	"2S"	"1/2"	"["	"0.159243728"	"]"	"0.000000003"	""	"L5451"
"3p6.44d"	"2D"	"5/2"	"["	"0.159254885"	"]"	"0.000000003"	""	"L5451"
"3p6.44d"	"2D"	"3/2"	"["	"0.159254887"	"]"	"0.000000003"	""	"L5451"
"3p6.46s"	"2S"	"1/2"	""	"0.159256032"	""	"0.000000003"	""	"L5451"
"3p6.45d"	"2D"	"5/2"	"["	"0.159266450"	"]"	"0.000000003"	""	"L5451"
"3p6.45d"	"2D"	"3/2"	"["	"0.159266452"	"]"	"0.000000003"	""	"L5451"
"3p6.46d"	"2D"	"5/2"	""	"0.159277264"	""	"0.000000003"	""	"L5451"
"3p6.46d"	"2D"	"3/2"	"["	"0.159277266"	"]"	"0.000000003"	""	"L5451"
"K II (3p6 1S<0>)"	"Limit"	"---"	""	"0.159516450"	""	"0.000000003"	""	"L5451,L5783,L7185"
"3p5.4s2"	"2P*"	"3/2"	""	"0.688043"	""	"0.000014"	""	"L3602"
"3p5.4s2"	"2P*"	"1/2"	""	"0.697507"	""	"0.000014"	""	"L3602"
"3p5.3d.(3P*).4s"	"4P*"	"1/2"	""	"0.726129"	""	"0.000018"	""	"L3602"
"3p5.3d.(3P*).4s"	"4P*"	"3/2"	""	"0.727547"	""	"0.000018"	""	"L3602"
"3p5.3d.(3P*).4s"	"4P*"	"5/2"	""	"0.7301"	""	"0.0003"	""	"L4582"
"3p5.(2P*).4s.4p.(3P*)"	"4S"	"3/2"	""	"0.7357"	""	"0.0003"	""	"L4582"
"3p5.3d.(3P*).4s"	"2P*"	"1/2"	""	"0.739967"	""	"0.000018"	""	"L3602"
"3p5.3d.(3P*).4s"	"2P*"	"3/2"	""	"0.742710"	""	"0.000018"	""	"L3602"
"3p5.(2P*).4s.4p.(3P*)"	"4D"	"3/2"	""	"0.7495"	""	"0.0003"	""	"L4582"
"3p5.(2P*).4s.4p.(3P*)"	"4D"	"1/2"	""	"0.7518"	""	"0.0003"	""	"L4582"
"3p5.3d.(3F*).4s"	"4F*"	"7/2"	""	"0.7528"	""	"0.0003"	""	"L4582"
"3p5.3d.(3F*).4s"	"4F*"	"5/2"	""	"0.7551"	""	"0.0003"	""	"L4582"
"3p5.3d.(3F*).4s"	"4F*"	"3/2"	""	"0.7574"	""	"0.0003"	""	"L4582"
"3p5.(2P*).4s.4p.(3P*)"	"2D"	"3/2"	""	"0.7587"	""	"0.0003"	""	"L4582"
"3p5.(2P*).4s.4p.(3P*)"	"2D"	"5/2"	""	"0.7607"	""	"0.0003"	""	"L4582"
"3p5.3d.(3F*).4s"	"2F*"	"7/2"	""	"0.7633"	""	"0.0003"	""	"L4582"
"3p5.3d.(3F*).4s"	"2F*"	"5/2"	""	"0.7653"	""	"0.0003"	""	"L4582"
"3p5.(2P*).4s.4p.(3P*)"	"2P"	"1/2"	""	"0.7672"	""	"0.0003"	""	"L4582"
"3p5.(2P*).4s.4p.(3P*)"	"2P"	"3/2"	""	"0.7678"	""	"0.0003"	""	"L4582"
"3p5.3d.(3D*).4s"	"4D*"	"7/2"	""	"0.7840"	""	"0.0003"	""	"L4582"
"3p5.3d.(3D*).4s"	"4D*"	"3/2"	""	"0.786528"	""	"0.000018"	""	"L3602"
"3p5.3d.(3D*).4s"	"4D*"	"1/2"	""	"0.787335"	""	"0.000018"	""	"L3602"
"3p5.3d.(1D*).4s"	"2D*"	"3/2"	""	"0.789148"	""	"0.000018"	""	"L4582"
"3p5.3d.(1D*).4s"	"2D*"	"5/2"	""	"0.7899"	""	"0.0003"	""	"L4582"
"3p5.3d.(1F*).4s"	"2F*"	"7/2"	""	"0.7943"	""	"0.0003"	""	"L4582"
"3p5.3d.(1F*).4s"	"2F*"	"5/2"	""	"0.7954"	""	"0.0003"	""	"L4582"
"3p5.(2P*).4s.4p.(1P*)"	"2D"	"5/2"	""	"0.8011"	""	"0.0003"	""	"L4582"
"3p5.(2P*).4s.4p.(1P*)"	"2D"	"3/2"	""	"0.8100"	""	"0.0003"	""	"L4582"
"3p5.(2P*).4s.4p.(1P*)"	"2S"	"1/2"	""	"0.8032"	""	"0.0003"	""	"L4582"
"3p5.3d.(3D*).4s"	"2D*"	"5/2"	""	"0.8181"	""	"0.0003"	""	"L4582"
"3p5.3d.(3D*).4s"	"2D*"	"3/2"	""	"0.819625"	""	"0.000009"	""	"L6851"
"3p5.(2P*).4s.4p.(1P*)"	"2P"	"3/2"	""	"0.8216"	""	"0.0003"	""	"L4582"
"3p5.4s.(1P*).5s"	"2P*"	"3/2"	""	"0.839947"	""	"0.000009"	""	"L6851"
"3p5.4s.(1P*).5s"	"2P*"	"1/2"	""	"0.843619"	""	"0.000009"	""	"L6851"
"3p5.4s.(1P*).6s"	"2P*"	"1/2,3/2"	""	"0.879701"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).5d"	"2D*"	"3/2"	""	"0.882817"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).5d"	"2P*"	"1/2"	""	"0.883683"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).5d"	"2P*"	"3/2"	""	"0.884271"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).7s"	"2P*"	"1/2,3/2"	""	"0.894491"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).6d"	"2P*"	"3/2"	""	"0.894687"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).6d"	"2P*"	"1/2"	""	"0.896354"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).6d"	"2D*"	"3/2"	""	"0.896828"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).8s"	"2P*"	"1/2"	""	"0.901644"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).8s"	"2P*"	"3/2"	""	"0.901936"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).7d"	"2P*"	"1/2,3/2"	""	"0.902387"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).8d"	"2P*?"	"1/2,3/2"	""	"0.9063"	""	"0.0007"	""	"L6851"
"3p5.4s.(1P*).9s"	"2P*?"	"1/2,3/2"	""	"0.9063"	""	"0.0007"	""	"L6851"
"3p5.4s.(1P*).10s"	"2P*"	"1/2,3/2"	""	"0.909294"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).11s"	"2P*"	"1/2,3/2"	""	"0.91118"	""	"0.00023"	""	"L6851"
"3p5.4s.(1P*).10d"	"2P*"	"1/2,3/2"	""	"0.91118"	""	"0.00023"	""	"L6851"
"3p5.4s.(1P*).12s"	"2P*"	"1/2,3/2"	""	"0.91250"	""	"0.00023"	""	"L6851"
"3p5.4s.(1P*).11d"	"2P*"	"1/2,3/2"	""	"0.91250"	""	"0.00023"	""	"L6851"
"3p5.4s.(1P*).13s"	"2P*"	"1/2,3/2"	""	"0.91350"	""	"0.00023"	""	"L6851"
"3p5.4s.(1P*).12d"	"2P*"	"1/2,3/2"	""	"0.91350"	""	"0.00023"	""	"L6851"
"3p5.4s.(1P*).14s"	"2P*"	"1/2,3/2"	""	"0.91427"	""	"0.00023"	""	"L6851"
"3p5.4s.(1P*).13d"	"2P*"	"1/2,3/2"	""	"0.91427"	""	"0.00023"	""	"L6851"
"3p5.4s.(1P*).15s"	"2P*"	"1/2,3/2"	""	"0.914789"	""	"0.000023"	""	"L6851"
"3p5.4s.(1P*).14d"	"2P*"	"1/2,3/2"	""	"0.914789"	""	"0.000023"	""	"L6851"
"3p5.4s.(1P*).16s"	"2P*"	"1/2,3/2"	""	"0.915254"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).15d"	"2P*"	"1/2,3/2"	""	"0.915254"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).17s"	"2P*"	"1/2,3/2"	""	"0.915605"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).16d"	"2P*"	"1/2,3/2"	""	"0.915605"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).17d"	"2P*"	"1/2,3/2"	""	"0.915887"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).18s"	"2P*"	"1/2,3/2"	""	"0.915887"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).18d"	"2P*"	"1/2,3/2"	""	"0.916133"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).19s"	"2P*"	"1/2,3/2"	""	"0.916133"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).19d"	"2P*"	"1/2,3/2"	""	"0.916334"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).20s"	"2P*"	"1/2,3/2"	""	"0.916334"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).20d"	"2P*"	"1/2,3/2"	""	"0.916502"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).21s"	"2P*"	"1/2,3/2"	""	"0.916502"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).22s"	"2P*"	"1/2,3/2"	""	"0.916644"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).21d"	"2P*"	"1/2,3/2"	""	"0.916644"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).23s"	"2P*"	"1/2,3/2"	""	"0.916771"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).22d"	"2P*"	"1/2,3/2"	""	"0.916771"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).24s"	"2P*"	"1/2,3/2"	""	"0.916876"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).23d"	"2P*"	"1/2,3/2"	""	"0.916876"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).25s"	"2P*"	"1/2,3/2"	""	"0.916976"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).24d"	"2P*"	"1/2,3/2"	""	"0.916976"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).26s"	"2P*"	"1/2,3/2"	""	"0.917054"	""	"0.000014"	""	"L6851"
"3p5.4s.(1P*).25d"	"2P*"	"1/2,3/2"	""	"0.917054"	""	"0.000014"	""	"L6851"
