Configuration	Term	J	Prefix	Level (Hartree)	Suffix	Uncertainty (Hartree)	Lande	Reference
"3p6.4s"	"2S"	"1/2"	""	"0.0000000000"	""	"0.0000000023"	"2.002295"	"L7185"
"3p6.4p"	"2P*"	"1/2"	""	"0.059164859480"	""	"0.000000000009"	""	"L8995"
"3p6.4p"	"2P*"	"3/2"	""	"0.059427806968"	""	"0.000000000018"	""	"L8995"
"3p6.5s"	"2S"	"1/2"	""	"0.095804016"	""	"0.000000023"	""	"L1792"
"3p6.3d"	"2D"	"5/2"	""	"0.098119222"	""	"0.000000023"	""	"L1792"
"3p6.3d"	"2D"	"3/2"	""	"0.098129738"	""	"0.000000023"	""	"L1792"
"3p6.5p"	"2P*"	"1/2"	""	"0.112547778"	""	"0.000000023"	"0.665"	"L1792"
"3p6.5p"	"2P*"	"3/2"	""	"0.112633241"	""	"0.000000023"	""	"L1792"
"3p6.4d"	"2D"	"5/2"	""	"0.124830268"	""	"0.000000023"	""	"L1792"
"3p6.4d"	"2D"	"3/2"	""	"0.124835143"	""	"0.000000023"	""	"L1792"
"3p6.6s"	"2S"	"1/2"	""	"0.125074640"	""	"0.000000014"	""	"L5770"
"3p6.4f"	"2F*"	"5/2"	""	"0.12815991"	""	"0.00000023"	""	"L6096"
"3p6.4f"	"2F*"	"7/2"	""	"0.12815991"	""	"0.00000023"	""	"L6096"
"3p6.6p"	"2P*"	"1/2"	""	"0.13213040"	""	"0.00000023"	"0.6663"	"L6096"
"3p6.6p"	"2P*"	"3/2"	""	"0.13216885"	""	"0.00000023"	"1.3337"	"L6096"
"3p6.5d"	"2D"	"5/2"	""	"0.137534091"	""	"0.000000014"	"1.2004"	"L5770"
"3p6.5d"	"2D"	"3/2"	""	"0.137536386"	""	"0.000000014"	"0.7997"	"L5770"
"3p6.7s"	"2S"	"1/2"	""	"0.137939627"	""	"0.000000014"	"2.0020"	"L5770"
"3p6.5f"	"2F*"	"5/2"	""	"0.1394545"	""	"0.0000003"	""	"L6096"
"3p6.5f"	"2F*"	"7/2"	""	"0.1394545"	""	"0.0000003"	""	"L6096"
"3p6.5g"	"2G"	"7/2"	""	"0.13950273"	""	"0.00000005"	""	"L873"
"3p6.5g"	"2G"	"9/2"	""	"0.13950273"	""	"0.00000005"	""	"L873"
"3p6.7p"	"2P*"	"1/2"	""	"0.1415649"	""	"0.0000003"	"0.6659"	"L6096"
"3p6.7p"	"2P*"	"3/2"	""	"0.1415854"	""	"0.0000003"	"1.3336"	"L6096"
"3p6.6d"	"2D"	"5/2"	""	"0.144417149"	""	"0.000000014"	"1.2013"	"L5770"
"3p6.6d"	"2D"	"3/2"	""	"0.144418359"	""	"0.000000014"	"0.7999"	"L5770"
"3p6.8s"	"2S"	"1/2"	""	"0.144733706"	""	"0.000000014"	"2.0028"	"L5770"
"3p6.6f"	"2F*"	"5/2"	""	"0.1455894"	""	"0.0000003"	""	"L6096"
"3p6.6f"	"2F*"	"7/2"	""	"0.1455894"	""	"0.0000003"	""	"L6096"
"3p6.8p"	"2P*"	"1/2"	""	"0.1468390"	""	"0.0000003"	""	"L6096"
"3p6.8p"	"2P*"	"3/2"	""	"0.1468512"	""	"0.0000003"	""	"L6096"
"3p6.7d"	"2D"	"5/2"	""	"0.148528729"	""	"0.000000003"	""	"L5451"
"3p6.7d"	"2D"	"3/2"	""	"0.148529438"	""	"0.000000003"	""	"L5451"
"3p6.9s"	"2S"	"1/2"	""	"0.148756833"	""	"0.000000003"	""	"L5451"
"3p6.7f"	"2F*"	"5/2"	""	"0.1492874"	""	"0.0000003"	""	"L6096"
"3p6.7f"	"2F*"	"7/2"	""	"0.1492874"	""	"0.0000003"	""	"L6096"
"3p6.9p"	"2P*"	"1/2"	""	"0.150086608"	""	"0.000000014"	""	"L5783"
"3p6.9p"	"2P*"	"3/2"	""	"0.150094460"	""	"0.000000014"	""	"L5783"
"3p6.8d"	"2D"	"5/2"	""	"0.151170701"	""	"0.000000003"	""	"L5451"
"3p6.8d"	"2D"	"3/2"	""	"0.151171150"	""	"0.000000003"	""	"L5451"
"3p6.10s"	"2S"	"1/2"	""	"0.151335152"	""	"0.000000003"	""	"L5451"
"3p6.8f"	"2F*"	"5/2"	""	"0.1516868"	""	"0.0000003"	""	"L6096"
"3p6.8f"	"2F*"	"7/2"	""	"0.1516868"	""	"0.0000003"	""	"L6096"
"3p6.10p"	"2P*"	"1/2"	""	"0.152228211"	""	"0.000000014"	""	"L5783"
"3p6.10p"	"2P*"	"3/2"	""	"0.152233533"	""	"0.000000014"	""	"L5783"
"3p6.9d"	"2D"	"5/2"	""	"0.152965557"	""	"0.000000003"	""	"L5451"
"3p6.9d"	"2D"	"3/2"	""	"0.152965856"	""	"0.000000003"	""	"L5451"
"3p6.11s"	"2S"	"1/2"	""	"0.153086302"	""	"0.000000003"	""	"L5451"
"3p6.9f"	"2F*"	"5/2"	""	"0.1533313"	""	"0.0000003"	""	"L6096"
"3p6.9f"	"2F*"	"7/2"	""	"0.1533313"	""	"0.0000003"	""	"L6096"
"3p6.11p"	"2P*"	"1/2"	""	"0.153714795"	""	"0.000000014"	""	"L5783"
"3p6.11p"	"2P*"	"3/2"	""	"0.153718579"	""	"0.000000014"	""	"L5783"
"3p6.10d"	"2D"	"5/2"	""	"0.154239218"	""	"0.000000003"	""	"L5451"
"3p6.10d"	"2D"	"3/2"	""	"0.154239429"	""	"0.000000003"	""	"L5451"
"3p6.12s"	"2S"	"1/2"	""	"0.154329813"	""	"0.000000003"	""	"L5451"
"3p6.10f"	"2F*"	"5/2"	""	"0.1545072"	""	"0.0000003"	""	"L6096"
"3p6.10f"	"2F*"	"7/2"	""	"0.1545072"	""	"0.0000003"	""	"L6096"
"3p6.12p"	"2P*"	"1/2"	""	"0.154788762"	""	"0.000000014"	""	"L5783"
"3p6.12p"	"2P*"	"3/2"	""	"0.154791534"	""	"0.000000014"	""	"L5783"
"3p6.11d"	"2D"	"5/2"	""	"0.155175133"	""	"0.000000003"	""	"L5451"
"3p6.11d"	"2D"	"3/2"	""	"0.155175285"	""	"0.000000003"	""	"L5451"
"3p6.13s"	"2S"	"1/2"	""	"0.155244545"	""	"0.000000003"	""	"L5451"
"3p6.11f"	"2F*"	"5/2"	""	"0.1553772"	""	"0.0000003"	""	"L6096"
"3p6.11f"	"2F*"	"7/2"	""	"0.1553772"	""	"0.0000003"	""	"L6096"
"3p6.13p"	"2P*"	"1/2"	""	"0.155589866"	""	"0.000000014"	""	"L5783"
"3p6.13p"	"2P*"	"3/2"	""	"0.155591951"	""	"0.000000014"	""	"L5783"
"3p6.12d"	"2D"	"5/2"	""	"0.155882772"	""	"0.000000003"	""	"L5451"
"3p6.12d"	"2D"	"3/2"	""	"0.155882888"	""	"0.000000003"	""	"L5451"
"3p6.14s"	"2S"	"1/2"	""	"0.155936980"	""	"0.000000003"	""	"L5451"
"3p6.12f"	"2F*"	"5/2"	""	"0.15603794"	""	"0.00000023"	""	"L2996"
"3p6.12f"	"2F*"	"7/2"	""	"0.15603794"	""	"0.00000023"	""	"L2996"
"3p6.14p"	"2P*"	"1/2"	""	"0.156203280"	""	"0.000000014"	""	"L5783"
"3p6.14p"	"2P*"	"3/2"	""	"0.156204924"	""	"0.000000014"	""	"L5783"
"3p6.13d"	"2D"	"5/2"	""	"0.156430666"	""	"0.000000003"	""	"L5451"
"3p6.13d"	"2D"	"3/2"	""	"0.156430755"	""	"0.000000003"	""	"L5451"
"3p6.15s"	"2S"	"1/2"	""	"0.156473734"	""	"0.000000003"	""	"L5451"
"3p6.13f"	"2F*"	"5/2"	""	"0.1565528"	""	"0.0000003"	""	"L2996"
"3p6.13f"	"2F*"	"7/2"	""	"0.1565528"	""	"0.0000003"	""	"L2996"
"3p6.15p"	"2P*"	"1/2"	""	"0.156683400"	""	"0.000000014"	""	"L5783"
"3p6.15p"	"2P*"	"3/2"	""	"0.156684691"	""	"0.000000014"	""	"L5783"
"3p6.14d"	"2D"	"5/2"	""	"0.156863466"	""	"0.000000003"	""	"L5451"
"3p6.14d"	"2D"	"3/2"	""	"0.156863536"	""	"0.000000003"	""	"L5451"
"3p6.16s"	"2S"	"1/2"	""	"0.156898207"	""	"0.000000003"	""	"L5451"
"3p6.14f"	"2F*"	"5/2"	""	"0.1569611"	""	"0.0000003"	""	"L2996"
"3p6.14f"	"2F*"	"7/2"	""	"0.1569611"	""	"0.0000003"	""	"L2996"
"3p6.16p"	"2P*"	"1/2"	""	"0.157066219"	""	"0.000000014"	""	"L5783"
"3p6.16p"	"2P*"	"3/2"	""	"0.157067264"	""	"0.000000014"	""	"L5783"
"3p6.15d"	"2D"	"5/2"	""	"0.157211265"	""	"0.000000003"	""	"L5451"
"3p6.15d"	"2D"	"3/2"	""	"0.157211321"	""	"0.000000003"	""	"L5451"
"3p6.17s"	"2S"	"1/2"	""	"0.157239672"	""	"0.000000003"	""	"L5451"
"3p6.17p"	"2P*"	"1/2"	""	"0.157376389"	""	"0.000000014"	""	"L5783"
"3p6.17p"	"2P*"	"3/2"	""	"0.157377227"	""	"0.000000014"	""	"L5783"
"3p6.16d"	"2D"	"5/2"	""	"0.157494931"	""	"0.000000003"	""	"L5451"
"3p6.16d"	"2D"	"3/2"	""	"0.157494978"	""	"0.000000003"	""	"L5451"
"3p6.18s"	"2S"	"1/2"	""	"0.157518441"	""	"0.000000003"	""	"L5451"
"3p6.18p"	"2P*"	"1/2"	""	"0.157631179"	""	"0.000000014"	""	"L5783"
"3p6.18p"	"2P*"	"3/2"	""	"0.157631884"	""	"0.000000014"	""	"L5783"
"3p6.17d"	"2D"	"5/2"	""	"0.157729307"	""	"0.000000003"	""	"L5451"
"3p6.17d"	"2D"	"3/2"	""	"0.157729345"	""	"0.000000003"	""	"L5451"
"3p6.19s"	"2S"	"1/2"	""	"0.157748973"	""	"0.000000003"	""	"L5451"
"3p6.19p"	"2P*"	"3/2"	""	"0.157843618"	""	"0.000000014"	""	"L5783"
"3p6.18d"	"2D"	"5/2"	""	"0.157925178"	""	"0.000000003"	""	"L5451"
"3p6.18d"	"2D"	"3/2"	""	"0.157925210"	""	"0.000000003"	""	"L5451"
"3p6.20s"	"2S"	"1/2"	""	"0.157941790"	""	"0.000000003"	""	"L5451"
"3p6.20p"	"2P*"	"3/2"	""	"0.158021553"	""	"0.000000014"	""	"L5783"
"3p6.19d"	"2D"	"5/2"	""	"0.158090540"	""	"0.000000003"	""	"L5451"
"3p6.19d"	"2D"	"3/2"	""	"0.158090567"	""	"0.000000003"	""	"L5451"
"3p6.21s"	"2S"	"1/2"	""	"0.158104693"	""	"0.000000003"	""	"L5451"
"3p6.21p"	"2P*"	"3/2"	""	"0.158172561"	""	"0.000000014"	""	"L5783"
"3p6.20d"	"2D"	"5/2"	""	"0.158231407"	""	"0.000000003"	""	"L5451"
"3p6.20d"	"2D"	"3/2"	""	"0.158231431"	""	"0.000000003"	""	"L5451"
"3p6.22s"	"2S"	"1/2"	""	"0.158243563"	""	"0.000000003"	""	"L5451"
"3p6.21d"	"2D"	"5/2"	""	"0.158352391"	""	"0.000000003"	""	"L5451"
"3p6.21d"	"2D"	"3/2"	""	"0.158352411"	""	"0.000000003"	""	"L5451"
"3p6.23s"	"2S"	"1/2"	""	"0.158362907"	""	"0.000000003"	""	"L5451"
"3p6.22d"	"2D"	"5/2"	""	"0.158457064"	""	"0.000000003"	""	"L5451"
"3p6.22d"	"2D"	"3/2"	""	"0.158457082"	""	"0.000000003"	""	"L5451"
"3p6.24s"	"2S"	"1/2"	""	"0.158466218"	""	"0.000000003"	""	"L5451"
"3p6.23d"	"2D"	"5/2"	""	"0.158548229"	""	"0.000000003"	""	"L5451"
"3p6.23d"	"2D"	"3/2"	""	"0.158548244"	""	"0.000000003"	""	"L5451"
"3p6.25s"	"2S"	"1/2"	""	"0.158556248"	""	"0.000000003"	""	"L5451"
"3p6.24d"	"2D"	"5/2"	""	"0.158628116"	""	"0.000000003"	""	"L5451"
"3p6.24d"	"2D"	"3/2"	""	"0.158628129"	""	"0.000000003"	""	"L5451"
"3p6.26s"	"2S"	"1/2"	""	"0.158635177"	""	"0.000000003"	""	"L5451"
"3p6.25d"	"2D"	"5/2"	""	"0.158698510"	""	"0.000000003"	""	"L5451"
"3p6.25d"	"2D"	"3/2"	""	"0.158698521"	""	"0.000000003"	""	"L5451"
"3p6.27s"	"2S"	"1/2"	""	"0.158704761"	""	"0.000000003"	""	"L5451"
"3p6.26d"	"2D"	"5/2"	""	"0.158760856"	""	"0.000000003"	""	"L5451"
"3p6.26d"	"2D"	"3/2"	""	"0.158760867"	""	"0.000000003"	""	"L5451"
"3p6.28s"	"2S"	"1/2"	""	"0.158766415"	""	"0.000000003"	""	"L5451"
"3p6.27d"	"2D"	"5/2"	""	"0.158816337"	""	"0.000000003"	""	"L5451"
"3p6.27d"	"2D"	"3/2"	""	"0.158816346"	""	"0.000000003"	""	"L5451"
"3p6.29s"	"2S"	"1/2"	""	"0.158821303"	""	"0.000000003"	""	"L5451"
"3p6.28d"	"2D"	"5/2"	""	"0.158865925"	""	"0.000000003"	""	"L5451"
"3p6.28d"	"2D"	"3/2"	""	"0.158865934"	""	"0.000000003"	""	"L5451"
"3p6.30s"	"2S"	"1/2"	""	"0.158870380"	""	"0.000000003"	""	"L5451"
"3p6.29d"	"2D"	"5/2"	"["	"0.158910425"	"]"	"0.000000003"	""	"L5451"
"3p6.29d"	"2D"	"3/2"	"["	"0.158910433"	"]"	"0.000000003"	""	"L5451"
"3p6.31s"	"2S"	"1/2"	"["	"0.158914435"	"]"	"0.000000003"	""	"L5451"
"3p6.30d"	"2D"	"5/2"	""	"0.158950511"	""	"0.000000003"	""	"L5451"
"3p6.30d"	"2D"	"3/2"	""	"0.158950517"	""	"0.000000003"	""	"L5451"
"3p6.32s"	"2S"	"1/2"	""	"0.158954134"	""	"0.000000003"	""	"L5451"
"3p6.31d"	"2D"	"5/2"	"["	"0.158986748"	"]"	"0.000000003"	""	"L5451"
"3p6.31d"	"2D"	"3/2"	"["	"0.158986753"	"]"	"0.000000003"	""	"L5451"
"3p6.33s"	"2S"	"1/2"	"["	"0.158990031"	"]"	"0.000000003"	""	"L5451"
"3p6.32d"	"2D"	"5/2"	""	"0.159019612"	""	"0.000000003"	""	"L5451"
"3p6.32d"	"2D"	"3/2"	""	"0.159019617"	""	"0.000000003"	""	"L5451"
"3p6.34s"	"2S"	"1/2"	""	"0.159022599"	""	"0.000000003"	""	"L5451"
"3p6.33d"	"2D"	"5/2"	"["	"0.159049510"	"]"	"0.000000003"	""	"L5451"
"3p6.33d"	"2D"	"3/2"	"["	"0.159049515"	"]"	"0.000000003"	""	"L5451"
"3p6.35s"	"2S"	"1/2"	"["	"0.159052233"	"]"	"0.000000003"	""	"L5451"
"3p6.34d"	"2D"	"5/2"	""	"0.159076788"	""	"0.000000003"	""	"L5451"
"3p6.34d"	"2D"	"3/2"	""	"0.159076793"	""	"0.000000003"	""	"L5451"
"3p6.36s"	"2S"	"1/2"	""	"0.159079277"	""	"0.000000003"	""	"L5451"
"3p6.35d"	"2D"	"5/2"	"["	"0.159101745"	"]"	"0.000000003"	""	"L5451"
"3p6.35d"	"2D"	"3/2"	"["	"0.159101748"	"]"	"0.000000003"	""	"L5451"
"3p6.37s"	"2S"	"1/2"	"["	"0.159104027"	"]"	"0.000000003"	""	"L5451"
"3p6.36d"	"2D"	"5/2"	""	"0.159124634"	""	"0.000000003"	""	"L5451"
"3p6.36d"	"2D"	"3/2"	""	"0.159124638"	""	"0.000000003"	""	"L5451"
"3p6.38s"	"2S"	"1/2"	""	"0.159126732"	""	"0.000000003"	""	"L5451"
"3p6.37d"	"2D"	"5/2"	"["	"0.159145681"	"]"	"0.000000003"	""	"L5451"
"3p6.37d"	"2D"	"3/2"	"["	"0.159145684"	"]"	"0.000000003"	""	"L5451"
"3p6.39s"	"2S"	"1/2"	"["	"0.159147612"	"]"	"0.000000003"	""	"L5451"
"3p6.38d"	"2D"	"5/2"	""	"0.159165075"	""	"0.000000003"	""	"L5451"
"3p6.38d"	"2D"	"3/2"	""	"0.159165078"	""	"0.000000003"	""	"L5451"
"3p6.40s"	"2S"	"1/2"	""	"0.159166858"	""	"0.000000003"	""	"L5451"
"3p6.39d"	"2D"	"5/2"	"["	"0.159182987"	"]"	"0.000000003"	""	"L5451"
"3p6.39d"	"2D"	"3/2"	"["	"0.159182989"	"]"	"0.000000003"	""	"L5451"
"3p6.41s"	"2S"	"1/2"	"["	"0.159184636"	"]"	"0.000000003"	""	"L5451"
"3p6.40d"	"2D"	"5/2"	""	"0.159199563"	""	"0.000000003"	""	"L5451"
"3p6.40d"	"2D"	"3/2"	""	"0.159199566"	""	"0.000000003"	""	"L5451"
"3p6.42s"	"2S"	"1/2"	""	"0.159201092"	""	"0.000000003"	""	"L5451"
"3p6.41d"	"2D"	"5/2"	"["	"0.159214932"	"]"	"0.000000003"	""	"L5451"
"3p6.41d"	"2D"	"3/2"	"["	"0.159214936"	"]"	"0.000000003"	""	"L5451"
"3p6.43s"	"2S"	"1/2"	"["	"0.159216351"	"]"	"0.000000003"	""	"L5451"
