Var;R10_females;R10_males;R15_females;R15_males;R25_females;R25_males;R35_females;R35_males;X10_females;X10_males;X15_females;X15_males;X20_females;X20_males;X25_females;X25_males;X35_females;X35_males
quantile_value_0.05;0.18;0.15;0.17;0.14;0.17;0.14;0.19;0.15;-0.12;-0.08;-0.07;-0.03;-0.02;0.01;0.02;0.03;0.08;0.09
quantile_value_0.5;0.29;0.23;0.26;0.21;0.26;0.2;0.27;0.22;-0.04;-0.02;0.0;0.01;0.04;0.05;0.09;0.08;0.15;0.14
quantile_value_0.95;0.42;0.36;0.38;0.33;0.38;0.31;0.4;0.34;0.01;0.02;0.06;0.05;0.11;0.09;0.16;0.13;0.22;0.2
intercept_0.05;0.4809424;0.7608053;0.5231851;0.4788628;0.5883734;0.6088613;0.4405811;0.6741496;-0.3144773;-0.0737045;-0.0342091;-0.2588542;-0.0168431;0.0971653;-0.0444164;0.431873;0.1406846;0.7404901
intercept_0.5;0.6897185;0.8500105;0.5258876;0.8484545;0.3118373;0.7134742;0.5139098;0.7084185;-0.19332;-0.134085;-0.1428449;-0.1034239;-0.0114201;0.0255885;0.0510047;0.1563108;0.2002944;0.2938889
intercept_0.95;0.4719983;11499931.0;0.2962761;12066933.0;0.5796914;10242570.0;0.371746;10792848.0;-0.095989;-0.0930851;-0.1558996;-0.0579056;0.0452323;-0.1177028;0.074851;0.1157309;0.2496872;0.3264791
age_0.05;0.0002429;-0.001897;-0.0003587;-0.0008444;-0.0006121;-0.0016253;-0.0011068;-0.0019355;-0.0008281;-0.0016742;-0.0014215;-0.0009606;-0.0015098;-0.0010465;-0.001432;-0.0019617;-0.0014576;-0.0028461
age_0.5;0.0009021;-0.0002916;0.0003329;-0.0004936;0.0002711;-0.00081;-0.0002254;-0.0008388;-0.0010049;-0.0005945;-0.0012609;-0.0007079;-0.0013149;-0.0009716;-0.0014803;-0.0010368;-0.0013822;-0.0008333
age_0.95;0.0005201;0.00058;0.0013976;3.2e-05;0.000216;-0.000241;-0.0007823;-0.0005261;-0.0006708;-0.0005851;-0.0007236;-0.000826;-0.0013353;-0.0008434;-0.0016454;-0.0008193;-0.0016145;-0.0008062
height_0.05;-0.0033526;-0.0028262;-0.0031551;-0.0023545;-0.003205;-0.0020911;-0.00111;-0.0023167;0.0023341;0.0006061;0.0007784;0.0016204;0.0006863;-0.0001072;0.001083;-0.0015055;0.000253;-0.0027085
height_0.5;-0.0039559;-0.00448;-0.002605;-0.0042916;-0.0010112;-0.0033337;-0.0019556;-0.0030919;0.0019482;0.001499;0.001905;0.0014861;0.0012569;0.0009511;0.0010831;0.0004089;0.0002495;-0.0005556
height_0.95;-0.0005654;-0.0048548;-2.84e-05;-0.0051061;-0.001358;-0.0040161;0.000514;-0.0041102;0.0014556;0.0008511;0.0022713;0.0013864;0.0016874;0.0021006;0.0011557;0.0004159;0.0004201;-0.0004
weight_0.05;0.0033552;;0.0026231;0.0015407;0.002071;;;;-0.0015115;;-0.0007871;;;;;;;
weight_0.5;0.0024615;0.0021392;0.0019214;0.001687;0.0012832;0.0014541;0.0012826;0.0012065;-0.0013264;-0.0012642;-0.0011204;-0.0011579;-0.0008589;-0.0009383;-0.000579;-0.0008866;;
weight_0.95;;;;;;;;;-0.0012597;;-0.0015288;-0.0009735;-0.0017546;-0.0012936;;;;
