var;TLCO_males;TLCO_females;DLCO_males;DLCO_females;KCO_trad_males;KCO_trad_females;KCO_SI_males;KCO_SI_females;VA_males;VA_females
a0;-8.129189;-6.25372;-7.03492;-5.159451;4.088408;5.131492;2.994137;4.037222;-11.086573;-9.87397
a1;2.018368;1.618697;2.018368;1.618697;-0.415334;-0.645656;-0.415334;-0.645656;2.430021;2.182316
a2;0.012425;0.01539;0.012425;0.01539;-0.113166;-0.097395;-0.113166;-0.097395;0.097047;0.082868
p0;-1.98996;-1.82905;-1.98996;-1.82905;-1.98186;-163.787;-1.98186;-1.63787;-2.20953;-2.08839
p1;0.03536;0.01815;0.03536;0.01815;0.0146;-0.07757;0.0146;-0.07757;0.01937;-0.01334
q0;0.39482;0.2416;0.39482;0.2416;0.6733;0.48963;0.6733;0.48963;0.62559;0.51919
