var;FEV1_males;FVC_males;FEV1FVC_males;FEF25_75_males;FEF75_males;FEV1_females;FVC_females;FEV1FVC_females;FEF25_75_females;FEF75_females;FEV075_males;FEV075_females;FEV075FVC_males;FEV075FVC_females
a0;-10.342;-11.2281;0.7403;-6.9189;-9.1978;-9.6987;-10.403;0.5506;-5.1682;-8.2711;-9.2847;-10.0239;0.5174;0.4599
a1;2.2196;2.4135;-0.1595;1.6895;2.1023;2.1211;2.2633;-0.1078;1.4066;2.0092;1.9527;2.1123;-0.094;-0.0891
a2;0.0574;0.0865;-0.0366;-0.1425;-0.3656;-0.027;0.0234;-0.0544;-0.2618;-0.5252;0.0295;0.0194;-0.1324;-0.1
a3;-0.1589;-0.1684;0.0079;-0.1384;-0.2879;-0.1484;-0.1555;0.0055;-0.1244;-0.3004;0;0;0;0
a4;-0.0351;-0.0405;0.0055;-0.0327;0.1142;-0.0149;-0.0262;0.0088;-0.0799;0.0496;0;0;0;0
a5;-0.0881;-0.1177;0.0283;-0.0094;0.1364;-0.1208;-0.1516;0.0285;-0.0398;0.0704;0;0;0;0
a6;-0.0708;-0.0825;0.0106;-0.0531;-0.0272;-0.0708;-0.0833;0.0106;-0.0531;-0.0272;;;;
p0;-2.3268;-2.2963;-2.9595;-2.1034;-1.5769;-2.3765;-2.3549;-3.2395;-2.2968;4.1543;-1.7947;-1.6265;-2.457;-2.545
p1;0.0798;0.0718;0.1156;0.2463;0.1959;0.0972;0.1017;0.185;0.2847;-1.8154;-0.0666;-0.0828;0;0
p2;0.1096;0.0794;-0.0381;0.1625;0.1205;0.1016;0.081;0.0307;0.1869;0.133;0;0;0;0
p3;-0.3973;-0.46;-0.2227;-0.1413;-0.2037;-0.0109;-0.1809;-0.164;-0.0114;-0.1515;0;0;0;0
p4;0.0327;0.0325;-0.1414;-0.1039;-0.1664;0.0733;0.0459;-0.1521;-0.0473;-0.0367;0;0;0;0
p5;0.0114;-0.0503;-0.086;0.0057;-0.0381;0.0114;-0.0503;-0.086;0.0057;-0.0381;;;;
q0;0.8866;0.9481;4.7101;0.4986;0.6289;1.154;0.8236;7.032;1.2172;0.7088;1;1;2.797;3.564
q1;0.085;0;-0.6774;0;-0.1342;0;0;-1.197;-0.1781;-0.1462;;;;
