;age;TLCO_males_Mspline;TLCO_males_Sspline;TLCO_males_Lspline;TLCO_females_Mspline;TLCO_females_Sspline;TLCO_females_Lspline;KCO_SI_males_Mspline;KCO_SI_males_Sspline;KCO_SI_males_Lspline;KCO_SI_females_Mspline;KCO_SI_females_Sspline;KCO_SI_females_Lspline;VA_males_Mspline;VA_males_Sspline;VA_males_Lspline;VA_females_Mspline;VA_females_Sspline;VA_females_Lspline;DLCO_males_Mspline;DLCO_males_Sspline;DLCO_males_Lspline;DLCO_females_Mspline;DLCO_females_Sspline;DLCO_females_Lspline;KCO_trad_males_Mspline;KCO_trad_males_Sspline;KCO_trad_males_Lspline;KCO_trad_females_Mspline;KCO_trad_females_Sspline;KCO_trad_females_Lspline
0;5;-0.116094101621069;0.383098670318418;0;-0.180901244145523;0.315475530280308;0;-0.120840225859462;0.396519924064473;0;-0.0504789288710512;0.233858887945173;0;0.0091019486557755;0.17528109628421;0;-0.125301533339741;0.25543369726604;0;-0.116094106574206;0.383098664663637;0;-0.180901248076244;0.315475514398607;0;-0.120840231449606;0.396518416750216;0;-0.0504789324879775;0.233858873827982;0
1;5.25;-0.119634476690273;0.360862024460724;0;-0.173775537867751;0.297651925196524;0;-0.118429101588612;0.37595122884745;0;-0.048151798907857;0.222024733293956;0;0.0027584566565437;0.16409791535999;0;-0.122519993727732;0.240752303874613;0;-0.119634480865385;0.36086201935198;0;-0.173775541464398;0.297651910302632;0;-0.118429107505669;0.375949742268307;0;-0.0481518021991256;0.222024720066544;0
2;5.5;-0.122905539457728;0.339678934621197;0;-0.166946055795232;0.280712820604519;0;-0.116094492674387;0.356296066650338;0;-0.0459186716132027;0.210748945089535;0;-0.0032168358707735;0.153455055773742;0;-0.11981006986373;0.226846927536688;0;-0.12290554289709;0.339678930029842;0;-0.166946059073645;0.280712806660315;0;-0.11609449891108;0.356294602287743;0;-0.0459186745956988;0.210748932706534;0
3;5.75;-0.125873478090877;0.319467797868637;0;-0.160370539008011;0.264595153745686;0;-0.113805879059254;0.337461639540236;0;-0.0437654310311846;0.199981928465911;0;-0.0088209120776312;0.143316197472685;0;-0.117137949522059;0.213680956840158;0;-0.125873480837027;0.319467793766854;0;-0.160370541983019;0.264595140717866;0;-0.113805885615678;0.337460199480316;0;-0.0437654337208633;0.199981916885314;0
4;6;-0.128515865863656;0.300155961978111;0;-0.154014094734306;0.249241933056739;0;-0.111539524938679;0.319368444611329;0;-0.0416804799535542;0.189680396098556;0;-0.0140555333299179;0.133648232548384;0;-0.114477518513665;0.2012184517975;0;-0.128515867958875;0.300155958339014;0;-0.154014097419802;0.249241920916019;0;-0.111539531820557;0.319367031376138;0;-0.0416804823654875;0.189680385281373;0
5;6.25;-0.130802460516728;0.281682748955903;0;-0.147845035188897;0.234602457092219;0;-0.109268175015797;0.301955619601349;0;-0.0396534008318343;0.179805615185767;0;-0.0189179551867742;0.12442344501545;0;-0.1118050114284;0.189417486468753;0;-0.13080246200381;0.281682745753367;0;-0.147845037598059;0.234602445812203;0;-0.109268182234745;0.301954235703944;0;-0.0396534029803766;0.179805605095793;0
6;6.5;-0.132685357880526;0.264000421556237;0;-0.141832720525974;0.220632064155997;0;-0.106955779589476;0.285182564985855;0;-0.0376742466109015;0.170322315459122;0;-0.0233961572659833;0.115620413401462;0;-0.109096308556495;0.178227965703207;0;-0.132685358804191;0.264000418764583;0;-0.141832722671505;0.220632053712003;0;-0.106955787164337;0.285181212373273;0;-0.0376742485099015;0.170322306062764;0
7;6.75;-0.134127766910311;0.247065376471545;0;-0.135951411853318;0.207289928934038;0;-0.104572907491594;0.269013351213683;0;-0.0357346989249709;0.161199294793553;0;-0.0274827868511007;0.107219067914606;0;-0.106332374378745;0.167603958654704;0;-0.134127767316603;0.247065374065634;0;-0.135951413747467;0.207289919302857;0;-0.104572915446989;0.269012031309485;0;-0.0357347005877751;0.161199286059575;0
8;7;-0.135104461812258;0.230836980566558;0;-0.130179826808354;0.194538493610664;0;-0.102096986202482;0.253414662223341;0;-0.0338279515182065;0.152408932208261;0;-0.0311753966602097;0.0992002037994957;0;-0.103498730788729;0.157504114341571;0;-0.135104461747858;0.230836978521892;0;-0.130179828462902;0.194538484770399;0;-0.102096994567336;0.253413376024351;0;-0.0338279529576546;0.152408924107546;0
9;7.25;-0.135597588356051;0.215278232993223;0;-0.124502629310495;0.182341783913412;0;-0.0995115607107793;0.238352805934764;0;-0.0319510413897435;0.143926905402731;0;-0.0344738292063216;0.0915459474716589;0;-0.100583576935747;0.147882054250976;0;-0.135597587867517;0.215278231286022;0;-0.12450263073679;0.182341775842318;0;-0.0995115695148772;0.238351554304885;0;-0.0319510426182257;0.143926897907716;0
10;7.5;-0.135594198676738;0.200355819009584;0;-0.118910070200108;0.170664952684423;0;-0.0968053774588311;0.223792714570719;0;-0.0301049621883296;0.135731789942437;0;-0.0373788842684792;0.0842398912182989;0;-0.0975769206448067;0.138684701162118;0;-0.135594197809804;0.200355817616836;0;-0.118910071409105;0.17066494535962;0;-0.0968053867289651;0.223791498582459;0;-0.0301049632178678;0.13573178302654;0
11;7.75;-0.135087297389878;0.186038537663642;0;-0.113394018022708;0.159476069912817;0;-0.0939703822472948;0.209702305146959;0;-0.0282906082594585;0.127804342245747;0;-0.0398938842220407;0.077266405175306;0;-0.094471350662344;0.12986520046718;0;-0.135087296189251;0.186038536563127;0;-0.113394019024963;0.159476063310551;0;-0.0939703920073192;0.209701126059958;0;-0.0282906091016937;0.127804335883323;0
12;8;-0.134074721708917;0.172297069813043;0;-0.10794746362583;0.14874593973392;0;-0.0910009850787148;0.196052482580937;0;-0.0265085492682351;0.120127192356727;0;-0.0420242109982141;0.0706105881848575;0;-0.0912616016333931;0.121382835580262;0;-0.134074720218148;0.172297068983329;0;-0.107947464431514;0.148745933829861;0;-0.091000995349896;0.196051341797911;0;-0.0265085499344186;0.120127186523063;0
13;8.25;-0.132558996673277;0.15910379758333;0;-0.102565078066368;0.138447641736996;0;-0.0878941813796406;0.182815965269028;0;-0.0247595526134265;0.112684687121612;0;-0.0437772877111833;0.064258204966158;0;-0.0879447419272505;0.113202535351968;0;-0.13255899493457;0.159103797003774;0;-0.102565078685305;0.138447636506391;0;-0.0878941921805416;0.182814864353612;0;-0.0247595531144302;0.112684681792858;0
14;8.5;-0.130553279317516;0.146432157505822;0;-0.0972471932011985;0.128555375894536;0;-0.0846536864315737;0.16996103415541;0;-0.0230471906512766;0.105463128559806;0;-0.0451658862609943;0.0581952288142173;0;-0.0845232879460696;0.10529658445039;0;-0.130553277370608;0.14643215715654;0;-0.0972471936431534;0.128555371311789;0;-0.0846536977748751;0.169959975247326;0;-0.0230471909976098;0.105463123712619;0
15;8.75;-0.128075413439829;0.134256953023868;0;-0.0919959071449554;0.119045055258432;0;-0.0812860989604673;0.157455881327452;0;-0.0213755476383355;0.0984502036873558;0;-0.0462049193771801;0.0524081644713759;0;-0.0810017681568187;0.0976417119476038;0;-0.128075411321638;0.134256952885723;0;-0.0919959074197001;0.11904505129712;0;-0.0812861108520972;0.157454867260002;0;-0.021375547840158;0.0984501992987963;0
16;9;-0.125143062894926;0.122554596020692;0;-0.0868127394515845;0.109894595240883;0;-0.0777977547537567;0.145272172525709;0;-0.0197478646113383;0.0916346008143869;0;-0.0469088175478696;0.046884304687989;0;-0.0773846215284877;0.0902172059139152;0;-0.125143060639799;0.122554596075267;0;-0.0868127395688463;0.10989459187402;0;-0.0777977671939243;0.145271206698615;0;-0.0197478646784619;0.091634596861971;0
17;9.25;-0.121773553749307;0.111302988033152;0;-0.0816987240024432;0.101083701801352;0;-0.074194699043399;0.133384616031019;0;-0.0181666759375805;0.0850059028504024;0;-0.0472914790948114;0.0416116835006961;0;-0.0736761664496353;0.0830045708129172;0;-0.121773551389245;0.111302988262734;0;-0.0816987239718658;0.101083699001609;0;-0.0741947120274835;0.133383702302245;0;-0.0181666758794812;0.0850058993121368;0
18;9.5;-0.117983963917901;0.10048143184284;0;-0.0766546195308262;0.0925937259070073;0;-0.0704827916064743;0.121770769272443;0;-0.0166339336888219;0.0785545787269417;0;-0.0473663082997557;0.036579050513462;0;-0.0698808678940797;0.0759874516398389;0;-0.117983961482769;0.100481432230398;0;-0.0766546193619391;0.0925937236469025;0;-0.0704828051257671;0.121769911859822;0;-0.0166339335146475;0.0785545755813601;0
19;9.75;-0.113797424694393;0.0900714033023564;0;-0.0716836186134335;0.0844083503651221;0;-0.0666714311429062;0.110418012990265;0;-0.015151248955573;0.0722736479400956;0;-0.0471481157737728;0.0317766148620153;0;-0.0660092403714376;0.0691557684315485;0;-0.113797422212091;0.0900714038316099;0;-0.0716836183156122;0.0844083486174894;0;-0.0666714451847139;0.110417216104257;0;-0.0151512486742762;0.0722736451664645;0
20;10;-0.109243765518983;0.0800565504205981;0;-0.0667908811827704;0.0765132783633509;0;-0.0627739634966953;0.0993240515222658;0;-0.0137199441843707;0.0661582632696425;0;-0.0466533273336154;0.0271960874812471;0;-0.0620766675770632;0.0625046396265962;0;-0.109243763015607;0.0800565510760978;0;-0.0667908807652218;0.076513277101719;0;-0.0627739780443002;0.0993233189803964;0;-0.013719943804829;0.0661582608481244;0
21;10.25;-0.104350727649242;0.0704214003614005;0;-0.0619806858398144;0.0688951754916622;0;-0.0588025693675189;0.0884865992922259;0;-0.0123409626681066;0.0602037333260175;0;-0.0458973708393273;0.0228295541134034;0;-0.058096910070784;0.0560294004100159;0;-0.104350725149235;0.0704214011284818;0;-0.0619806853115534;0.0688951746902746;0;-0.0588025844007722;0.0884859345341491;0;-0.0123409621990929;0.06020373123763;0
22;10.5;-0.0991436343364054;0.0611512357350446;0;-0.0572564497109038;0.0615415523975256;0;-0.0547680894729918;0.0779028056296343;0;-0.0110149238960098;0.0544054542378618;0;-0.0448945948270421;0.018669398472547;0;-0.0540820598197644;0.0497254163239549;0;-0.0991436318626819;0.0611512365997757;0;-0.057256449080751;0.0615415520313369;0;-0.0547681049688671;0.0779022117548547;0;-0.0110149233461794;0.0544054524644315;0
23;10.75;-0.0936456451346608;0.0522320566767729;0;-0.0526208556261496;0.0544406968167115;0;-0.0506801865005415;0.067569369527738;0;-0.0097421760020752;0.0487589229165308;0;-0.0436583620627111;0.0147082992710277;0;-0.0500427517213975;0.0435881066263772;0;-0.0936456427087311;0.0522320576259083;0;-0.0526208549027256;0.0544406968613844;0;-0.0506802024336088;0.067568849328993;0;-0.0097421753799462;0.0487589214406479;0
24;11;-0.0878779976000459;0.0436505456207319;0;-0.0480759790574474;0.047581625156647;0;-0.0465474947393711;0.0574826504025105;0;-0.0085228355467101;0.043259764653214;0;-0.0422011409689613;0.0109392240956505;0;-0.0459883957117881;0.0376130194127544;0;-0.087877995242116;0.0436505466416679;0;-0.0480759782491624;0.0475816255885428;0;-0.0465475110822058;0.0574822063947116;0;-0.0085228348606536;0.0432597634581937;0
25;11.25;-0.0818663159713076;0.0353946401799108;0;-0.0436246716278763;0.0409549078027482;0;-0.0423809116900058;0.0476437594317798;0;-0.0073565295261039;0.0379049636006432;0;-0.0405370127794988;0.0073551603119135;0;-0.0419307426113065;0.0317997147418234;0;-0.0818663137000613;0.0353946412606974;0;-0.0436246707428589;0.0409549085990562;0;-0.0423809284139187;0.0476433936601994;0;-0.0073565287842303;0.0379049626706349;0
26;11.5;-0.0756483679397402;0.0274542539306182;0;-0.0392712484438258;0.0345530341029938;0;-0.0381976368857009;0.0380648439561182;0;-0.0062422876244694;0.0326934441312496;0;-0.0386847564929802;0.0039487816938788;0;-0.0378856271764754;0.0261535994902138;0;-0.0756483657716842;0.0274542550600387;0;-0.0392712474898156;0.034553035241923;0;-0.0381976539618831;0.0380645575318901;0;-0.0062422868344915;0.032693443451415;0
