var,pre_BD_FEV1_male,pre_BD_FVC_male,pre_BD_FEV1_FVC_male,post_BD_FEV1_male,post_BD_FVC_male,post_BD_FEV1_FVC_male,post_BD_DLCO_male,post_BD_KCO_male,pre_BD_FEV1_female,pre_BD_FVC_female,pre_BD_FEV1_FVC_female,post_BD_FEV1_female,post_BD_FVC_female,post_BD_FEV1_FVC_female,post_BD_DLCO_female,post_BD_KCO_female
M1,-7.2463,-8.9133,1.7143,-7.1136,-8.7782,1.5249,-3.8134,5.4868,-7.2512,-9.031,1.7655,-7.2293,-8.6831,1.4332,-4.1917,4.7703
M2,2.0834,2.3584,-0.2827,2.0141,2.3113,-0.2722,1.5507,-0.6842,1.9648,2.2847,-0.3246,2.0251,2.2812,-0.2561,1.5712,-0.5656
M3,-0.5546,-0.4271,-0.1281,-0.4889,-0.3995,-0.0857,-0.4755,-0.3841,-0.4453,-0.343,-0.0916,-0.5159,-0.4235,-0.0862,-0.453,-0.3735
S1,-6.5243,-4.7699,-5.6999,-4.0332,-3.5548,-4.3758,-4.5985,-3.7283,-0.4402,-3.0789,-2.2049,-2.9757,-3.2807,-4.3758,-2.12,-3.0422
S2,1.1066,0.6596,0.7535,0.475,0.3563,0.4092,0.6399,0.4152,-0.4072,0.2397,-0.1159,0.2061,0.2866,0.3874,0.0234,0.2431
L,1.1694,0.7824,3.2359,1.0584,0.702,3.333,0.5188,0.1632,0.7228,0.8869,1.5914,1.0082,0.8648,2.6255,0.1621,-0.01
