var;FRC_males;FRC_females;TLC_males;TLC_females;RV_males;RV_females;RV_TLC_males;RV_TLC_females;ERV_males;ERV_females;IC_males;IC_females;VC_males;VC_females
a0;-13.4898;-12.7674;-10.5861;-10.1128;-2.37211;-2.50593;2.634;2.666;-17.328650;-14.145513;-10.121688;-9.4438787;-10.134371;-9.230600
a1;0.1111;0.1251;0.1433;0.1062;0.01346;0.01307;0.01302;0.01411;-0.006288;-0.009573;0.001265;-0.0002484;-0.003532;-0.005517
a2;2.7634;2.6049;2.3155;2.2259;0.01307;0.01379;-0.00008862;-0.00003689;3.478116;2.871446;2.188801;2.0312769;2.307980;2.116822
p0;-1.60197;-1.48310;-2.0616143;-2.0999321;-0.878572;-0.902550;-0.96804;-0.976602;-1.307616;-1.54992;-1.856546;-1.775276;-2.1367411;-2.220260
p1;0.01513;-0.03372;-0.0008534;0.0001564;0.007032;-0.006005;-0.01004;-0.009679;0.009177;0.01409;0.002008;0.002673;0.0009367;0.002956
q0;0.3416;0.2898;0.9337;0.4636;0.5931;0.4197;0.8646;0.8037;0.5517;0.5326;1.146;0.9726;0.8611;1.038
